start,end,N,SS,FulD,TajD,FayH,FerL,bsfs,ZngE,Colless,btree,path,iColless,ibtree
0,100001.0,250,601,-0.4282013195812225,0.08479617037786408,0.01648886745670381,0.07869193382872589,0.1981444083828488,-0.024962277202951,0.03496814236417813,0.07740564870504985,9140000,0.03964589783563393,-0.18229422675753296
0,100001.0,250,676,0.42835599763256893,-0.042271759567849086,-0.04989451915554526,-0.3597911588334225,-0.08224387740508415,0.2725311996690611,0.0327559269335406,0.3931124238631383,9140001,0.04011619573696295,-0.22161627966839573
0,100001.0,250,617,0.7675649280371089,-0.3427234718160942,0.022471493527769115,0.3663322227285235,-0.06232675804640265,-0.454377361875447,0.036733783770317004,0.12079979625651968,9140002,0.046855105093019545,-0.5677584098780978
0,100001.0,250,612,0.33247586661187195,-0.7771981297221239,-0.01680298185878169,0.3102220069948779,-0.7329159610993629,-0.6080785007071233,0.03707039825231103,-0.10348942740034543,9140003,0.04743222703266177,-0.6910406730358688
0,100001.0,250,574,-0.10241164212052596,-0.04993798748331955,0.02479114617059804,0.21846633081846772,0.2570480090202681,-0.20012535959811725,0.03388734148061779,0.16015283898563726,9140004,0.0410911984575534,-0.3176527875874398
0,100001.0,250,718,-0.41672017143663787,0.3750582724556473,0.041465785808738116,0.10696380607845234,0.6033324335610936,0.08533448794690443,0.030445077802248432,0.47226413161896996,9140005,0.03764216968961023,-0.01236789367103712
0,100001.0,250,602,-0.49594938350257,0.10810803670788714,0.0343283109615394,0.20250863754265244,0.5370461001220587,-0.11472539027378945,0.037432360598403255,0.029620593816498987,9140006,0.04047279748795492,-0.1944258654855586
0,100001.0,250,629,0.2997335803265311,0.1849685433296274,0.02937782615067847,0.12116126018994787,0.4720546149624642,-0.013469770067767022,0.03277142550226163,0.25754893686198244,9140007,0.03917816426998316,-0.09244785658095253
0,100001.0,250,576,0.6142223876811539,-0.4069750272421853,-0.002884303000464306,0.2078245231628988,-0.3442862114134145,-0.35516026233228976,0.037448598621404434,0.1036736557918143,9140008,0.0456777648227318,-0.3469700086672943
0,100001.0,250,637,0.0773239288374225,-0.10817752531580817,-0.0601458135523372,-0.40104099322357256,-0.3924728004231455,0.2757626797666661,0.036804745865181135,-0.047683435399952574,9140009,0.04269910803130158,-0.3188159007875109
