#/home/enes/bim/BIM.py trees/ir8090170.trees,trees/ir8090171.trees,trees/ir8090172.trees,trees/ir8090173.trees,trees/ir8090174.trees,trees/ir8090175.trees,trees/ir8090176.trees,trees/ir8090177.trees,trees/ir8090178.trees,trees/ir8090179.trees,trees/ir8090180.trees,trees/ir8090181.trees,trees/ir8090182.trees,trees/ir8090183.trees,trees/ir8090184.trees,trees/ir8090185.trees 250 --stats=all --eta=etas/BC.json --out=outs/747678326.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FerL,FulD,FayH,TajD,Colless,btree,path
0,10001.0,250,61,2.4402393681456394,6.088272190012145,-1.4332425723181335,-1.1712087483045166,0.023165295395264626,2.9204993759130575,0.029440342013214146,0.4943762142502232,ir8090170.trees
0,10001.0,250,42,2.8524865673123845,5.424444586357994,-1.6514956063023736,-1.1915683460804996,0.0368732464914095,3.5218920134543947,0.034298484259619115,0.2004583481987529,ir8090171.trees
0,10001.0,250,75,3.5137761249591444,5.841684468436704,-2.119126175462846,-1.2770264240783538,0.016299353412062914,4.06886233314255,0.04714017359761627,-1.1609362110781856,ir8090172.trees
0,10001.0,250,59,3.300290851707252,4.786060936970438,-1.9663434086233504,-1.7133925690203435,0.02342800127476858,3.9043745209346947,0.07002202357818371,-2.565478780502213,ir8090173.trees
0,10001.0,250,49,3.525798783040418,5.795110488567266,-2.1240913281984195,-1.4466287309395944,0.01936545578709604,4.165194062250022,0.0331001425055059,0.111866266876338,ir8090174.trees
0,10001.0,250,57,2.620085522115064,4.348994932195012,-1.5348801653871613,-0.41905967781087733,0.026409472915560728,3.1526726651143036,0.0456989247311828,-0.8007353562023335,ir8090175.trees
0,10001.0,250,86,4.264527462941692,6.793699883651518,-2.581393376355423,-2.9869975953214145,0.0164105159457211,4.896204349166575,0.05334240186552662,-2.356135362007825,ir8090176.trees
0,10001.0,250,78,3.5034698497915544,3.556545140418491,-2.104939875253797,-1.5773087778349528,0.018331500411741298,4.065379264256967,0.03277626635574556,0.19944798530548918,ir8090177.trees
0,10001.0,250,62,3.5075860291592926,4.663454464027164,-2.043339724041412,-1.4893146806158999,0.0380388073167953,4.225687091949691,0.04487304054929395,-0.705051875333744,ir8090178.trees
0,10001.0,250,77,3.626985679871554,5.490043357306658,-2.1524893834413907,-1.322800098544165,0.02658652327900232,4.259272532490359,0.04409573778986915,-0.6377023034465721,ir8090179.trees
0,10001.0,250,54,3.3915103351345217,5.504491266848111,-2.038855169595867,-0.6073324070137393,0.019308290081800274,3.995395098936332,0.037213369607462105,-0.5469871117042097,ir8090180.trees
0,10001.0,250,76,3.1892665385461116,6.6760950532216405,-1.911370277199687,-2.253135501954065,0.01815444877767651,3.713144231507577,0.04061406917994559,-0.7269292941808021,ir8090181.trees
0,10001.0,250,81,3.509109117782933,6.857425100202391,-2.117375990353045,-1.4079250326216999,0.01564139964260274,4.049799061903906,0.03614457831325301,-0.04945900572051628,ir8090182.trees
0,10001.0,250,71,3.3747830996227726,3.873682201825971,-2.0607273909468122,-1.432234514631127,0.008646367783638104,3.8699581402125953,0.045132141469102216,-1.0153363850128219,ir8090183.trees
0,10001.0,250,41,3.449783536854425,5.690317727702102,-2.139693361308544,-1.9931725874454165,0.001483436644686725,4.0000465960315,0.05547998445394481,-1.7377826884233243,ir8090184.trees
0,10001.0,250,73,3.3069437985433208,6.715403736596644,-1.95476576865369,-1.723823457228976,0.02672767106829632,3.905610116423313,0.038055447596838966,-0.39681032732448723,ir8090185.trees
