#/home/enes/bim/BIM.py trees/ir3040090.trees,trees/ir3040091.trees,trees/ir3040092.trees,trees/ir3040093.trees,trees/ir3040094.trees,trees/ir3040095.trees,trees/ir3040096.trees,trees/ir3040097.trees,trees/ir3040098.trees,trees/ir3040099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/924105973.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,FerL,ZngE,FayH,FulD,btree,Colless,path
0,100001.0,50,492,0.341843980090586,0.19035395687512674,0.050103588310198635,0.05453424272707436,0.019201944302918897,-0.9145533876190721,0.13526500497563487,0.11663157326422634,ir3040090.trees
0,100001.0,50,442,-0.06107959543362727,-0.03358745040564732,0.0396687176480797,-0.05213420006685772,0.0023530932522405337,-0.17562913576913095,-0.8288904397886333,0.1521636432350719,ir3040091.trees
0,100001.0,50,396,0.7988581922161806,0.5386365979800793,0.054568845845826906,0.23019213784322046,0.0441006537993217,-0.6735731798044831,-0.12218282766881956,0.11410079904977866,ir3040092.trees
0,100001.0,50,424,0.22534857234062533,-0.0064623576582210135,0.14885839781021706,-0.13383042888125207,0.01718764473769172,1.2143532195076512,-0.8044671234841322,0.1554409533597612,ir3040093.trees
0,100001.0,50,519,0.11765188191108586,0.14828329682897565,-0.3100496666485485,0.34864619682228604,-0.026294773603958498,-0.7815262231129,-0.5384787374548132,0.138589296478085,ir3040094.trees
0,100001.0,50,439,-0.29823024015858773,-0.28570112752691373,0.373184035189744,-0.47479431378805725,0.024253441699951608,0.4531348156460417,-1.147979089073482,0.16139812568383996,ir3040095.trees
0,100001.0,50,435,0.27003653640265834,0.17854846309555547,-0.021339926866329822,0.1109601660522116,0.009936627746499277,0.31727453076281853,-0.038156309088681,0.13447619047619047,ir3040096.trees
0,100001.0,50,416,-1.6084849423790775,-0.5442428410794535,-0.7773072639896349,0.40030879813404785,-0.13013902758307958,-0.08760822243471099,-0.9275643105773865,0.1605916405023548,ir3040097.trees
0,100001.0,50,449,0.18071441787438483,0.28045095106771195,-0.30794094343562706,0.4149291545446892,-0.016883921221111996,0.36975337976850675,-0.10724921710064939,0.13436643314042035,ir3040098.trees
0,100001.0,50,416,-2.3982272751677467,-0.9368521246379969,-0.4204629132570559,-0.11525310488724964,-0.11525880566555825,-0.08760822243471142,-1.033360129013233,0.15655921459492889,ir3040099.trees
