#/home/enes/bim/BIM.py trees/r8100153.trees,trees/r8100154.trees,trees/r8100155.trees,trees/r8100156.trees,trees/r8100157.trees,trees/r8100158.trees,trees/r8100159.trees,trees/r8100160.trees,trees/r8100161.trees,trees/r8100162.trees,trees/r8100163.trees,trees/r8100164.trees,trees/r8100165.trees,trees/r8100166.trees,trees/r8100167.trees,trees/r8100168.trees,trees/r8100169.trees 250 --stats=all --eta=etas/BC.json --out=outs/411493855.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,ZngE,FerL,FayH,FulD,btree,Colless,path
0,10001.0,250,104,3.2729539102432685,1.8232044712867526,2.01606912215663,-0.6818663477807212,0.15626574373262245,-2.129121501248033,0.22208777443144612,0.03323391743692865,r8100153.trees
0,10001.0,250,132,2.4730496367571093,2.490965344618193,1.8074749306320543,-0.858057195760642,0.07056178034584337,-1.4942931793842613,0.4537612577564965,0.029672279126913476,r8100154.trees
0,10001.0,250,126,2.3403718326395153,2.9654374940702684,1.7696485807272766,-0.8866174654404101,0.05660661214414723,-1.1245889270753011,0.3793786807127047,0.031037386475825435,r8100155.trees
0,10001.0,250,110,1.9355427223281798,1.7823572380669022,1.0993283458907375,-0.2866580709354154,0.10830528469772178,-0.67503295341468,-0.01512964053431246,0.03235360798030833,r8100156.trees
0,10001.0,250,97,2.3844524799536964,2.0520259010643036,1.2906173389598874,-0.2789558359918485,0.14437056156695918,-1.4924479137393418,0.37283145590804,0.029657801713767508,r8100157.trees
0,10001.0,250,116,2.5184060712462446,2.874056653463592,1.2904171738489745,-0.1979909996518535,0.1646791174033428,-0.6387974538909882,0.4577540803086031,0.030426281269112454,r8100158.trees
0,10001.0,250,127,3.2758981462175023,3.3560128620191825,2.8191653072363043,-1.6636034194460825,0.02154531529915284,-1.4315844517871235,-0.2669730140242384,0.04046356202799814,r8100159.trees
0,10001.0,250,103,2.5985406645721985,2.340625226577267,1.9777668268331667,-1.0083056059964266,0.0595080584040933,-1.2278183397272016,-0.2698821809499687,0.038048322321544245,r8100160.trees
0,10001.0,250,147,2.4927574384312785,2.122346697650737,1.6055396229351342,-0.5941565628701316,0.10775390285070215,-1.6576025174780626,0.1905311867835134,0.03181776802064404,r8100161.trees
0,10001.0,250,97,2.0173855619925227,2.5668786992887154,0.7652679791027307,0.16821966469454064,0.17830676155815922,-1.4924479137393423,0.8155387389077439,0.025867889937069885,r8100162.trees
0,10001.0,250,139,2.0818168249199527,0.8605713831323619,1.3687541027166539,-0.5320977562208239,0.08522113974008104,-1.7083798112815134,0.7458328486853415,0.02532902006508006,r8100163.trees
0,10001.0,250,105,2.7237228463085557,3.2773618706774634,1.8093703066312088,-0.7298541745515108,0.10756447694460128,-0.9125672286020404,-0.0849499324964316,0.03879550459904134,r8100164.trees
0,10001.0,250,127,2.280296066927292,2.7723965647923485,1.130766488198003,-0.12998331789495257,0.15534505197702256,-0.9941195957883873,0.7934230908475898,0.025064568500494776,r8100165.trees
0,10001.0,250,121,2.0154769772164642,1.8944063022593354,0.8504082934648297,0.06811117762728114,0.16260360209242655,-1.1969515394033134,0.47611502221725777,0.029327937937709093,r8100166.trees
0,10001.0,250,113,2.907622762609507,3.4085229105815964,2.347526415200645,-1.2903408051178278,0.044341141466386555,-1.8804034995064487,0.11928676406861657,0.034987733190827826,r8100167.trees
0,10001.0,250,100,2.342318048080572,1.5854968252384343,1.3966602389628997,-0.4323216466778798,0.11969391207526738,-1.906820403953671,0.7147841691080816,0.029276004855743172,r8100168.trees
0,10001.0,250,112,2.6250401862477517,2.176049617394132,1.4866707621373774,-0.38280430282282396,0.14761425309368748,-1.2111868260520402,1.0379429978005852,0.024340538331988,r8100169.trees
