#/home/enes/bim/BIM.py trees/r8080000.trees,trees/r8080001.trees,trees/r8080002.trees,trees/r8080003.trees,trees/r8080004.trees,trees/r8080005.trees,trees/r8080006.trees,trees/r8080007.trees,trees/r8080008.trees,trees/r8080009.trees,trees/r8080010.trees,trees/r8080011.trees,trees/r8080012.trees,trees/r8080013.trees,trees/r8080014.trees,trees/r8080015.trees,trees/r8080016.trees 250 --stats=all --eta=etas/BC.json --out=outs/810052572.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,FayH,TajD,FerL,FulD,btree,Colless,path
0,10001.0,250,95,3.333106464330411,1.4164346496864706,0.16839866886546973,2.681510801128967,-0.2713319117378025,-1.8447119226378232,0.7885433002579595,0.02633113097551496,r8080000.trees
0,10001.0,250,64,5.770344523296137,1.7700737694007591,0.05714730490304217,2.3713249650685184,-0.8990476333687232,-0.6974575740732593,0.12805709299974496,0.03292808330094572,r8080001.trees
0,10001.0,250,112,2.0303704370287576,1.149343834469908,0.15264780423068844,2.281906867599247,-0.15591695558543833,-0.059027351880897055,0.5935036187652001,0.028371550719005045,r8080002.trees
0,10001.0,250,87,6.286203313678193,1.5157404017748781,0.09360583879339554,2.307918094083128,-0.6041709867920217,-1.102514374325225,0.018463531846761118,0.02987090677701318,r8080003.trees
0,10001.0,250,87,6.275277052278266,2.121412420682266,0.046817480304954494,2.6850789317641257,-1.1460756153577845,-0.8929394274758473,0.37661975591687574,0.027205596579867864,r8080004.trees
0,10001.0,250,95,2.390514633140004,1.5733125200094655,0.09384635171891324,2.3723374563239967,-0.6362971204117824,-1.4592746223732804,-0.5092099509704424,0.0400866137360502,r8080005.trees
0,10001.0,250,61,4.598474946584563,1.6972847010637155,0.03318079153021348,2.1393456877503323,-0.9379501707138697,-0.2925590550937998,-0.24408532452122464,0.03755248698779939,r8080006.trees
0,10001.0,250,77,4.739245631536997,2.1187573834424445,0.032584013933766635,2.59774788931508,-1.1971703673788423,-1.5581087301848453,0.3875122490957877,0.03062356954700523,r8080007.trees
0,10001.0,250,81,4.321994384167557,0.9837193697108685,0.08659765472320648,1.6654086884027866,-0.30187867568801163,0.1621134783521377,0.3177287937494705,0.0309577017748413,r8080008.trees
0,10001.0,250,90,1.1891255588142675,1.3263737414830261,0.11569183255320754,2.238115136767273,-0.4068956333216382,-0.7614459367260387,0.00690264317487816,0.036931932401463474,r8080009.trees
0,10001.0,250,68,5.899172772847173,2.4134420758223656,0.03787326502140358,2.9737755474093137,-1.3634897765406016,-0.8323752647235949,-0.30215319291851533,0.037873460046021254,r8080010.trees
0,10001.0,250,80,5.410887255349575,2.6520650012913958,0.082546809548852,3.517555521590011,-1.3497131812786287,-1.6143465919002444,-0.35080658290316363,0.033352765902318955,r8080011.trees
0,10001.0,250,102,2.0579443630898737,1.300889605950521,0.17396791420871005,2.5893616154407137,-0.1763798377261134,0.2305604101769999,0.26196729607296343,0.031029185867895537,r8080012.trees
0,10001.0,250,91,3.2601479426245503,2.14941410203768,0.10477693410111655,3.0901231236644575,-0.9549625021333773,-1.790349059764611,0.3940141494948217,0.02635084517593516,r8080013.trees
0,10001.0,250,79,4.262140176701182,2.3877753876109424,0.12867813640889691,3.5177511774535972,-1.0231378084589413,-1.5960492891092273,-0.1327281607115497,0.034464020958385515,r8080014.trees
0,10001.0,250,89,6.194422994606128,1.843545914593902,0.15455071261208017,3.0703434434871566,-0.5884591730981803,-1.5563355799977914,0.2859235415171517,0.030584704409033988,r8080015.trees
0,10001.0,250,87,3.636597812622093,1.7473649733619856,0.09629128630189047,2.58537849038264,-0.7379637376544044,-0.6833644806264689,0.19130643701514527,0.03024267156602951,r8080016.trees
