#/home/enes/bim/BIM.py trees/r3050020.trees,trees/r3050021.trees,trees/r3050022.trees,trees/r3050023.trees,trees/r3050024.trees,trees/r3050025.trees,trees/r3050026.trees,trees/r3050027.trees,trees/r3050028.trees,trees/r3050029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/850786295.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FerL,ZngE,FulD,FayH,TajD,btree,Colless,path
0,100001.0,50,422,-0.8335589900927187,-0.3123889537531661,0.13029036517636783,0.8846880693185016,-0.056424976501164986,-0.2779270361511736,-1.3076540855083216,0.1706971806063467,r3050020.trees
0,100001.0,50,482,0.03226673500712517,-0.4821700119916405,0.5697505998339549,0.3035287002337984,-0.037204946213558236,0.2841481941723458,-0.09982627544346662,0.1439920866305708,r3050021.trees
0,100001.0,50,416,-1.6178569787239712,-0.524497569705938,0.19243303810944903,1.3720706040311885,-0.09831662173655276,-0.5176503846092436,-0.7749226438863435,0.18772149578394243,r3050022.trees
0,100001.0,50,461,-0.4032415340418148,-0.06095421002630291,-0.04386283025993026,1.0137996287283377,-0.02034803620726867,-0.18822031627398778,-1.0155331785648107,0.1530730347694633,r3050023.trees
0,100001.0,50,486,-0.48421062664127035,-0.6686537540466542,0.5467365456201452,-0.21408856776110372,-0.08441271231809867,-0.07652299139307368,-0.14528035113416732,0.12685888308811893,r3050024.trees
0,100001.0,50,414,-1.2093049525031145,0.09869614989459365,-0.3874116227999726,1.5734243457234425,-0.02899077236139315,-0.5826713427998267,-0.6423112288194741,0.17048215390052116,r3050025.trees
0,100001.0,50,424,-0.49092706765832406,-0.47061416325978705,0.3692185619481602,-0.322752520155516,-0.061622246216645436,-0.0838879992757626,-0.6911585003204227,0.17069852331176352,r3050026.trees
0,100001.0,50,307,-1.9772973884270064,-0.7726370869511281,0.30682184896408876,0.37382573116689155,-0.1424345966820254,-0.7190417974290758,-1.4545836957181086,0.16320167522791434,r3050027.trees
0,100001.0,50,365,-0.7526878255453441,-0.28696809862273776,0.10824500443103201,0.4814160677018408,-0.05350517408828633,-0.2777579639788085,-0.5860548155230311,0.14508073344280237,r3050028.trees
0,100001.0,50,486,0.2761769436184321,-0.13452835168443403,0.20094745193579688,0.7009403791212672,-0.004717385322139008,0.16043838241589298,-0.3840510714457275,0.14645796590241028,r3050029.trees
