#/home/enes/bim/BIM.py trees/ir3090040.trees,trees/ir3090041.trees,trees/ir3090042.trees,trees/ir3090043.trees,trees/ir3090044.trees,trees/ir3090045.trees,trees/ir3090046.trees,trees/ir3090047.trees,trees/ir3090048.trees,trees/ir3090049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/598113488.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,bsfs,ZngE,TajD,FulD,btree,Colless,path
0,100001.0,50,302,-0.11195079037609902,-0.5040357704703481,-1.5765316893619177,0.06058057783202745,-0.7404983561940515,0.189696305828344,-1.9822200145449205,0.22841350826044696,ir3090040.trees
0,100001.0,50,488,-0.12969061098444135,-1.1639236228738108,-0.7668774058359225,1.0795345559166851,0.11392078887075378,0.04667068482959534,-0.976253994628338,0.16901811745106204,ir3090041.trees
0,100001.0,50,440,-0.03165804696356216,-0.049026036156830086,-0.6642876901482387,-0.1483957962504864,-0.3703543043219147,0.4446271060968007,-1.113215874637233,0.15912383471907285,ir3090042.trees
0,100001.0,50,392,-0.08338167570479364,-0.1661302915900598,-1.9812179868106643,-0.32475460603210055,-0.9113821431597092,1.0527121670538095,-1.84406716385517,0.24564200680272105,ir3090043.trees
0,100001.0,50,366,-0.051559248405286355,-0.2956699643753207,-0.3209789103248664,0.137833495960565,-0.23516222224080136,-0.8631257129049171,-0.2713000584859187,0.14127940332759606,ir3090044.trees
0,100001.0,50,408,-0.04686621035468028,-0.6324548581123085,0.09163688219416286,0.7622762940383903,0.4026510438259551,-0.38773478144577184,0.14267660592492035,0.12496791169297915,ir3090045.trees
0,100001.0,50,542,-0.14262107849076278,-1.0522584512090114,-0.9642384148534543,0.7865406937805726,-0.2633127426232383,0.09671355497015968,-1.4946946924708981,0.19873457857719357,ir3090046.trees
0,100001.0,50,469,-0.13453961762285388,-0.8253432472954106,-1.3441850031146019,0.4503092316414238,-0.5286646150594221,0.1819991640645809,-1.4310143039362708,0.18782678360600438,ir3090047.trees
0,100001.0,50,324,-0.11150088118772934,-0.783172862055749,-0.561702439567854,0.5517701015001485,-0.2608870055660106,-0.6394269040647631,-1.1288965112380414,0.18081065759637185,ir3090048.trees
0,100001.0,50,424,-0.07305943706155986,-0.3697408746634697,-0.8262936082292138,0.10775093128279942,-0.4188857937808319,0.7602083418798972,-0.7151574050150017,0.14632936507936506,ir3090049.trees
