start,end,N,SS,TajD,FerL,FulD,FayH,bsfs,ZngE,btree,Colless,path,iColless,ibtree
0,100001,50,421,-0.7806822556251101,-0.7036296553628328,0.7890513250878601,-0.13789653236221078,-1.5292419238493788,0.21358294284896492,-1.1847472303383602,0.16692717549447514,3090000,0.1821995464852608,-1.3372453351897566
0,100001,50,431,0.4343130067361267,-0.6849276232132662,-0.1304243875717702,-0.050818570579494016,0.4911825080308411,0.8248214599451318,0.20110320969429496,0.1219557823129252,3090001,0.13602728325372704,-0.15561021251693605
0,100001,50,305,-0.6837489794338658,0.017363129921449755,1.9966746110433211,-0.04580354181075954,-1.284594733569847,-0.3669574381412441,-1.5481061534968017,0.18007507881201265,3090002,0.20666008338819386,-1.954406355543869
0,100001,50,470,-0.7378116045369657,-0.2577350564876928,1.215216228707802,-0.08197289699954456,-1.4860232671643347,-0.15551994057967206,-0.6483234405096192,0.15225500577589526,3090003,0.1868904904619189,-1.6298171378657094
0,100001,50,401,-0.08908446109295301,0.09862477097943713,0.43841861309698493,0.005474293420504253,0.4927825749482183,-0.13243389967341965,0.1674456342888463,0.11577820783485805,3090004,0.15238572064339753,-0.590293700096117
0,100001,50,365,-0.04585890822283342,-0.4611314229403454,-0.08616903379879694,-0.057983988384158115,0.10805082529214573,0.3804498314957861,-0.3002375363871005,0.14029568882767826,3090005,0.16589888382537482,-0.9055585055582488
0,100001,50,435,0.07749249997521472,-1.010739045602371,-0.5000694350523173,-0.11431003403687645,-0.16592565999915102,0.9261216777123946,0.3091721738606855,0.12031584062196313,3090006,0.1392668178382465,-0.17154922956969634
0,100001,50,414,-0.4259716358311831,-0.15306318080763545,1.2514686488674414,-0.04789105923853098,-0.6849609166132437,-0.08580440072689764,-0.21693538901536052,0.12823821389020718,3090007,0.14505952380952386,-0.5698234748966303
0,100001,50,394,0.07992402382600627,-0.9636075004366804,-0.3972273349885208,-0.10873330983649494,-0.001348975928242917,0.8858314541610798,-0.9494536600762872,0.1632027043946413,3090008,0.16959256821007973,-1.0160438791043314
0,100001,50,445,-0.014440135881406425,-0.025005314824515224,-0.19665253431351007,-0.0039687082914299475,0.26815942091318795,0.014459774235977831,-0.10603252251223157,0.12146683673469386,3090009,0.1490486819727891,-0.5259898772736374
