#/home/enes/bim/BIM.py trees/r8100068.trees,trees/r8100069.trees,trees/r8100070.trees,trees/r8100071.trees,trees/r8100072.trees,trees/r8100073.trees,trees/r8100074.trees,trees/r8100075.trees,trees/r8100076.trees,trees/r8100077.trees,trees/r8100078.trees,trees/r8100079.trees,trees/r8100080.trees,trees/r8100081.trees,trees/r8100082.trees,trees/r8100083.trees,trees/r8100084.trees 250 --stats=all --eta=etas/BC.json --out=outs/281512926.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,ZngE,FulD,FayH,FerL,btree,Colless,path
0,10001.0,250,91,2.007271845639706,1.8857131652992603,1.1260619894711303,-0.9871761399235498,0.11473987868793402,-0.2859412625791469,0.4331860555355574,0.029527788573649443,r8100068.trees
0,10001.0,250,138,2.2630910446779944,1.7842384386794707,1.3376333074730313,-1.9674429277479546,0.11787064039662969,-0.39287996050726726,0.6191298467903562,0.028102924030086192,r8100069.trees
0,10001.0,250,105,2.3378764452147034,1.5728149727411944,1.604089834713624,-1.4379158390152573,0.08360405406113894,-0.6895975498286934,0.5192566117399685,0.02834438691289612,r8100070.trees
0,10001.0,250,87,2.2231993155687855,3.3169953603857736,1.5157404017748777,-1.731239214873359,0.08051974253007882,-0.6508757669532319,0.28477182860479716,0.028995219920210202,r8100071.trees
0,10001.0,250,85,2.7194139440487453,6.553994102065365,2.1448041492997154,-1.056923162531588,0.0478592610225507,-1.157297260553151,0.31931291654261923,0.028718368096040076,r8100072.trees
0,10001.0,250,104,2.700472722999762,4.003409658119591,1.6952235364481698,-1.4222003839254318,0.12349588732355511,-0.6019269516097372,0.4268848106715167,0.02620075006394477,r8100073.trees
0,10001.0,250,105,1.8909855201799306,3.8062802202923014,0.9240195596492333,-0.7374510251309683,0.13144741373178223,-0.09581233516713987,0.09621643656414311,0.03278320655895472,r8100074.trees
0,10001.0,250,100,2.5772634529170255,1.5859127480394752,1.5745800337447657,-2.273812059355387,0.12521140230358477,-0.5224897736221342,0.6006825217887639,0.02843383459395896,r8100075.trees
0,10001.0,250,90,1.9643034523092828,4.510309453497187,1.162905191669539,-0.35560824160210935,0.10174552451404581,-0.3556310180816133,0.09881923644681792,0.03363715005704399,r8100076.trees
0,10001.0,250,124,3.390169983594894,2.217350110089451,2.363148910172365,-2.137745252739606,0.11574274047596554,-1.0374592077994853,0.0420669094602866,0.03749449410545407,r8100077.trees
0,10001.0,250,127,2.095176400473979,1.1534897002183762,1.4589638249408614,-0.994119595788387,0.07185233203984603,-0.6386250544237576,0.305767490056748,0.030503860904985282,r8100078.trees
0,10001.0,250,99,2.7522224058270996,5.447221038931946,2.066808634669585,-0.9685330358631387,0.06755232420931787,-1.0351931550532094,0.6250118123403063,0.026310675639740627,r8100079.trees
0,10001.0,250,100,1.8800972166193552,1.2177234774054817,1.0744277217468536,-0.9893412654493802,0.10407096940649205,-0.28932389414153964,0.5147054583285724,0.029088985462868096,r8100080.trees
0,10001.0,250,91,2.1144776896711823,1.9012604209615371,1.4209139684959267,-1.3887625998440805,0.08031195043701973,-0.5917305093228225,0.32188129206213323,0.03159843675778382,r8100081.trees
0,10001.0,250,94,2.360101128613695,3.4961842614303413,1.5502952822336828,0.11522263605310358,0.09589861413275444,-0.6149949602472299,-0.08329171504060778,0.03647195582679454,r8100082.trees
0,10001.0,250,108,2.1933409362776324,2.0703754012147355,1.262257434261659,-0.6311555683139961,0.11991443301166851,-0.34585071133573236,0.06427378250212239,0.0362990423231387,r8100083.trees
0,10001.0,250,101,2.3611364510529187,1.9984977788163627,1.0509410262142522,-1.5550240233093509,0.1818414836447255,0.006195089895431483,0.5622457079894727,0.02955167443969426,r8100084.trees
