#/home/enes/bim/BIM.py trees/ir3070040.trees,trees/ir3070041.trees,trees/ir3070042.trees,trees/ir3070043.trees,trees/ir3070044.trees,trees/ir3070045.trees,trees/ir3070046.trees,trees/ir3070047.trees,trees/ir3070048.trees,trees/ir3070049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/353450634.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,TajD,FayH,FulD,FerL,Colless,btree,path
0,100001.0,50,381,-0.027325023645989814,-1.8331885902084648,-0.39855922244906195,-0.05200002629616481,1.916049117557606,-0.20344752792968976,0.12918837747865103,-0.552918476231005,ir3070040.trees
0,100001.0,50,434,-0.015557339977333112,-1.798150025011265,-0.7399225171774808,-0.10120613189441302,1.1448041596041176,-0.4183307339523622,0.17905389105997002,-1.3497949243134142,ir3070041.trees
0,100001.0,50,398,-0.23634881335865177,-0.745131085041436,-0.42092905001960823,-0.02682282058515595,0.3177006439238087,0.021758242285218644,0.14776190476190473,-0.719703254529619,ir3070042.trees
0,100001.0,50,413,0.25855947735014445,-0.2984917363845367,-0.0014529477611652812,-0.03516926709852023,-0.2794841298347574,-0.29582302946015443,0.1326058201058201,-0.24226971810373618,ir3070043.trees
0,100001.0,50,511,-0.03934858431365423,-1.2364439123165722,-0.5665648727476067,-0.07371796295591038,0.8827999497588114,-0.2894512278474928,0.1729962661756432,-1.0236224225843888,ir3070044.trees
0,100001.0,50,508,-0.1599830531241975,0.4044815523469866,0.09543895261640774,0.03487358232316249,0.14859446577672872,0.23874933928532296,0.12308816143907235,-0.25530563609532575,ir3070045.trees
0,100001.0,50,405,-0.7356422641386053,-0.8284910176501573,-0.45527335987803835,0.03592316604219713,1.425368497321945,0.5711037550145136,0.14156346299203448,-1.0048071950274011,ir3070046.trees
0,100001.0,50,501,-0.31077042566880125,1.6300703828553427,0.39196243478192727,0.09656797372662312,0.07833119134469317,0.5856507733390554,0.10017006802721089,0.23497705251379558,ir3070047.trees
0,100001.0,50,421,-0.25368150033881975,0.0860936592258891,0.013015847757506286,0.03611251170348863,0.47241644341926387,0.2970591365157538,0.12399566125662864,-0.2293912437978317,ir3070048.trees
0,100001.0,50,452,-0.26118505891856675,0.4907414940163229,0.10754813682033883,0.05027786760184342,-0.5724514742790021,0.3613103064683076,0.1460860568003425,-0.4828602789886276,ir3070049.trees
