#/home/enes/bim/BIM.py trees/r8080068.trees,trees/r8080069.trees,trees/r8080070.trees,trees/r8080071.trees,trees/r8080072.trees,trees/r8080073.trees,trees/r8080074.trees,trees/r8080075.trees,trees/r8080076.trees,trees/r8080077.trees,trees/r8080078.trees,trees/r8080079.trees,trees/r8080080.trees,trees/r8080081.trees,trees/r8080082.trees,trees/r8080083.trees,trees/r8080084.trees 250 --stats=all --eta=etas/BC.json --out=outs/222736527.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FulD,TajD,ZngE,bsfs,FayH,btree,Colless,path
0,10001.0,250,96,-0.9439969738985934,-2.0484279150031157,3.203262132109468,2.1933820855006663,2.164191060050415,0.11488581937765133,0.361662967723581,0.03164460498540652,r8080068.trees
0,10001.0,250,88,-0.4741813067352996,-0.917262616013629,2.056206239068604,1.298990306538255,4.02979545788601,0.09233894158543092,-0.018464643605806488,0.0373087331404471,r8080069.trees
0,10001.0,250,85,-0.885864113508879,-0.1998803594806922,2.473776527653041,1.8162730434634111,2.2352311973879186,0.06696165604983768,-0.2936210023989147,0.038281116139897785,r8080070.trees
0,10001.0,250,78,-1.1065512343589636,-0.8799471540862623,2.6927325999970817,2.0883007430780256,5.125681713523691,0.05281450137622888,-0.2703110430720011,0.034889172666086786,r8080071.trees
0,10001.0,250,73,-1.4706223792189153,-1.7238234572289761,3.1740954203927876,2.5923083156956297,6.4463577598939565,0.0385081960971916,0.28993386279591143,0.030622489959839367,r8080072.trees
0,10001.0,250,95,-0.41906203374569956,-0.1102440714473801,2.242310415270898,1.339723444374345,2.9278493297370787,0.1140771932595518,0.23377907839197284,0.032766300935752946,r8080073.trees
0,10001.0,250,78,-1.3870619643969797,-1.577308777834953,3.4744348375823875,2.6616596551657077,4.2600578968584895,0.07390408467666683,0.7878213625622427,0.026196182579781496,r8080074.trees
0,10001.0,250,114,-0.40405142340428907,-1.8910606066858733,1.7919853327664317,1.13066013321652,1.2997915092432695,0.08109338865152001,-0.28744635930826995,0.03853232730700332,r8080075.trees
0,10001.0,250,84,-1.5869689005470198,-2.3334538460904097,3.218076408247986,2.713134883249895,4.972566500181361,0.02606067648131628,0.03264445344606625,0.035850390810554036,r8080076.trees
0,10001.0,250,82,0.09091907014144936,0.12389836310545656,1.6826112591131746,0.6744744331503212,2.497652111644779,0.14318086855683423,0.22283219732340204,0.0332258064516129,r8080077.trees
0,10001.0,250,98,-0.6520766366419227,-1.8827031467595374,2.2889091985873353,1.5497784900669018,2.2846738735726877,0.08517382891488104,0.3195909465478718,0.03330817064785195,r8080078.trees
0,10001.0,250,80,-1.113795349126659,-2.068241696713497,3.4251140414482855,2.420520510304265,4.820907317578282,0.10865543771093239,0.4593581014460052,0.02999093146780671,r8080079.trees
0,10001.0,250,86,-0.7141291271015711,-0.8680787232409515,1.9428569272036933,1.4416600302496585,6.101989249580317,0.05000809058966033,0.21952346457234476,0.031598166860992365,r8080080.trees
0,10001.0,250,114,-0.4422777119870006,-1.8910606066858733,2.813557804043645,1.6198754054177844,3.8741593564427443,0.15372230805552367,0.6983073241073215,0.027347142452726073,r8080081.trees
0,10001.0,250,70,-1.353724862537492,-0.8943969174224434,3.4018557688541895,2.5963614041410232,6.3554028041483335,0.07286336397030221,0.45569389971110874,0.02854526610842195,r8080082.trees
0,10001.0,250,49,-1.228952401383322,-0.729036763370562,2.876629440132206,2.2433738172400357,4.492730301810816,0.048749317259107985,0.4551656448181301,0.026971686027263173,r8080083.trees
0,10001.0,250,107,-0.6460071004644005,-1.6404766677790346,2.7539001032003396,1.7557470195003442,2.4195305533491647,0.12139156373672984,0.22065655304556867,0.03278204985841986,r8080084.trees
