#/home/enes/bim/BIM.py trees/ir3070080.trees,trees/ir3070081.trees,trees/ir3070082.trees,trees/ir3070083.trees,trees/ir3070084.trees,trees/ir3070085.trees,trees/ir3070086.trees,trees/ir3070087.trees,trees/ir3070088.trees,trees/ir3070089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/658623313.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FulD,ZngE,bsfs,TajD,FerL,btree,Colless,path
0,100001.0,50,343,-0.01575698791320355,1.1541546394062248,-0.24536785626837854,-0.5598266798166532,-0.3507462403230853,0.0737755215656608,-0.27260585459041387,0.1634432842904604,ir3070080.trees
0,100001.0,50,380,-0.035436479103816775,-0.368462516479706,0.3629501220678955,-0.09997698777059033,0.0982003117952953,-0.35632822619173515,0.07199915595717139,0.1286316609977324,ir3070081.trees
0,100001.0,50,484,-0.03370941290099476,-0.26260713693406196,0.0011941366142643026,-0.39829507596248276,-0.24045616921891422,-0.14319605388486278,-0.6215434799752543,0.13530633772496345,ir3070082.trees
0,100001.0,50,410,0.021984285280070293,0.031525144730729905,-0.3518742441049908,-0.01354362989940575,-0.1833354253275392,0.2934300707595166,0.03279693857981756,0.1161020408163265,ir3070083.trees
0,100001.0,50,390,0.09065106536957218,-0.25364708659114094,-0.22821555428631712,1.4246123501582495,0.4276479642978113,0.512188191362323,0.11099054782114204,0.13621928363182012,ir3070084.trees
0,100001.0,50,442,0.0008862299261685144,1.5003587718620264,-0.4409898646626317,-0.8209816314524429,-0.42033705181721925,0.2552481917210938,-0.2332187666139588,0.1589017185821697,ir3070085.trees
0,100001.0,50,401,-0.03167510393002534,1.4723246385092648,-0.06552280854874008,-1.2079337505560812,-0.29019877600696853,-0.09616096090080883,-1.333960653619131,0.15755406640268046,ir3070086.trees
0,100001.0,50,415,0.040232021164714034,0.31267288061640547,-0.44659026642891764,0.019069961532938426,-0.14432700413753755,0.42444104542883065,-0.1820974454393333,0.1416004454879297,ir3070087.trees
0,100001.0,50,444,-0.04988422393764014,1.3119574311842552,-0.03907959809375929,-1.3992594032702483,-0.3951513471643571,-0.1883517899398309,-1.38881481164384,0.15413232600732601,ir3070088.trees
0,100001.0,50,440,-0.05471277983108718,-0.026770235848594528,0.39701685590454844,-0.3198944053924888,-0.007749421817911135,-0.45742691463266527,0.10469819648335214,0.13225422912527837,ir3070089.trees
