#/home/enes/bim/BIM.py trees/ir3110020.trees,trees/ir3110021.trees,trees/ir3110022.trees,trees/ir3110023.trees,trees/ir3110024.trees,trees/ir3110025.trees,trees/ir3110026.trees,trees/ir3110027.trees,trees/ir3110028.trees,trees/ir3110029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/968049019.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,ZngE,FayH,FulD,bsfs,btree,Colless,path
0,100001.0,50,410,-0.032101101628944945,-0.06958050845025014,-0.00778983246836847,-0.008665218476820502,0.10376452947654703,-0.1572504123024965,-0.6245628454568399,0.15483985260770977,ir3110020.trees
0,100001.0,50,400,-0.27750163418672147,-0.013873681657846155,0.23607058349532936,-0.03388204076412481,0.5217690106159606,-0.2934404626952642,-0.6491361327719644,0.15298692292450963,ir3110021.trees
0,100001.0,50,364,0.04613141255252674,0.26049422804702355,0.09389796118772259,0.023689809314932777,0.12589332171480258,0.3601541079311055,-0.11546854821742122,0.12410134508348797,ir3110022.trees
0,100001.0,50,394,0.10360330470897912,-0.1706609617192123,-0.17888881609189544,0.0003685874909711692,-0.021457219560815387,-0.06966923752025984,-0.23169836182003944,0.13398374617022374,ir3110023.trees
0,100001.0,50,538,0.2739287940760469,-0.0481897053853674,-0.2651895293165533,0.028992519286602812,0.34247263173489073,0.09100742579975069,-0.32231764585932654,0.1250599598813884,ir3110024.trees
0,100001.0,50,435,0.0475747488545247,-0.03257092725819079,-0.05853597205510372,0.0033613748548704525,0.8962265065485393,-0.3522543472779227,-0.9692275076810558,0.14397272670536104,ir3110025.trees
0,100001.0,50,389,0.16369841793430817,-0.15151745019996732,-0.22166476054845222,0.00883839407684087,-0.017495208840442415,-0.03462636934738861,-0.6700656667094159,0.14958394071914483,ir3110026.trees
0,100001.0,50,458,-0.7083412589827389,-0.7219795692191167,0.24782199355679083,-0.13422065786358367,0.5242928598332169,-1.7911275400866755,-1.2908741979549494,0.20105976274807444,ir3110027.trees
0,100001.0,50,417,-0.19260177537568793,-0.34933474981562257,-0.011581140894848647,-0.047222182378932366,0.9702185336426418,-0.7219199807350144,-0.16598629161576334,0.14916017953573182,ir3110028.trees
0,100001.0,50,483,0.5202676313192707,-0.1567178307205752,-0.5372531552140943,0.05059900391404503,0.1733248725110416,0.06959688768524006,0.05535662277244736,0.11924603174603175,ir3110029.trees
