#/home/enes/bim/BIM.py trees/ir3040000.trees,trees/ir3040001.trees,trees/ir3040002.trees,trees/ir3040003.trees,trees/ir3040004.trees,trees/ir3040005.trees,trees/ir3040006.trees,trees/ir3040007.trees,trees/ir3040008.trees,trees/ir3040009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/994427269.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FulD,FayH,TajD,bsfs,FerL,Colless,btree,path
0,100001.0,50,484,-0.15527089368115116,0.5030513125878131,0.012961938983867612,-0.05719816317825,0.049726928235709886,0.1433384089805844,0.13880060220809637,-0.4726543378651475,ir3040000.trees
0,100001.0,50,405,0.8407688431787539,-0.2565208939272263,-0.07174626755502882,0.3006366795678635,-0.13612985763288263,-0.782120835946873,0.13911564625850342,-0.14740013494696827,ir3040001.trees
0,100001.0,50,457,-0.2826276684915481,0.17595819954144157,0.02009038062255658,-0.12942554173951049,0.08558820629264857,0.24604670118249167,0.14770150484436195,-0.2679849452037731,ir3040002.trees
0,100001.0,50,437,0.5024200594638117,-0.851874359717645,-0.014048454475956209,0.3855552658003458,0.38078950388566407,-0.3458545115001298,0.14417989417989419,-0.3734987402651388,ir3040003.trees
0,100001.0,50,448,0.6794913865314438,-0.25046935630123385,-0.0075299453968912244,0.6034179606001229,0.6592027785457983,-0.41931816487920603,0.1397028897028897,-0.44126511385284534,ir3040004.trees
0,100001.0,50,491,-0.005984991216456355,0.11683140137253413,0.03223123342623756,0.2252514088434958,0.26680700084073183,0.1397049256532441,0.14711487431852174,-0.3500001215354945,ir3040005.trees
0,100001.0,50,460,0.2632238245145101,-0.845340514284433,0.013213164612160213,0.3492584008189181,0.4524978816299289,-0.09428791491338728,0.12660825199645073,-0.18014363393086075,ir3040006.trees
0,100001.0,50,602,0.2146376526978307,0.34997594251150765,-0.0404206435350128,-0.08295467084284626,-0.3354042208878941,-0.2936919861951153,0.16087711680416852,-0.7578408822170871,ir3040007.trees
0,100001.0,50,490,-0.07058017215909146,-0.02747363676555389,0.04303290809785937,0.24023695994253683,0.5661722435227768,0.22220824244606818,0.11084084796709386,0.1624553013033188,ir3040008.trees
0,100001.0,50,354,0.15796847036927394,0.055142690338016734,0.027241513157850974,0.3480315407985501,0.6883066188198498,0.024458567419611513,0.10882312925170062,0.42462878735606846,ir3040009.trees
