#/home/enes/bim/BIM.py trees/ir8040234.trees,trees/ir8040235.trees,trees/ir8040236.trees,trees/ir8040237.trees,trees/ir8040238.trees,trees/ir8040239.trees,trees/ir8040240.trees,trees/ir8040241.trees,trees/ir8040242.trees,trees/ir8040243.trees,trees/ir8040244.trees,trees/ir8040245.trees,trees/ir8040246.trees,trees/ir8040247.trees,trees/ir8040248.trees,trees/ir8040249.trees 250 --stats=all --eta=etas/BC.json --out=outs/579367370.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FulD,FayH,FerL,TajD,btree,Colless,path
0,10001.0,250,89,1.3120893632241455,1.6500417978201118,-1.1461555644002284,0.14280326447652195,-0.3015197669659577,2.397872251971897,-0.9773378275896726,0.05351513581206547,ir8040234.trees
0,10001.0,250,92,1.4921972621424688,2.041473239606284,-1.009514806254744,0.0574176179901539,-0.7176307945080747,2.045512928906944,-1.2172303933323267,0.05116481104684392,ir8040235.trees
0,10001.0,250,91,0.27602530847769274,1.7325182491409459,0.01679000987777669,0.12703897571728007,0.2841850242689798,1.133922901525303,-0.5037065433435077,0.042650678615791436,ir8040236.trees
0,10001.0,250,89,0.07153470602126107,1.1651321264118875,-1.1461555644002281,0.1028074528249638,0.3233105627686115,0.7466489454874685,-0.38477687011885287,0.04277247237799122,ir8040237.trees
0,10001.0,250,89,1.4845925256162622,1.7033852374856155,-1.5563355799977918,0.0387210366461938,-0.7804342264738084,1.9167854548828427,-0.2293307000278854,0.03899468843114394,ir8040238.trees
0,10001.0,250,93,0.8057682281488685,1.377650061267816,-1.0313953417880373,0.07107509421974474,-0.24363986707571508,1.3647042267640455,-0.883274867544548,0.04854003828935814,ir8040239.trees
0,10001.0,250,76,0.4590383213564229,2.302073737356203,-0.3472595097849328,0.061507787208168956,-0.06731189651617484,0.9127617987728297,-0.8542605763378213,0.047677808006218424,ir8040240.trees
0,10001.0,250,83,0.572450199450599,1.5943819994834691,-1.228409136483762,0.15817159171854236,0.20792405595823954,1.66503120778721,-0.2663717833047568,0.038661286512273,ir8040241.trees
0,10001.0,250,85,0.5764318771487806,0.9809277704325625,-0.8426624617688638,0.07048572959461083,-0.10575977981037096,1.1034373662929877,-0.6811488435001486,0.045402809394259065,ir8040242.trees
0,10001.0,250,84,0.19240468909130387,3.7162715712183707,0.050060823174295194,0.15382780816700223,0.42833240325179983,1.2102224474701524,-0.5982331165226029,0.04490049961416494,ir8040243.trees
0,10001.0,250,125,1.1770243966035403,3.31102017973391,-1.2570729043310056,0.12758587287942702,-0.2607087498610057,2.1488302588210173,-0.23179154957781845,0.03718780043774419,ir8040244.trees
0,10001.0,250,88,0.3436248226873229,0.560871014879208,-1.1245708080926966,0.050600933894367976,-0.03193390748735818,0.7134885627959094,-0.3422383968068317,0.043858999747068146,ir8040245.trees
0,10001.0,250,93,0.5069154329175948,1.1303001830520891,0.1486426708414165,0.0865222266079158,-0.003282948437097319,1.1301625884626796,-0.3571479518851101,0.0401649609189446,ir8040246.trees
0,10001.0,250,85,0.41408084116440685,1.421640754043887,-0.41414106024341596,0.09947256534385368,0.09800756069713328,1.1084350616746337,0.3027239938705443,0.03241238197572072,ir8040247.trees
0,10001.0,250,103,0.665469472521139,2.127735935819451,-2.119690414512679,0.07239169875537192,-0.1499952948056319,1.2162635958362458,-0.34663779260068883,0.04311233202605142,ir8040248.trees
0,10001.0,250,70,0.15810645086371694,1.4267980671721296,-1.6667293489390875,0.13658838946212906,0.3802688134652074,1.0516243997678838,-0.3088021864162387,0.04243857149026212,ir8040249.trees
