#/home/enes/bim/BIM.py trees/r3070090.trees,trees/r3070091.trees,trees/r3070092.trees,trees/r3070093.trees,trees/r3070094.trees,trees/r3070095.trees,trees/r3070096.trees,trees/r3070097.trees,trees/r3070098.trees,trees/r3070099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/628644743.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FayH,TajD,ZngE,bsfs,FerL,btree,Colless,path
0,100001.0,50,358,-0.27151452250622343,-0.04289119785270054,-0.01652374059376776,0.2992429676646016,-0.1265705173299805,-0.3512156367249863,-0.052920621817630076,0.12531707598293546,r3070090.trees
0,100001.0,50,349,0.39974026201493573,-0.05032859010491693,-0.4332924090926878,-0.07569490713334245,-0.800311626982617,-0.16846816921674904,-0.4416503549589788,0.13355255396956464,r3070091.trees
0,100001.0,50,418,-0.17380743912209903,-0.011181438405673334,0.38825508313228707,0.48373793529655923,0.4076857994376375,-0.32308998935960626,0.34204137576797916,0.11736022534013618,r3070092.trees
0,100001.0,50,394,-0.5475353811596035,-0.0321356861314166,-0.5014613637414471,-0.28021535482228993,-0.7495784948525992,0.024412834511139174,-0.22410713711260016,0.11717264545569767,r3070093.trees
0,100001.0,50,542,-0.06747291194747282,0.012140482266705823,0.29827198911951947,0.21868713374036652,0.4522841148676765,-0.07327226172310232,-0.10217631965187879,0.12937663216945547,r3070094.trees
0,100001.0,50,478,0.023536129862024652,0.011704952642671847,0.13590160089163386,0.053798314908490213,0.1689795606447958,0.018799615301358513,0.5619933535304868,0.12180515063168128,r3070095.trees
0,100001.0,50,349,1.3322524317491198,0.011730432924453721,-0.1374836321332245,-0.22816641737432886,-0.4169847663003347,0.17953304438536347,-0.12688244526477008,0.115611313018358,r3070096.trees
0,100001.0,50,388,0.4487917116024582,-0.023963544563730874,-0.4585328914009914,-0.2962478962467728,-0.6601861389329652,0.06803348921999619,-0.22750950022731908,0.13249757045675412,r3070097.trees
0,100001.0,50,385,0.9777485385698489,0.03758987405081827,-0.17982082319419831,-0.46316563289626855,-0.04553904887207634,0.4226000745623858,-0.11283768995734769,0.13329292112884755,r3070098.trees
0,100001.0,50,406,-0.2639996428875907,0.01885724086252626,-0.25479943373643626,-0.40250269506912917,-0.3757297653301386,0.30911375692136767,-0.38055109825156525,0.13254404325832903,r3070099.trees
