#/home/enes/bim/BIM.py trees/r3060080.trees,trees/r3060081.trees,trees/r3060082.trees,trees/r3060083.trees,trees/r3060084.trees,trees/r3060085.trees,trees/r3060086.trees,trees/r3060087.trees,trees/r3060088.trees,trees/r3060089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/456557985.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FerL,TajD,bsfs,FulD,FayH,Colless,btree,path
0,100001.0,50,325,0.5549934092675874,-0.8354134052604683,-0.3435098522061722,-1.04195036488718,0.4442361358510458,-0.12349539874982576,0.15261307225592932,-0.9102550795479318,r3060080.trees
0,100001.0,50,405,0.45321518385293186,-1.0086076029767213,-0.8345416561442893,-2.8086503077710416,1.0597403687895166,-0.17788971707943163,0.1555706198563343,-1.7362579857229492,r3060081.trees
0,100001.0,50,370,0.6116232128912404,-1.0421585097992854,-0.5849136075054865,-2.507114386239528,1.8704223745930784,-0.16465138617683722,0.22642505277973252,-1.80058990984047,r3060082.trees
0,100001.0,50,459,0.3604481567686343,-0.5607894308400153,-0.2538555541403198,-0.8948022016554973,0.6128367313256325,-0.08408658360632873,0.1657015306122448,-0.9644739137342689,r3060083.trees
0,100001.0,50,371,0.7704926343944255,-1.3909150501621954,-0.8694619324898389,-2.921461561408741,1.497533596358364,-0.22594964064181783,0.19283018085282888,-1.3959427125984425,r3060084.trees
0,100001.0,50,358,1.0567226469122788,-1.5304343930410504,-0.5515725379409008,-1.5113199148159984,-0.8087900189280086,-0.22042830079908554,0.15930422802032204,-1.0720750689680791,r3060085.trees
0,100001.0,50,244,1.2640878146521284,-1.5699005363799101,-0.21456583843901128,-1.8349325192244252,0.6508111922552049,-0.20320546346289314,0.14480583900226754,-1.4274244680033554,r3060086.trees
0,100001.0,50,311,0.23153159120323524,-0.9449190115710965,-1.1585356087459502,-3.31562057929612,2.8455671356314536,-0.1936981411997934,0.17159072931498193,-1.4966603462108452,r3060087.trees
0,100001.0,50,330,0.6989218736718104,-0.9727445348955119,-0.29764620788780827,-1.2015058122770021,0.6566125459520041,-0.13659772779254065,0.22541798409504635,-1.3626128305931826,r3060088.trees
0,100001.0,50,286,1.2233030215680682,-1.9617180991405083,-0.9623939828176127,-3.018491821026096,0.48714268782403974,-0.3016155885378343,0.19043176972281442,-1.7432872020821617,r3060089.trees
