#/home/enes/bim/BIM.py trees/ir3010060.trees,trees/ir3010061.trees,trees/ir3010062.trees,trees/ir3010063.trees,trees/ir3010064.trees,trees/ir3010065.trees,trees/ir3010066.trees,trees/ir3010067.trees,trees/ir3010068.trees,trees/ir3010069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/224513945.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FayH,FerL,TajD,FulD,bsfs,Colless,btree,path
0,100001.0,50,301,0.2935720493703536,-0.059029511075002226,-0.4151062308256271,-0.13610222036348904,0.05396379494945177,-0.5653359728169802,0.19684031507339775,-1.6698752315709966,ir3010060.trees
0,100001.0,50,450,-0.217328028905042,0.07455171442310052,0.43880442822567417,0.3238523930040886,0.22990900454019528,1.349896444298901,0.12582312925170072,0.07559992768901351,ir3010061.trees
0,100001.0,50,555,1.0651557639228968,-0.013729443225053754,-0.6653710820954334,0.9299907560508816,-0.704377166541422,0.8846348002746072,0.17464336480860995,-0.7402316714635293,ir3010062.trees
0,100001.0,50,408,0.7523323823726739,-0.08478463310897036,-0.7866865296942332,0.1215597886020505,0.3018824806324792,-0.43151337419381103,0.15290587388801677,-0.8446732045986783,ir3010063.trees
0,100001.0,50,408,0.48614151624426116,-0.010992286709822566,-0.32365990900073344,0.39207345574595776,-0.4966217175633906,0.511375519926967,0.15928871548619447,-0.5280653564706558,ir3010064.trees
0,100001.0,50,393,-0.21989575080798496,0.0423924264027348,0.3041047417415566,0.09037502496066353,-0.12615445423978802,0.5349012854174316,0.1281136514756278,-0.35190497640957935,ir3010065.trees
0,100001.0,50,429,0.31077679144532055,-0.08060606089094392,-0.5174421067736509,-0.276488389072389,-0.21926810939719765,-0.8507458989688285,0.1579010770975057,-1.186834903124494,ir3010066.trees
0,100001.0,50,423,-0.24126710633016993,-0.02996993852058488,0.011155737779217705,-0.44816127736364764,0.20951650731839197,-0.7817589660230779,0.15918643880316352,-0.775767472952504,ir3010067.trees
0,100001.0,50,407,-0.022665931476553207,-0.015292634947350245,-0.05155807763217556,-0.13142927403198004,0.05601652568860085,-0.32841846000321795,0.13277556785426037,-0.6902575687591611,ir3010068.trees
0,100001.0,50,500,0.7937059224527494,-0.0627337872108974,-0.717898096298325,0.3173256935969361,-1.0713230714587836,0.04106009777554256,0.14996102607709752,-0.4684978660255539,ir3010069.trees
