#/home/enes/bim/BIM.py trees/r8010051.trees,trees/r8010052.trees,trees/r8010053.trees,trees/r8010054.trees,trees/r8010055.trees,trees/r8010056.trees,trees/r8010057.trees,trees/r8010058.trees,trees/r8010059.trees,trees/r8010060.trees,trees/r8010061.trees,trees/r8010062.trees,trees/r8010063.trees,trees/r8010064.trees,trees/r8010065.trees,trees/r8010066.trees,trees/r8010067.trees 250 --stats=all --eta=etas/BC.json --out=outs/719136896.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,bsfs,ZngE,FulD,FayH,Colless,btree,path
0,10001.0,250,72,1.54245549621245,0.12663296183956302,1.877725819751422,0.5804361261310791,-0.20105853452374417,0.13850381012904814,0.025487028760202094,0.8800862931973826,r8010051.trees
0,10001.0,250,73,1.1508815736415812,0.3364249162964086,1.4144032920962382,0.2380596499104436,0.2559078571592224,0.13765867355231168,0.03215049136638721,0.37697932046836186,r8010052.trees
0,10001.0,250,59,1.239891710022745,0.19177094081801938,2.1284438990013492,0.39006222047624733,-1.713392569020344,0.1260800430902714,0.029497919995393758,0.39638443819792063,r8010053.trees
0,10001.0,250,71,0.6752297712020072,-0.013638614877966825,1.6334888926636733,0.3096899893607348,0.0919445881364593,0.05083951966288492,0.03393240606610214,0.16581347203722757,r8010054.trees
0,10001.0,250,50,1.541501244771015,-0.1889481302736375,1.9775501263755768,0.8246242964452779,-0.7733369363253905,0.09576607083311965,0.033376825273444,0.2140999085702307,r8010055.trees
0,10001.0,250,103,0.9042616713673564,-0.435329946460289,0.4024733330679154,0.7565032899673078,-0.5143206798988202,0.009025043608928049,0.027774323098847004,0.6419517761602275,r8010056.trees
0,10001.0,250,60,2.207886870801039,-1.121377168728129,1.0733673007312325,1.8746175694521454,-0.8432189439040392,0.011955636183310792,0.028872086586816476,0.5188852480993735,r8010057.trees
0,10001.0,250,85,1.6365248736685811,-0.14770719420960027,1.5342043510248113,0.847527474971745,-0.842662461768864,0.105822285773167,0.03144744878130032,0.29253849987543046,r8010058.trees
0,10001.0,250,60,2.47699669139252,-0.6555302834481972,1.6942786725148893,1.617330200490794,-1.4380872487163567,0.10083070303613195,0.026494225750929988,0.9035236513185047,r8010059.trees
0,10001.0,250,84,0.3835475064945941,0.9201081610105944,1.3914436862860082,-0.5724851855489563,-1.033354935582389,0.15894987100775704,0.03524938463531545,0.03693093103232619,r8010060.trees
0,10001.0,250,81,0.6099464711368999,0.5794999552150403,1.5332712365931003,-0.19693035403122253,0.38640469420554296,0.12896220013988152,0.027850722856552636,0.5080705290864496,r8010061.trees
0,10001.0,250,76,1.0758022184884706,-0.020852458431271346,1.4048179872991253,0.49382370261956043,0.6056784862996335,0.08078229255259634,0.03732612648923052,0.04760435838256094,r8010062.trees
0,10001.0,250,93,1.7389484643758508,-0.41993487303342397,2.8088954643736375,1.1151936458529463,-1.6214143481027643,0.07530793140355789,0.03211151055836248,0.26836173980993416,r8010063.trees
0,10001.0,250,47,1.2865191976788009,0.4966821427113843,3.191622610399995,0.15981033435546915,-1.0080498858402034,0.1781066931294061,0.02619135284772366,0.9723461565161289,r8010064.trees
0,10001.0,250,76,0.4504605776843819,0.02034765859271311,0.9324617393616461,0.18330054305106266,-1.3001975058694983,0.037946086622071856,0.029559664805231107,0.584150768012349,r8010065.trees
0,10001.0,250,57,0.6924395153904466,0.08018234754812323,1.33211242563224,0.23912516885666757,-0.419059677810877,0.06669235715172644,0.03352950974404532,0.0511665917274991,r8010066.trees
0,10001.0,250,70,0.9301190351737257,-0.8714378029197137,0.8776166605079839,1.1143924205405304,-1.1518410612613255,-0.051666560723345835,0.031509447929968716,0.25590423684090313,r8010067.trees
