#/home/enes/bim/BIM.py trees/ir8010218.trees,trees/ir8010219.trees,trees/ir8010220.trees,trees/ir8010221.trees,trees/ir8010222.trees,trees/ir8010223.trees,trees/ir8010224.trees,trees/ir8010225.trees,trees/ir8010226.trees,trees/ir8010227.trees,trees/ir8010228.trees,trees/ir8010229.trees,trees/ir8010230.trees,trees/ir8010231.trees,trees/ir8010232.trees,trees/ir8010233.trees 250 --stats=all --eta=etas/BC.json --out=outs/112655944.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,TajD,FayH,bsfs,ZngE,FulD,btree,Colless,path
0,10001.0,250,68,0.040225170908786086,1.2986605197007133,0.10757190722315481,1.253764184395168,0.5411158980486446,-1.0969315307385548,-1.4656248465977628,0.06021937211210434,ir8010218.trees
0,10001.0,250,81,-0.043701822688189076,1.3203208893734568,0.09622209983052961,1.4986592180330947,0.6219202679268514,-0.9593426009148888,-0.635350413160355,0.04682169538368527,ir8010219.trees
0,10001.0,250,90,-0.6801258522926643,1.0730512764119045,-0.012301781590259542,0.526333463569252,1.027771190490389,-1.5731213269738962,-1.5427610400147271,0.05997891860697924,ir8010220.trees
0,10001.0,250,70,0.06646067583631164,1.2274556482731673,0.10553357122196189,1.5162408875962885,0.4890581918034937,-0.3795086297446816,0.06703685160888939,0.03569115170358855,ir8010221.trees
0,10001.0,250,74,-0.10539408188598935,0.9474523438575649,0.05889706174114711,1.1794021276333089,0.5047698964078956,-0.7646441268550347,-0.8174574104699884,0.048257546314289405,ir8010222.trees
0,10001.0,250,79,-0.17070268864360436,1.559366717533074,0.0969859223028814,2.501325709332818,0.830104796089982,-1.5960492891092273,-0.8440316616967859,0.0490186552662262,ir8010223.trees
0,10001.0,250,58,0.06192775577228956,1.3138054909439474,0.11321603037958461,1.4589109949200718,0.52681400737445,0.15129443107301566,-0.01044290441230007,0.036052398178321225,ir8010224.trees
0,10001.0,250,59,0.6205661016142868,0.4518515921385629,0.12599085799746906,3.369638585613503,-0.3017833405746398,-0.20274694930037984,-0.5059954504435877,0.040685321932892864,ir8010225.trees
0,10001.0,250,86,-0.4557369442092233,2.3453255691266652,0.11734423815509236,1.5237862720998951,1.4121131086514325,-1.2918624976570436,-0.4353150540259561,0.04197815931658322,ir8010226.trees
0,10001.0,250,70,-0.09981567033316015,0.7730388187674867,0.046232744160649014,0.9401828060716433,0.4223193048184006,-0.37950862974468136,-0.793113754483902,0.04582847519108693,ir8010227.trees
0,10001.0,250,83,0.6131746134139667,0.2974449106333858,0.10926585330509861,1.7013651033937411,-0.36292310996598376,-0.7900869655883188,-0.8579780852887744,0.04810208576240446,ir8010228.trees
0,10001.0,250,83,-0.5140536537240715,2.3376814674413584,0.10872279547130681,1.9656792273407793,1.4545972452351084,-1.8858923928269258,-0.15127164111698427,0.03867800952915605,ir8010229.trees
0,10001.0,250,65,-0.2649377897548792,0.3267413008209122,-0.012418280900988371,0.21258219431109893,0.3577650707054736,-0.45664954981119815,-0.3628246067312835,0.04288401854261365,ir8010230.trees
0,10001.0,250,74,0.06351767288765975,0.5939105451349983,0.055327987924913,0.9665429279215617,0.21182392837271363,-0.7646441268550342,-0.5473665987340534,0.04581922158680807,ir8010231.trees
0,10001.0,250,63,0.030971126564346113,1.0716746209619645,0.0889371666629491,1.3307380094084582,0.4469960833779804,-0.09285144646115813,-0.2484747512504766,0.04156050726202301,ir8010232.trees
0,10001.0,250,60,0.645856607554597,0.31041465438596205,0.11825920252035135,0.9551196114729239,-0.384260514775884,0.0490835133144367,-0.5683666293146332,0.04377725957593816,ir8010233.trees
