#/home/enes/bim/BIM.py trees/r3070000.trees,trees/r3070001.trees,trees/r3070002.trees,trees/r3070003.trees,trees/r3070004.trees,trees/r3070005.trees,trees/r3070006.trees,trees/r3070007.trees,trees/r3070008.trees,trees/r3070009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/529463819.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,TajD,FulD,FayH,FerL,btree,Colless,path
0,100001.0,50,420,-0.24546705067244845,-0.09005944120524419,-0.18062909970102783,0.7282268398730573,-0.013049825770881483,-0.00368867067126665,0.10963137397026954,0.13181211711203816,r3070000.trees
0,100001.0,50,417,-0.20614884405549797,-0.08270617696097832,-0.059022589786012776,0.33091132015488556,0.002939744847119272,0.05957635879931856,0.5145375877316787,0.10675364673232476,r3070001.trees
0,100001.0,50,458,0.3621948358620907,0.12971661090897554,0.19149572926080144,0.29780592374921083,0.009215919930210354,-0.03504239568471267,0.04871672469283013,0.12006955248467102,r3070002.trees
0,100001.0,50,513,-0.5431842344013913,-0.3540830944426403,-0.42215031269343023,0.4618761572182709,-0.011162299734772221,0.154655551210978,-0.48447727108630245,0.14493450889127588,r3070003.trees
0,100001.0,50,454,-0.35321989271833254,0.29305345753113465,-0.1313201260358173,-1.074033663589706,-0.05789554629716949,-0.41167356612787614,-0.04047957860918341,0.14298124655267522,r3070004.trees
0,100001.0,50,362,-1.3486191097662816,-0.44515291008096214,-0.5239010358170669,1.53451820677994,-0.012894805120684055,0.19972873291613927,-0.1519091012162677,0.11389522914428925,r3070005.trees
0,100001.0,50,489,-0.07995273900516801,0.8271753131104681,0.3969836035519816,-0.3239398926800621,-0.056164321300976205,-0.7091445400974433,0.06427095459150947,0.12641324135287918,r3070006.trees
0,100001.0,50,401,0.6516348239924502,-0.2475832192833331,0.17569193911758524,0.10609167635732315,0.05804435423710042,0.3859390513977658,0.3403584738732655,0.12200609410430836,r3070007.trees
0,100001.0,50,497,0.02264833693421843,-0.058410828236924665,0.024001297123874804,1.1196762002745917,0.011223077862416072,0.08077070492971827,-0.7276997624975727,0.16145202373186726,r3070008.trees
0,100001.0,50,487,-0.20480715094563806,-0.15925871966856797,-0.006501138794434501,-0.1899779419575403,0.02057100680405844,0.17778786610012098,-0.04808921501699222,0.1116565109456104,r3070009.trees
