#/home/enes/bim/BIM.py trees/ir3110070.trees,trees/ir3110071.trees,trees/ir3110072.trees,trees/ir3110073.trees,trees/ir3110074.trees,trees/ir3110075.trees,trees/ir3110076.trees,trees/ir3110077.trees,trees/ir3110078.trees,trees/ir3110079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/378421347.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,bsfs,FulD,FayH,ZngE,Colless,btree,path
0,100001.0,50,409,0.19685736859685046,0.35437333291182843,0.9552113175729301,-0.213802919734084,0.04808913219873294,0.010422002603067847,0.11460695389266816,0.44492910398153485,ir3110070.trees
0,100001.0,50,428,0.5151650244910935,0.2466274285383208,0.9667356974654109,-0.3851333505229772,0.07825399318312137,-0.324207756668653,0.10391422193877549,0.5990030376071176,ir3110071.trees
0,100001.0,50,431,0.5351392494625912,0.07203711070554422,0.8312883883431602,0.3163881623265429,0.06842407907350005,-0.4319140705697119,0.11422656018929304,0.5398634969626237,ir3110072.trees
0,100001.0,50,483,-0.20484752499258732,0.38266424006860866,0.26425729089002076,0.3881507553265193,0.002467732575526093,0.3775376174181657,0.12358276643990929,0.09528016226043907,ir3110073.trees
0,100001.0,50,413,-0.08609217090218717,-0.438727089455766,-0.8000242749978358,0.796284025693196,-0.04084410350083902,-0.15109106349199578,0.15841235484092628,-0.8589666149993228,ir3110074.trees
0,100001.0,50,427,-0.04988844730267111,-0.027141062089304696,-0.14226920919662123,0.5930072500333909,-0.007805785190117071,0.029713405677292196,0.1381915598097646,-0.32735661743200256,ir3110075.trees
0,100001.0,50,489,-0.15044555421419176,0.24038591427021697,0.3232471868963675,-0.7180325288703434,-0.0010219227382031468,0.25626503286668606,0.12066140324743038,0.20924233363652706,ir3110076.trees
0,100001.0,50,494,0.20885625597199378,0.057531911340152356,0.1556173419389009,0.18614436258823763,0.02870669656164092,-0.15338163667731583,0.11429120035110826,-0.10699361742534964,ir3110077.trees
0,100001.0,50,453,0.14233565027576536,0.29678478317640766,0.6510216552488607,-0.9055690533087875,0.03756170999712096,0.02861335354592856,0.10788548752834463,0.16753152344133626,ir3110078.trees
0,100001.0,50,473,-0.40467159011470205,0.40050009796480207,0.38734002118305744,-0.38008024524255085,-0.019931222981160263,0.5619236037320424,0.1348328063619814,-0.2234604343288924,ir3110079.trees
