#/home/enes/bim/BIM.py trees/r3120040.trees,trees/r3120041.trees,trees/r3120042.trees,trees/r3120043.trees,trees/r3120044.trees,trees/r3120045.trees,trees/r3120046.trees,trees/r3120047.trees,trees/r3120048.trees,trees/r3120049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/855106390.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FerL,FayH,bsfs,FulD,Colless,btree,path
0,100001.0,50,433,-0.23504715381601216,0.025452189115705296,-0.16755665882198714,-0.03625702606178136,-0.37773740465920186,-0.17924607037075688,0.11479591836734701,0.14065712247138382,r3120040.trees
0,100001.0,50,486,-0.2118476805442489,0.5873039811920516,-0.7947424217750799,-0.10876386924607694,-0.9404530605514395,0.7924432738095042,0.17386705926151555,-0.857426098692231,r3120041.trees
0,100001.0,50,463,-0.0759603719510395,-0.21643869490406742,0.20206577688825755,0.01861182261704429,-0.016058620227007846,-0.22107977573861468,0.11123053282226597,0.4691536452404139,r3120042.trees
0,100001.0,50,414,0.37633320003473436,0.21881889356690837,-0.027923275687503274,0.022970741409590077,0.5955964797463947,-0.42985554582500163,0.12380744980919196,0.19751519062212516,r3120043.trees
0,100001.0,50,397,-0.0019883564610254467,-0.3218790504497773,0.3660642435486096,0.04328335743289826,0.22501938623939147,0.662438846581283,0.12157764340304021,0.2651753904299491,r3120044.trees
0,100001.0,50,494,-0.24143691818968313,-0.4790768180352046,0.4039030162924754,0.03091437822578616,-0.05503128143866684,0.24616350650401023,0.11942057524764298,0.16613913529769042,r3120045.trees
0,100001.0,50,408,-0.08305876400428278,1.0261724113208681,-1.2196242738677332,-0.15040726039471836,-0.9388964646347447,-0.7143955897986283,0.15942376950780313,-0.7853313160460073,r3120046.trees
0,100001.0,50,441,-0.09829591246813296,-0.40520472145758646,0.40425790767810993,0.04101226391338012,0.24285551452727777,0.20099046378111596,0.12657020480149725,-0.09938539942704916,r3120047.trees
0,100001.0,50,428,-0.157557075967333,0.03483310476562945,-0.13258120223592865,-0.026707982146084483,-0.3329843049838477,0.27245048439727243,0.13726035868893013,-0.02306130230858834,r3120048.trees
0,100001.0,50,469,-0.17806635660814155,0.08283731850353185,-0.1994851748780481,-0.03602698381681173,-0.41313566484182945,-0.16560671722678938,0.13373076503328593,-0.2873961075283404,r3120049.trees
