#/home/enes/bim/BIM.py trees/r3110020.trees,trees/r3110021.trees,trees/r3110022.trees,trees/r3110023.trees,trees/r3110024.trees,trees/r3110025.trees,trees/r3110026.trees,trees/r3110027.trees,trees/r3110028.trees,trees/r3110029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/424042515.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FerL,ZngE,bsfs,FulD,FayH,Colless,btree,path
0,100001.0,50,410,-0.06958050845025014,-0.032101101628944945,-0.00778983246836847,-0.1572504123024965,0.10376452947654703,-0.008665218476820502,0.13385870780236972,0.046026560903295016,r3110020.trees
0,100001.0,50,400,-0.013873681657846155,-0.27750163418672147,0.23607058349532936,-0.2934404626952642,0.5217690106159606,-0.03388204076412481,0.13533612202645037,-0.3091324650758175,r3110021.trees
0,100001.0,50,364,0.26049422804702355,0.04613141255252674,0.09389796118772259,0.3601541079311055,0.12589332171480258,0.023689809314932777,0.10836461021190086,0.60503047554734,r3110022.trees
0,100001.0,50,394,-0.1706609617192123,0.10360330470897912,-0.17888881609189544,-0.06966923752025984,-0.021457219560815387,0.0003685874909711692,0.13175599910293775,0.44250031964688397,r3110023.trees
0,100001.0,50,538,-0.0481897053853674,0.2739287940760469,-0.2651895293165533,0.09100742579975069,0.34247263173489073,0.028992519286602812,0.11155426637660142,0.24019919873961967,r3110024.trees
0,100001.0,50,435,-0.03257092725819079,0.0475747488545247,-0.05853597205510372,-0.3522543472779227,0.8962265065485393,0.0033613748548704525,0.14051122961747514,-0.5913783713426235,r3110025.trees
0,100001.0,50,389,-0.15151745019996732,0.16369841793430817,-0.22166476054845222,-0.03462636934738861,-0.017495208840442415,0.00883839407684087,0.13799156026046774,-0.364260268102274,r3110026.trees
0,100001.0,50,458,-0.7219795692191167,-0.7083412589827389,0.24782199355679083,-1.7911275400866755,0.5242928598332169,-0.13422065786358367,0.17414364735793295,-0.9287220789129961,r3110027.trees
0,100001.0,50,417,-0.34933474981562257,-0.19260177537568793,-0.011581140894848647,-0.7219199807350144,0.9702185336426418,-0.047222182378932366,0.15663265306122445,-0.6502595621661529,r3110028.trees
0,100001.0,50,483,-0.1567178307205752,0.5202676313192707,-0.5372531552140943,0.06959688768524006,0.1733248725110416,0.05059900391404503,0.1088351596796354,0.05003112334273487,r3110029.trees
