#/home/enes/bim/BIM.py trees/ir8070234.trees,trees/ir8070235.trees,trees/ir8070236.trees,trees/ir8070237.trees,trees/ir8070238.trees,trees/ir8070239.trees,trees/ir8070240.trees,trees/ir8070241.trees,trees/ir8070242.trees,trees/ir8070243.trees,trees/ir8070244.trees,trees/ir8070245.trees,trees/ir8070246.trees,trees/ir8070247.trees,trees/ir8070248.trees,trees/ir8070249.trees 250 --stats=all --eta=etas/BC.json --out=outs/462586047.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,TajD,FerL,FulD,FayH,btree,Colless,path
0,10001.0,250,99,2.3218401821786983,2.0262347162125947,3.0164323936052098,-0.8388664359228156,-1.8948781222165407,0.11505944293582544,-0.251289698057898,0.03989301859390022,ir8070234.trees
0,10001.0,250,97,1.2566053836164197,0.9421920860997861,1.7003939160144774,-0.2259423457585342,-0.5478461922394227,0.09919998767757336,-0.096520641669659,0.038023059981862936,ir8070235.trees
0,10001.0,250,96,1.2611857858046251,1.3796102795304526,2.12745339530776,-0.5315111443113562,-1.6668267647372605,0.08957231411584331,-0.925793803478258,0.05131210325171654,ir8070236.trees
0,10001.0,250,92,1.7307959249130507,1.3861205571212407,2.238887378660063,-0.47958098813187333,-1.8043617471990916,0.10551209991306623,-1.0688746621462992,0.050576499546573395,ir8070237.trees
0,10001.0,250,109,0.8147677180607495,1.0362801383187479,1.3503110574125523,-0.5333090932434575,-1.6669549778795272,0.02964639778936064,-0.6230438933219067,0.04374271278663038,ir8070238.trees
0,10001.0,250,79,1.68764689451952,1.1208372145915282,1.7789253135035012,-0.4100666455657057,-0.677378638854879,0.08023101631351469,-0.41551331914535417,0.04274962754242778,ir8070239.trees
0,10001.0,250,103,3.836597342788686,1.6399159691280183,2.3311194493065623,-0.7383730994328653,-0.5143206798988205,0.07637142524077163,-0.750290404848167,0.04671290621543245,ir8070240.trees
0,10001.0,250,102,3.1410668362611602,1.330648560742293,2.4555147278111247,-0.28727357266705955,-2.650230930454664,0.14836166392510625,-0.6001903453640902,0.04051258798635402,ir8070241.trees
0,10001.0,250,89,1.418432776911306,1.0485632555698048,1.7401148271205638,-0.3381323105154344,-0.9410655566014476,0.08694494151419434,-1.1987988474191071,0.0532270209871745,ir8070242.trees
0,10001.0,250,108,3.728897989263608,0.6084234311643743,1.5272504713111195,0.09376623264693851,-0.29026296062070756,0.12963627484267917,-0.48817438417690096,0.04105415971285522,ir8070243.trees
0,10001.0,250,102,2.142520194113752,0.8823234374662506,2.0090557019504596,0.020298227365033436,-1.56993417771779,0.15673457448239372,-0.42931347382432794,0.04209878563489953,ir8070244.trees
0,10001.0,250,86,0.15872810940158016,1.5734847573802044,1.3938782353335935,-1.1798946469182665,-0.020511174408765778,-0.05772932462465015,-1.1202473200590946,0.054157274258323625,ir8070245.trees
0,10001.0,250,105,3.5393773577115155,0.8755330678159386,1.8883580738499393,-0.03728755326553962,-0.7374510251309682,0.13933205450672828,-0.639639893109496,0.04332743159015992,ir8070246.trees
0,10001.0,250,91,2.695013630202725,1.8782941115685379,2.4691511096472607,-0.9621085748635717,-0.585589680003019,0.055934448226089915,-0.4406653643534743,0.0450568878931285,ir8070247.trees
0,10001.0,250,101,1.55205411871414,1.5954533295056654,2.380336922910114,-0.656869512585692,-2.4638054809662697,0.09145876616031298,-0.9043389045284235,0.046610636092758125,ir8070248.trees
0,10001.0,250,121,0.8701050811142855,1.2209262113897406,1.4741151829398398,-0.6907095110890517,0.3309670176206219,0.01754208044835226,-0.5988289539135064,0.04531189273221921,ir8070249.trees
