#/home/enes/bim/BIM.py trees/r3110050.trees,trees/r3110051.trees,trees/r3110052.trees,trees/r3110053.trees,trees/r3110054.trees,trees/r3110055.trees,trees/r3110056.trees,trees/r3110057.trees,trees/r3110058.trees,trees/r3110059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/393888518.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,ZngE,TajD,FayH,FulD,bsfs,btree,Colless,path
0,100001.0,50,438,-0.286907546109146,0.6133673287323923,0.7002721691737835,0.014902967595271854,-1.5001163412532088,0.8513494953858698,0.9199091947838309,0.10464669738863296,r3110050.trees
0,100001.0,50,466,0.1130269659941002,-0.051086655384062464,0.09286535738569417,0.0198541346742566,-0.14546137320468788,0.09416580927249975,0.29666665532763614,0.11628290059479286,r3110051.trees
0,100001.0,50,487,-0.23137096402870375,0.17169286062612868,-0.060296815778199835,-0.03156717019847592,0.14484734550492528,-0.35991926073298813,-0.13409416321258194,0.14147430816986986,r3110052.trees
0,100001.0,50,413,-0.33848658348682864,0.3129779993808347,0.03150800307215367,-0.03792491532270097,-0.13604837576436388,-0.2588869908802909,0.5017561418929053,0.11529074906798872,r3110053.trees
0,100001.0,50,400,-0.5737631356344057,0.28052756338123824,-0.43079020119421735,-0.09814224815404604,0.41071818729957554,-1.6535912922797698,-0.7576955932442778,0.14289332754378348,r3110054.trees
0,100001.0,50,514,0.0761939022728722,-0.04014114011790512,0.05155055238965934,0.012598820490911438,-0.06468793445346459,0.10632127495564328,0.2618946707057905,0.1183601945451076,r3110055.trees
0,100001.0,50,478,-0.052833336945017774,-0.21718370199045667,-0.5095353849864883,-0.04179734748744075,1.8220418105679854,-1.7151540355963706,-0.2612249003075794,0.14084685156113733,r3110056.trees
0,100001.0,50,454,-0.3181145426464177,0.29993957643108315,0.04069272226128032,-0.03481616806488314,0.06832241923837011,-0.09339834596346007,0.22280894135674656,0.12648809523809512,r3110057.trees
0,100001.0,50,523,0.22702419700052626,-0.2754707427136844,-0.14756338510352923,0.016532757379434267,-0.5456027422895341,-0.03695235282106474,0.3684456763954183,0.09729681346222704,r3110058.trees
0,100001.0,50,452,0.20720123637091103,0.03759110757668811,0.42418550000520294,0.05413275314159843,-0.01515151752403278,1.1073968482145862,0.8439824651968681,0.10046237244897971,r3110059.trees
