#/home/enes/bim/BIM.py trees/ir8120106.trees,trees/ir8120107.trees,trees/ir8120108.trees,trees/ir8120109.trees,trees/ir8120110.trees,trees/ir8120111.trees,trees/ir8120112.trees,trees/ir8120113.trees,trees/ir8120114.trees,trees/ir8120115.trees,trees/ir8120116.trees,trees/ir8120117.trees,trees/ir8120118.trees,trees/ir8120119.trees,trees/ir8120120.trees,trees/ir8120121.trees 250 --stats=all --eta=etas/BC.json --out=outs/224961042.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,FerL,TajD,ZngE,FayH,Colless,btree,path
0,10001.0,250,60,6.597118386620668,-2.6278238583409914,-2.619359562770456,5.01011316533693,4.314121888216308,0.016285547921930228,0.06153646845446302,-2.0873119402563196,ir8120106.trees
0,10001.0,250,75,5.955681151594272,-1.759494767787942,-2.361752187836162,4.285752198690648,3.8057418510318453,-0.0012292740979019078,0.031577924601632335,0.14961819822110117,ir8120107.trees
0,10001.0,250,78,6.74099272781109,-2.739578150749437,-2.493501341774437,4.7158542880175,4.105828128820087,0.013945962889226135,0.04911581811115429,-1.2013236276686001,ir8120108.trees
0,10001.0,250,84,6.367040511844876,-1.9000875425877362,-2.449004786617309,4.456793942081581,3.960338919733152,0.0008037566005896749,0.044306257287213366,-0.9716955035140752,ir8120109.trees
0,10001.0,250,68,6.581661483435804,-1.096931530738554,-1.976363672691073,3.807070411708386,3.2759321797692578,0.015432909034691213,0.04459774582199767,-0.8964452190040203,ir8120110.trees
0,10001.0,250,59,6.68359831724043,-2.619779940852322,-2.707170396497139,5.022528927881924,4.388695039431374,0.004308562586761767,0.054087317009975384,-1.9285400967787085,ir8120111.trees
0,10001.0,250,64,6.065671461086786,-1.2575200592284252,-2.283484135689632,4.423726799222442,3.791083680097726,0.019246486971064274,0.04673532841041586,-1.0533703676393882,ir8120112.trees
0,10001.0,250,81,6.8307147136624815,-2.080798680181916,-2.2735739380465887,4.362235824819764,3.774054920195566,0.017856407794334516,0.03604741546832491,0.049970842210160474,ir8120113.trees
0,10001.0,250,76,4.913234941330105,-2.0149010029329237,-2.5744861607007175,4.47487464461874,4.062294765857544,-0.016526792107270462,0.035432050783780276,-0.09468268081526349,ir8120114.trees
0,10001.0,250,57,5.790433442595316,-2.2909369826205737,-2.7101172929834467,4.935050679671547,4.34919477219607,-0.0035280559429034437,0.05128578831454852,-1.8177102459063272,ir8120115.trees
0,10001.0,250,68,6.527984026052373,-1.6260440627684736,-1.7563510966227827,3.509857915202519,2.9671625995749946,0.02363980487541897,0.04380424925508486,-0.5940302983426055,ir8120116.trees
0,10001.0,250,60,6.508124231260764,-1.7355214011225153,-2.248040867977531,4.224294523709194,3.6693282370233686,0.007997637254642599,0.0329058168156497,-0.07647011906939871,ir8120117.trees
0,10001.0,250,76,6.081102364931681,-1.061963006848357,-1.8269352618619616,3.4573741425343893,3.007703816831198,0.010211579550058305,0.04586086280606296,-0.5127973015881552,ir8120118.trees
0,10001.0,250,64,6.251467241809244,-1.2575200592284255,-2.4395563956919273,4.576684587336868,3.984363195833827,0.008800174964246413,0.03667897396035756,-0.2940652332709285,ir8120119.trees
0,10001.0,250,63,3.4679981948327407,-1.797977938842241,-1.8888350569206238,3.5412821358548716,3.082858288762839,0.006505631688835604,0.06704236300038866,-1.955167835837681,ir8120120.trees
0,10001.0,250,77,3.8794064601941303,-1.5581087301848453,-2.3926910000727672,4.355104571516134,3.8634061243368167,3.998327103179629e-05,0.03433087187459515,-0.10726059276714175,ir8120121.trees
