#/home/enes/bim/BIM.py trees/ir3080050.trees,trees/ir3080051.trees,trees/ir3080052.trees,trees/ir3080053.trees,trees/ir3080054.trees,trees/ir3080055.trees,trees/ir3080056.trees,trees/ir3080057.trees,trees/ir3080058.trees,trees/ir3080059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/388125642.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,FerL,FulD,bsfs,FayH,Colless,btree,path
0,100001.0,50,442,0.1507777558222098,0.40320920215788186,0.06568470535418275,-0.17562913576912986,0.5853189911285145,0.03592287166245142,0.11260495189066616,0.46223965967263464,ir3080050.trees
0,100001.0,50,377,0.20514425374083595,0.22844842154091646,-0.09960859405432712,-0.07037655686752298,0.4787286862095064,0.004138976240378814,0.12575407521499166,0.22600790332067439,ir3080051.trees
0,100001.0,50,318,-0.3704300256660987,-0.5587412572780535,0.09454438386308196,-0.03157088359957681,-0.7204092068732304,-0.027844230691695622,0.16331736776343186,-0.4883659608882018,ir3080052.trees
0,100001.0,50,439,0.20778790963570135,0.3130207320867124,-0.05251797651775248,-0.2555625495847375,0.5337040106302436,0.01563050857415212,0.14648189784388327,-0.5709516803144713,ir3080053.trees
0,100001.0,50,459,0.0307350143382386,0.1521733754594511,0.05466913339979405,-0.06515198826115891,0.425131568530285,0.017089513011154998,0.1298815822625346,-0.34429417038239696,ir3080054.trees
0,100001.0,50,419,-0.1037652216426271,-0.4596541791459737,-0.1524473470312437,0.13688531491063766,-0.7879789210192703,-0.05016400862850272,0.14380586945522014,-0.5543164770490617,ir3080055.trees
0,100001.0,50,460,0.3645091372927559,0.21847710407023443,-0.2869213845095196,-0.13660213757479478,-0.021998896929322206,-0.018711309220220206,0.13396843112244902,0.1913792983880155,ir3080056.trees
0,100001.0,50,409,0.4789519453337281,0.31925949073613574,-0.3583416643707478,0.18447908642539565,0.10135404185130145,-0.020188517895930992,0.13211933709654072,-0.4457002451011352,ir3080057.trees
0,100001.0,50,485,0.5645531605158636,-0.23842284522227167,-0.7844730364096537,0.6786075898177858,-0.9046345700998911,-0.10940606057038077,0.17828207671957663,-0.6378184691257563,ir3080058.trees
0,100001.0,50,391,-0.38069035245947697,-0.6455235688839616,0.05424840361937458,0.6851680910609417,-1.2791038240266202,-0.038662127948421374,0.19233581282980486,-1.1369957953367147,ir3080059.trees
