#/home/enes/bim/BIM.py trees/ir8070186.trees,trees/ir8070187.trees,trees/ir8070188.trees,trees/ir8070189.trees,trees/ir8070190.trees,trees/ir8070191.trees,trees/ir8070192.trees,trees/ir8070193.trees,trees/ir8070194.trees,trees/ir8070195.trees,trees/ir8070196.trees,trees/ir8070197.trees,trees/ir8070198.trees,trees/ir8070199.trees,trees/ir8070200.trees,trees/ir8070201.trees 250 --stats=all --eta=etas/BC.json --out=outs/602255589.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FulD,TajD,FerL,FayH,Colless,btree,path
0,10001.0,250,62,0.28091651009244323,5.360534965286493,0.2415042062493793,0.6320529455993986,-0.0033820196735384286,0.049386383536271464,0.041865040808394864,-0.8358195082250459,ir8070186.trees
0,10001.0,250,100,1.6536554980922618,2.8536368444887326,-1.7233245762528129,2.720699709558371,-0.5409812840306242,0.13364768283950756,0.05113824473521326,-1.0056182797899513,ir8070187.trees
0,10001.0,250,117,1.7052562945229073,1.406059381028026,-2.0798020261151553,2.176562328815363,-0.900416445172556,0.04222590077383475,0.04065811633631299,-0.19186068556384098,ir8070188.trees
0,10001.0,250,118,0.21102783882131798,1.471968000784641,-0.9927522816040658,1.3916765090850476,0.5117147986134659,0.17611142813044564,0.03469145398799499,0.18791533020302437,ir8070189.trees
0,10001.0,250,122,0.8105769679849171,2.207837192184103,-2.1218433708928375,1.9703361202836525,0.09249249332386164,0.1624533652473885,0.04145846057039217,-0.3961220528212038,ir8070190.trees
0,10001.0,250,97,1.073021023457762,2.329669400630665,-1.4924479137393423,2.1177788951562735,-0.1571086905600254,0.140818448326122,0.04383771645722676,-0.4814440544167805,ir8070191.trees
0,10001.0,250,120,0.34518121790965295,3.3830404665823615,-0.10318554804347667,1.494444590881978,0.4031987229530586,0.16892117245407956,0.034395647104547226,0.13237169453130282,ir8070192.trees
0,10001.0,250,60,0.7047476550727756,4.638577368929474,0.3465176657205959,1.1418064196385955,-0.2515906879972143,0.053818504913188986,0.06075268817204301,-1.8598091833897066,ir8070193.trees
0,10001.0,250,101,1.2755360290107105,3.7232935632550332,-0.10097369105828252,1.8947892240104682,-0.5297184773789929,0.0718553436105055,0.04473134473377381,-0.6092831004684345,ir8070194.trees
0,10001.0,250,81,1.0229409537538259,1.9643309109223557,-1.4079250326216999,1.615578206230054,-0.37787018858489063,0.07202464448174187,0.03795828475191086,-0.09595351969384772,ir8070195.trees
0,10001.0,250,73,0.9720571778599184,2.0777940227793485,-0.48649138573635214,1.867130871585257,-0.18008368161455404,0.12008343060842362,0.03877794054630432,-0.19923398052287,ir8070196.trees
0,10001.0,250,99,1.1635400893483916,1.6217986193804985,-1.3390710704045001,1.7911449591275317,-0.4490803547115541,0.07512430787160253,0.04245063746446888,-0.3036480677297505,ir8070197.trees
0,10001.0,250,97,0.6134250673504688,1.7835436931185413,-2.248129290939278,1.7356408377606627,0.20036999782211132,0.1611354172878866,0.038786482334869435,-0.13887924445194993,ir8070198.trees
0,10001.0,250,117,0.934750976554757,1.6300162832495186,-0.8172312642163113,1.986821774958918,-0.05297858039854074,0.1440373079545838,0.044093038821954485,-0.5445883525017101,ir8070199.trees
0,10001.0,250,84,0.5864623269373488,2.1496740663887404,0.05006082317429544,1.4767096560127846,0.08718295806055669,0.1265194773378538,0.04369089260266874,-0.421649650711791,ir8070200.trees
0,10001.0,250,116,1.0540688508701392,1.6812270700210874,-2.0709757604629337,2.0487794026930177,-0.16636976496425265,0.13324267125317865,0.04167255532393504,-0.434460371283693,ir8070201.trees
