#/home/enes/bim/BIM.py trees/ir8040122.trees,trees/ir8040123.trees,trees/ir8040124.trees,trees/ir8040125.trees,trees/ir8040126.trees,trees/ir8040127.trees,trees/ir8040128.trees,trees/ir8040129.trees,trees/ir8040130.trees,trees/ir8040131.trees,trees/ir8040132.trees,trees/ir8040133.trees,trees/ir8040134.trees,trees/ir8040135.trees,trees/ir8040136.trees,trees/ir8040137.trees 250 --stats=all --eta=etas/BC.json --out=outs/639568772.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FerL,ZngE,bsfs,TajD,FayH,Colless,btree,path
0,10001.0,250,71,-1.178204664169863,-0.2990220260943937,1.0001482429975015,3.3232495303056937,1.7155156754475727,0.09146315672898615,0.04784298484259619,-0.9165277500924407,ir8040122.trees
0,10001.0,250,90,-0.9643647842880034,0.06993255725523534,0.6833974455499755,1.4620477367539912,1.6598567264153519,0.13773411615438513,0.043982381137453036,-0.5709308214108509,ir8040123.trees
0,10001.0,250,100,-1.7233245762528133,-0.7328005375925535,1.7175748317731547,1.639691202967909,2.5169117488793162,0.09142830333432994,0.040039541053414215,-0.35210586668339877,ir8040124.trees
0,10001.0,250,77,0.5596689545812787,-0.05010213604747214,0.5283687907098044,2.1626002863520304,1.099975373411677,0.07845893754991483,0.04662582742644927,-0.70842411929164,ir8040125.trees
0,10001.0,250,84,-0.5999886320797152,-0.6950324471727625,1.4256734849434642,1.1581044443786161,1.9431440710277106,0.05271608975020018,0.043441843011646136,-0.4135683127238529,ir8040126.trees
0,10001.0,250,74,-1.9861965441237328,-0.6269358881018336,1.48357452551061,1.5935530632206147,2.206767901235369,0.08299198188736953,0.035011011789091856,0.1556424668974472,ir8040127.trees
0,10001.0,250,87,-1.5216642680239814,-0.521311019953798,1.4917533911250802,3.072004886648709,2.4043528696261567,0.11266190744197985,0.04134279051690634,-0.6272354680625638,ir8040128.trees
0,10001.0,250,101,-1.3732677317779673,0.3360310531230963,0.3007676011760824,1.7131526803972692,1.2798310455404764,0.1446506631858159,0.035695470052252015,-0.04114761426501476,ir8040129.trees
0,10001.0,250,111,0.46573247154142694,-0.22816807496913746,0.772718203956824,1.115258727103459,1.31205969695762,0.06873467658224983,0.048937686228786116,-0.9331777857149297,ir8040130.trees
0,10001.0,250,85,-1.9139659655824843,0.5826177711353917,-0.22000716730286576,1.1935651904292586,0.5630529483050732,0.12531648112204807,0.043451224251846096,-0.3926824254870577,ir8040131.trees
0,10001.0,250,101,-0.46448627412104976,-0.0977080367345195,0.6650815882703376,2.0772132917327033,1.310558807983469,0.08692002507311217,0.03809863108347369,-0.0424842762699076,ir8040132.trees
0,10001.0,250,99,-0.9685330358631392,-0.09958870551659166,0.8236503789955715,1.2206942429762777,1.6626501068922814,0.11374964503815153,0.04335856750987119,-0.5253166743542225,ir8040133.trees
0,10001.0,250,89,-1.3512455721990102,-0.16063798517525876,1.284195234837335,1.7912087210722563,2.590673332395748,0.17737670780382703,0.052292117779875254,-1.1471357518524103,ir8040134.trees
0,10001.0,250,77,-0.8521828352628038,-0.5653990739951926,1.5075853833886257,1.7048570301798622,2.3697120899198074,0.1042740188937161,0.04018007513926674,-0.2636647855354365,ir8040135.trees
0,10001.0,250,106,-1.6268784237102356,-0.5492969949648361,1.2773839409232939,1.9395453519721226,1.860948787142696,0.06648411631065965,0.05205207928488145,-1.0172853282708194,ir8040136.trees
0,10001.0,250,82,-2.0930659656463533,-0.3401386350567346,1.1525346744062943,2.3565001700644084,1.9750154988687385,0.10515531493686797,0.04800696845105379,-0.7826662055926199,ir8040137.trees
