#/home/enes/bim/BIM.py trees/r3060090.trees,trees/r3060091.trees,trees/r3060092.trees,trees/r3060093.trees,trees/r3060094.trees,trees/r3060095.trees,trees/r3060096.trees,trees/r3060097.trees,trees/r3060098.trees,trees/r3060099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/173882683.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FayH,ZngE,FulD,TajD,FerL,btree,Colless,path
0,100001.0,50,296,-1.4025813576904351,-0.11614137672507385,0.4518354169694174,1.4080331246644624,-0.3897988956297073,-0.7447634083358438,-1.2759022290619755,0.16738309497027154,r3060090.trees
0,100001.0,50,324,-2.181978382040357,-0.19702937645450916,0.48560105883659044,-0.22873979710267414,-0.9362763875460225,-1.1045869621777875,-1.4651394768867565,0.19755343082114732,r3060091.trees
0,100001.0,50,407,-2.935311218538262,-0.22124949443089909,0.6965581004414376,1.293081580095541,-0.9093694398189329,-1.330316123314492,-1.5031372441173614,0.1986122851507467,r3060092.trees
0,100001.0,50,347,-3.2035059129235504,-0.1958763372231245,0.5809499238790082,2.2966722433474023,-0.8368173604366131,-1.1552043317146414,-2.155578988217848,0.18948412698412723,r3060093.trees
0,100001.0,50,351,-1.2750651184694848,-0.16289445763446794,0.7477479059917601,0.08371364362385225,-0.43939261511139477,-1.1118270956655971,-0.9231371942218521,0.1742941152364561,r3060094.trees
0,100001.0,50,326,-2.9430158686222763,-0.2957333597730146,1.0529152311306158,0.7049283491282812,-1.0908359849357259,-1.8430338759667952,-2.037033152238055,0.22144274376417242,r3060095.trees
0,100001.0,50,441,-1.4808438685073724,-0.1550058361461079,0.6279165574602594,0.40256242982454987,-0.5027562329046709,-1.012573054159946,-1.4430409887582116,0.1717909676959789,r3060096.trees
0,100001.0,50,423,-3.226179315401207,-0.3289188777432332,1.3917217388768117,0.8398101074678606,-1.008193577324119,-2.1816636264632567,-1.580803888068958,0.15777200450732448,r3060097.trees
0,100001.0,50,430,-2.738465211047622,-0.2464933751765854,0.7670626941540818,0.5314743434147898,-1.022950267330373,-1.4778306528670244,-2.1215686530670403,0.21704437588989078,r3060098.trees
0,100001.0,50,323,-2.9558931176686567,-0.11442992842609853,-0.15460468484703643,2.252422556200285,-0.9677637675136153,-0.3922815814284627,-1.4172564940223542,0.2095870399441828,r3060099.trees
