#/home/enes/bim/BIM.py trees/r8030068.trees,trees/r8030069.trees,trees/r8030070.trees,trees/r8030071.trees,trees/r8030072.trees,trees/r8030073.trees,trees/r8030074.trees,trees/r8030075.trees,trees/r8030076.trees,trees/r8030077.trees,trees/r8030078.trees,trees/r8030079.trees,trees/r8030080.trees,trees/r8030081.trees,trees/r8030082.trees,trees/r8030083.trees,trees/r8030084.trees 250 --stats=all --eta=etas/BC.json --out=outs/572743488.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FayH,FerL,TajD,FulD,bsfs,btree,Colless,path
0,10001.0,250,37,0.9627887118409646,0.0420348239351489,-0.4631259991385964,1.3735566994288861,3.212582534139223,4.439268983834756,0.047489722733739775,0.03400699572483483,r8030068.trees
0,10001.0,250,56,2.8891684363111216,0.01718327065803328,-1.7337252480728338,3.403529459630203,-1.008319855025177,6.323176367415097,0.3293539717103168,0.029947747981171995,r8030069.trees
0,10001.0,250,52,2.816762282020994,0.016058117050819005,-1.693911302121635,3.323315328934016,0.1618056285915317,4.150038080159578,-0.6966238468671553,0.045378287342920064,r8030070.trees
0,10001.0,250,39,1.8957175900160765,0.012212672579353444,-1.1390972272387738,2.2728231054886785,0.2682766911472261,5.661697604066818,-0.24040048710198395,0.035156756056484,r8030071.trees
0,10001.0,250,31,1.4409270489972588,0.007494663043801699,-0.8740792914266763,1.7361689677644438,0.49821997999586753,3.403323632295161,-0.021285784966096524,0.035691151703588546,r8030072.trees
0,10001.0,250,58,1.6405763884280242,0.03531489111218383,-0.8963844584919921,2.0912686651067176,1.6861700032492595,3.4021509502626643,-0.2667645195101645,0.029935872522347456,r8030073.trees
0,10001.0,250,36,1.4500145137037772,0.023802954697866124,-0.8256576863764542,1.8320073482790415,-1.8520718030197605,5.307598997296941,0.41054476044500404,0.02931798880108247,r8030074.trees
0,10001.0,250,44,1.7905159835153568,0.031378443983797445,-1.0084941289696874,2.2573930451009354,-0.8760033257215952,5.201526858628264,0.7563380941809789,0.025051820183961654,r8030075.trees
0,10001.0,250,65,3.275483664622767,0.011536839579175132,-1.9903578643545792,3.7876589699011585,-0.7326443908444591,6.390514777505461,-0.2465614325710246,0.039662682990024616,r8030076.trees
0,10001.0,250,46,3.1407627420974595,0.01853046817717048,-1.8891316351240244,3.728006932794758,-2.106404018127068,6.034777635991926,0.06660855898114221,0.03231564249830865,r8030077.trees
0,10001.0,250,36,1.959191102020995,0.019476065955427294,-1.1563989658598086,2.3989401194100095,0.5217789922356245,5.403472941178683,-0.37449744965969656,0.03869024485036922,r8030078.trees
0,10001.0,250,30,2.0023538042225213,0.042583516609055926,-1.114891926609083,2.6060453801678873,0.04606551011202221,4.346221512576229,-0.2569230718509384,0.04291358984324395,r8030079.trees
0,10001.0,250,35,1.251481958480752,0.02917411104850596,-0.6854400315673103,1.6347373893322892,0.12802021470403593,5.177128950710365,0.3128830526083633,0.032070936074045285,r8030080.trees
0,10001.0,250,33,2.7793849341008445,0.03335349663477077,-1.6247635236391527,3.4508027086464335,0.3031371255318607,4.026963617224561,-0.48869291906186196,0.04266744396942609,r8030081.trees
0,10001.0,250,45,2.927737447335888,-0.0019403470178218363,-1.8253460938517314,3.3599047058590754,-0.9218027515357813,5.185664481875535,-0.7576382086360867,0.04618833757970952,r8030082.trees
0,10001.0,250,74,2.0920676341890285,0.040966015304991596,-1.1518034581648882,2.6240698303063614,-0.5203336434012955,5.274592480097952,-0.054732286176082515,0.035678196657598124,r8030083.trees
0,10001.0,250,32,2.6722908040730236,0.031254275219654244,-1.565657541852232,3.317590716342844,-1.7113926896551759,5.442919319369121,-0.6880607430548125,0.044622036533229686,r8030084.trees
