#/home/enes/bim/BIM.py trees/r8040153.trees,trees/r8040154.trees,trees/r8040155.trees,trees/r8040156.trees,trees/r8040157.trees,trees/r8040158.trees,trees/r8040159.trees,trees/r8040160.trees,trees/r8040161.trees,trees/r8040162.trees,trees/r8040163.trees,trees/r8040164.trees,trees/r8040165.trees,trees/r8040166.trees,trees/r8040167.trees,trees/r8040168.trees,trees/r8040169.trees 250 --stats=all --eta=etas/BC.json --out=outs/216273610.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FerL,FayH,bsfs,TajD,ZngE,Colless,btree,path
0,10001.0,250,88,-0.5026462318554936,-0.19545812108068084,0.09363445052002074,1.3213596318996401,1.56755835113669,0.8561695038526911,0.027180149168100975,0.643163238209116,r8040153.trees
0,10001.0,250,97,-1.303527569439358,0.4000597365079147,0.14285275569922087,1.132908708857117,1.1363460523965205,0.18433326762197824,0.02662926312362768,0.7925010985195226,r8040154.trees
0,10001.0,250,63,-1.51379019011206,-1.4557415571072685,-0.08653353725579077,0.6245372025333423,1.567791103371702,1.8644505874178927,0.03184868506283198,0.47821669783677295,r8040155.trees
0,10001.0,250,87,-0.8929394274758476,-0.5633646246626159,0.05446611739925039,1.542172693003032,1.7271211080466036,1.224148303563276,0.02971609942072437,0.4950309019607965,r8040156.trees
0,10001.0,250,67,-1.604848554541067,-0.5168894293061626,0.10628865584296643,2.4801878710957292,2.2990389977924903,1.4318335845425427,0.02916958155201451,0.2022678616776676,r8040157.trees
0,10001.0,250,97,-1.87028860233931,-0.2097363231112616,0.13004090788935627,2.103897028015752,2.0726504530720846,1.0953907381355505,0.02909462305335371,0.5773995154982401,r8040158.trees
0,10001.0,250,61,0.29320740704667797,-0.31983309720709974,0.05182305556524734,1.865009200692975,1.2422337648413087,0.8042904424401768,0.02626213127404429,0.9499605371997363,r8040159.trees
0,10001.0,250,77,-0.6168742036221234,-0.16284203427961716,0.14297312133822274,1.8329869167296322,2.1346529421295415,1.0783397537211972,0.027751961562941796,0.7262977323220691,r8040160.trees
0,10001.0,250,82,-0.984583801270448,-0.5353511469462456,0.01680065391592798,1.0778639208284861,1.1894301824134947,0.9609939817176427,0.033484031000663,0.24659604822387018,r8040161.trees
0,10001.0,250,76,-1.3001975058694983,0.2896240560930428,0.1391396227793937,1.6852495165798727,1.2602741754654518,0.3249873399033553,0.03633520256139766,-0.09443317264309233,r8040162.trees
0,10001.0,250,61,0.2932074070466783,-0.22349629704016122,-0.031230029812717507,-0.37622080121286566,0.014401390873823082,0.18654122761022018,0.04328265801390106,-0.6169778040079337,r8040163.trees
0,10001.0,250,81,-0.7350513850614838,-0.5775694609844952,0.06938272759440885,0.9961726417447803,1.9444377701396445,1.3303101021721055,0.035638913614917514,0.09809248541670769,r8040164.trees
0,10001.0,250,106,-0.5856902052798311,-0.750178175715041,0.05685091238755535,4.645555826621944,2.097642787813349,1.5457689662100582,0.028336572094830936,0.3580521062568971,r8040165.trees
0,10001.0,250,103,-1.2278183397272016,0.19937167333073103,0.0948849653885552,4.514939820780095,0.8788623008584456,0.2320972148196584,0.03370933812053127,0.006826229827451463,r8040166.trees
0,10001.0,250,89,-1.35124557219901,0.13632234645740124,0.12357591642910502,1.5833539853162777,1.3548684850815738,0.4936169118743135,0.02966073578341691,0.5064540387816211,r8040167.trees
0,10001.0,250,86,-1.5037543848650903,-0.7852471021952189,0.02756411103578552,2.126275536159244,1.7814787043517497,1.4272653761377025,0.029849329802330106,0.4059517926300634,r8040168.trees
0,10001.0,250,92,-0.8108030710186571,-0.274796614654865,0.0826280386571096,0.9500306079424243,1.5707754306850832,0.9226579063237935,0.029265448892343577,0.5198270044631679,r8040169.trees
