#/home/enes/bim/BIM.py trees/ir8110122.trees,trees/ir8110123.trees,trees/ir8110124.trees,trees/ir8110125.trees,trees/ir8110126.trees,trees/ir8110127.trees,trees/ir8110128.trees,trees/ir8110129.trees,trees/ir8110130.trees,trees/ir8110131.trees,trees/ir8110132.trees,trees/ir8110133.trees,trees/ir8110134.trees,trees/ir8110135.trees,trees/ir8110136.trees,trees/ir8110137.trees 250 --stats=all --eta=etas/BC.json --out=outs/174927779.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,TajD,FerL,bsfs,FayH,ZngE,Colless,btree,path
0,10001.0,250,61,-1.4640919793747553,3.647800189170884,-1.738463960985794,5.904495685086851,0.03642214865227236,3.0062507927888324,0.043839875631558486,-1.059237500280695,ir8110122.trees
0,10001.0,250,94,-2.4155617859876344,2.997592980693171,-0.8683304879562326,4.737992670786807,0.10965642422336012,2.039522332113259,0.05818974824027292,-1.696710089561078,ir8110123.trees
0,10001.0,250,112,-0.7174041942644074,2.6722476567052422,-0.33829375813063506,2.595280889331808,0.1573392223631867,1.4718497196212317,0.03633890400310922,-0.21322708183085176,ir8110124.trees
0,10001.0,250,114,-1.8910606066858733,3.5104524308563962,-0.8459540111120899,2.0207494953523684,0.15138066709680817,2.258945653728375,0.04168933799714989,-0.42307831355493997,ir8110125.trees
0,10001.0,250,95,-1.8447119226378235,3.4267948416260317,-1.6649993339628244,3.786739999325534,0.03177336967422456,2.8753297344963498,0.0539631644859006,-1.6400247040392808,ir8110126.trees
0,10001.0,250,98,-1.6956262993544051,3.665993142026114,-1.656185062082008,5.479377426844308,0.051482257137491744,2.976604894741144,0.039750399447251374,-0.5880037167671314,ir8110127.trees
0,10001.0,250,88,-1.7464953843299003,3.218890487810464,-1.0322373907521698,6.318691873862003,0.10397178927269227,2.2677071713746817,0.04456535820702163,-0.7510425642424031,ir8110128.trees
0,10001.0,250,95,-0.6884000218441941,3.5569209509008854,-1.7213915098463477,5.4261063184215885,0.03393069141215801,2.9789935254586806,0.0570345899727944,-1.7940218424083592,ir8110129.trees
0,10001.0,250,100,-2.273812059355387,3.90510116436737,-1.6705255765297433,5.63435812699303,0.06788990516593307,3.096123760231168,0.04669214492378115,-0.963691484127902,ir8110130.trees
0,10001.0,250,79,-1.1367139639820532,3.2136453661368707,-1.664050576105113,4.410493481877338,0.01454765914015192,2.7702318367383287,0.046638165565487756,-0.7592648257908758,ir8110131.trees
0,10001.0,250,82,-1.8713695327711721,3.523777875463553,-1.5243907592206467,5.144037847340146,0.05844905550909243,2.797251862038599,0.041990542816427,-0.4840962236664697,ir8110132.trees
0,10001.0,250,126,-2.1531604877407147,2.976233237142209,-0.5934913487783304,3.3383420402021717,0.1449240536958265,1.8184768591665512,0.03814181457010839,-0.39593658573025486,ir8110133.trees
0,10001.0,250,79,-0.44771097629129186,3.287662918688689,-1.6203081772649204,6.52288101132144,0.026473209873759986,2.767774943060851,0.05882886384246664,-1.7382115490671861,ir8110134.trees
0,10001.0,250,106,-1.106284314495033,2.667539319601939,-0.6923714859680568,3.60191929405661,0.10841788962040509,1.7542354742234982,0.042916828604741546,-0.686342621180309,ir8110135.trees
0,10001.0,250,61,-2.3427416725854724,4.5757295444254495,-2.4462856001086584,4.541579594091346,0.007223171054569731,3.985129783122398,0.049585438528306776,-1.4633230165695716,ir8110136.trees
0,10001.0,250,116,-1.5935829916056188,2.5222967903584315,-0.6079802834616846,4.947979551748793,0.10869862463559089,1.6237142021273796,0.03698341754113227,-0.4348853684763278,ir8110137.trees
