#/home/enes/bim/BIM.py trees/r8030085.trees,trees/r8030086.trees,trees/r8030087.trees,trees/r8030088.trees,trees/r8030089.trees,trees/r8030090.trees,trees/r8030091.trees,trees/r8030092.trees,trees/r8030093.trees,trees/r8030094.trees,trees/r8030095.trees,trees/r8030096.trees,trees/r8030097.trees,trees/r8030098.trees,trees/r8030099.trees,trees/r8030100.trees,trees/r8030101.trees 250 --stats=all --eta=etas/BC.json --out=outs/160698122.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,TajD,FayH,ZngE,bsfs,FerL,Colless,btree,path
0,10001.0,250,54,-0.9353579182464251,2.6573987991911707,0.03556330127222559,2.131073788183722,5.754917227534728,-1.2013437429851896,0.03284398591433181,-0.13792013933133712,r8030085.trees
0,10001.0,250,41,0.5402167657455896,2.4100683763254485,0.032115959214760244,1.91366614673065,5.7567894740824315,-1.084211939206251,0.025640195189359588,0.37512316079399594,r8030086.trees
0,10001.0,250,42,-2.4308559519800785,3.967730291980538,0.0072732229472887355,3.3951983222790796,5.599867225098004,-2.086323201754502,0.029205531804637905,0.08181501291015589,r8030087.trees
0,10001.0,250,43,-1.6369665763827614,3.1195808421431854,0.04208821247738248,2.478973080288131,4.3261746557531495,-1.4014454298742431,0.04214168501964848,-0.5714998751233126,r8030088.trees
0,10001.0,250,58,0.15129443107301588,3.0896454324657974,0.03332496723982188,2.528122697916781,5.624534328543348,-1.4537514449937663,0.03161571015243771,0.0857113962507325,r8030089.trees
0,10001.0,250,29,-2.158993785550444,3.5519296422448967,0.04665123928997051,2.781732709283234,5.374144960785197,-1.589202138892487,0.02825819406658894,0.6604712482783848,r8030090.trees
0,10001.0,250,23,0.16167109946190467,2.35961917298495,0.02264813503333257,1.8669427290271827,4.657717114552015,-1.0988386421719678,0.03004275165176836,-0.003366132294149954,r8030091.trees
0,10001.0,250,41,0.9624483246107574,1.6661947207311847,0.0494153176909726,1.1793199516428534,5.3643340115714455,-0.5709190932503894,0.031067819665759815,0.11048482866665804,r8030092.trees
0,10001.0,250,40,-0.2403524040278596,2.541174690462599,-0.05577048998182374,2.4872339361955165,0.9589516367485965,-1.7288522232439636,0.04934073210404341,-0.8846442665516424,r8030093.trees
0,10001.0,250,36,0.5217789922356252,1.8754040102067626,0.02689358951389382,1.4712984225401882,5.617430617772565,-0.8289583348792944,0.028873558751133566,0.3204909153313411,r8030094.trees
0,10001.0,250,33,-1.749376453326062,2.691422142627529,0.03871595527739445,2.1030755298497104,5.5139610003054065,-1.1866764736911766,0.030703458997279442,0.07142886158387514,r8030095.trees
0,10001.0,250,51,-0.4702188642782444,3.0545665669029103,0.035836882766085994,2.4721196754601,5.857855053410019,-1.4134297507512887,0.033624233002390806,0.08857850762806269,r8030096.trees
0,10001.0,250,49,-0.37024077958604623,3.4188407780691863,0.03444313779716022,2.7935228231367715,6.032702215933397,-1.6186808996970918,0.026528695426868764,0.6743214373909912,r8030097.trees
0,10001.0,250,53,-1.2307189338712317,3.2231975991174147,-0.004297037765634946,2.84278121406337,4.303124209454194,-1.778883646944134,0.03909589972794403,-0.26111426660744014,r8030098.trees
0,10001.0,250,63,-0.9454146926516992,3.3302390635930443,0.03440788299851855,2.741060748781583,6.352775948731231,-1.5802575588266168,0.023626765125016193,1.0148244858904785,r8030099.trees
0,10001.0,250,40,0.1914303397105595,2.5192976981131867,0.017199733866363066,2.084520315119739,5.589573080430886,-1.2398149758418422,0.03250906853219329,-0.22174076782397759,r8030100.trees
0,10001.0,250,49,-0.7290367633705622,3.4849399321581958,0.014013156859538207,2.9618332495983304,5.844004580315826,-1.7919199091133975,0.03556969814742842,-0.07059067912787471,r8030101.trees
