#/home/enes/bim/BIM.py trees/ir8060090.trees,trees/ir8060091.trees,trees/ir8060092.trees,trees/ir8060093.trees,trees/ir8060094.trees,trees/ir8060095.trees,trees/ir8060096.trees,trees/ir8060097.trees,trees/ir8060098.trees,trees/ir8060099.trees,trees/ir8060100.trees,trees/ir8060101.trees,trees/ir8060102.trees,trees/ir8060103.trees,trees/ir8060104.trees,trees/ir8060105.trees 250 --stats=all --eta=etas/BC.json --out=outs/956653860.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,TajD,FayH,ZngE,FerL,Colless,btree,path
0,10001.0,250,57,5.8486305201180855,0.8288585253955871,2.605653484216397,0.029475824786513807,2.123227682930948,-1.216146826714371,0.06581163363129938,-2.5126585789508766,ir8060090.trees
0,10001.0,250,35,4.771618318082787,-0.3588779658902973,2.139203012715616,0.013528738057697104,1.7645014769251288,-1.0548179031285823,0.03400699572483482,0.22164776132013186,ir8060091.trees
0,10001.0,250,49,5.927936324786632,-0.011444795801530154,2.360631823227386,0.025544894465759457,1.9193134439036017,-1.1058020892080338,0.04422528824977329,-0.8122067159497219,ir8060092.trees
0,10001.0,250,60,6.172262201330379,-1.1406530963101977,3.3379359714801686,0.024056409072944034,2.800852097713011,-1.6540966398483705,0.043554864619769394,-0.7618272952153985,ir8060093.trees
0,10001.0,250,71,6.708612485833401,-1.9402942155536562,4.486518173087961,0.01763471115257936,3.8693858747769534,-2.3356732737748356,0.046281901800751396,-0.8449756045531476,ir8060094.trees
0,10001.0,250,36,5.703378902108546,-0.9025314849176062,2.1934123082275443,0.019541931943309797,1.7823709363031186,-1.04616545561434,0.028371550719005052,0.7470196528116292,ir8060095.trees
0,10001.0,250,55,5.7115138066785756,-0.3274609709916466,2.7294280446823294,0.02253570582544943,2.2671674441754246,-1.3298346688875928,0.05292136287083819,-1.3104672997027538,ir8060096.trees
0,10001.0,250,46,3.583663723958736,-0.9657826872426789,3.4833917558099126,0.019222346122765754,2.9244332696885214,-1.7524453888954608,0.054314030314807624,-2.1147050675404966,ir8060097.trees
0,10001.0,250,47,5.115937050348214,-1.7536309308926523,3.687697387736148,0.0641840210627941,2.862658950607164,-1.5631998069859445,0.03277626635574556,-0.17734719610454464,ir8060098.trees
0,10001.0,250,67,6.5918670005636955,-1.8731106250843799,4.08838363847863,0.018843875374083864,3.503419398291321,-2.105705029406648,0.04307552791812411,-0.30083051998860777,ir8060099.trees
0,10001.0,250,55,6.377918750040828,-1.2949489529817475,3.4357279458156005,0.013114744286584192,2.937730152809545,-1.7780544705564836,0.0367275553828216,-0.309503182571748,ir8060100.trees
0,10001.0,250,54,6.0977400293880395,-0.27930689578105317,3.386779990561186,0.022042117987844043,2.8437451386097,-1.6896311155763448,0.05369866563026299,-0.8541105078654634,ir8060101.trees
0,10001.0,250,55,4.436511183097011,-0.972452958985047,3.9932807790029563,-0.0022578618404287903,3.5107152084106135,-2.186038515052075,0.03695426868765384,-0.4245041495830336,ir8060102.trees
0,10001.0,250,56,5.981602608849879,-1.008319855025177,3.362149617128604,0.02336483963461698,2.818819424847529,-1.6689413025327067,0.05211167249643737,-1.3068147382453237,ir8060103.trees
0,10001.0,250,54,5.175453174981374,-1.5914089407117977,4.546045859945058,0.016154131931899792,3.8908415563876737,-2.359454770408103,0.06513149371680269,-1.7184954599258513,ir8060104.trees
0,10001.0,250,55,6.267729554247729,0.9625230049951549,3.3286644564672336,0.0003928151447529152,2.913903051487521,-1.806682459597899,0.04271926415338775,-1.0272448163347565,ir8060105.trees
