#/home/enes/bim/BIM.py trees/ir3010090.trees,trees/ir3010091.trees,trees/ir3010092.trees,trees/ir3010093.trees,trees/ir3010094.trees,trees/ir3010095.trees,trees/ir3010096.trees,trees/ir3010097.trees,trees/ir3010098.trees,trees/ir3010099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/542367734.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FerL,ZngE,FayH,bsfs,FulD,Colless,btree,path
0,100001.0,50,421,0.22959123484711072,-0.1498292276739378,0.24992573287468153,-0.0017246090662483451,0.22629581770897592,-0.2663982804741293,0.13075820879532918,-0.3768794906868348,ir3010090.trees
0,100001.0,50,370,0.23531665095936094,-0.09536861148077651,0.2049406580288358,0.0051211081468761814,0.40897443393903277,-0.5294392550063115,0.1496598639455782,-0.6138076878744271,ir3010091.trees
0,100001.0,50,445,-0.14974045202028044,-0.06630926323013939,-0.019251543871255553,-0.018303105925294504,-0.45337602409563615,0.10300314777389141,0.15333496412263534,-1.0219209239829499,ir3010092.trees
0,100001.0,50,489,0.3844122340584393,-0.18518906347428102,0.3612306000863949,0.004916276956761129,0.45239874916617917,-0.8392918015442761,0.1349051339285714,-0.23109228632320272,ir3010093.trees
0,100001.0,50,488,0.25459550871791065,-0.16305578633862877,0.27466970939168767,-0.0015221902697704305,0.10145589345639917,-0.5304849831490002,0.14621864370748303,-0.45057306482241205,ir3010094.trees
0,100001.0,50,498,-0.3105924805977728,-0.8416046047068722,0.5773190330376919,-0.1211581648114665,-1.3901877024956295,0.39634832155532485,0.14646258503401374,-1.0612030220725763,ir3010095.trees
0,100001.0,50,380,-0.02851346380267969,-0.23157028957845213,0.18823853094944337,-0.029481515221309332,-0.24157879964070497,0.8001024153209408,0.17299442299442308,-1.605165000582695,ir3010096.trees
0,100001.0,50,423,-0.06106667721742951,-0.23572845050474886,0.1751007547443045,-0.03219732606646746,-0.12350966268222169,-0.3507444705922474,0.14289669356114543,-0.14459163560673893,ir3010097.trees
0,100001.0,50,426,-0.18827958532250746,-0.9727679187846152,0.7554982418660864,-0.12840450578354595,-0.9360423337950509,-0.6844148096731048,0.15754866302956824,-0.5835625937748572,ir3010098.trees
0,100001.0,50,496,0.3124805956799501,-0.5966709973691545,0.6848746720159808,-0.048747367481105155,0.14288508322196836,-0.3957833581855058,0.14870987457482993,-0.4190310838807924,ir3010099.trees
