#/home/enes/bim/BIM.py trees/r8020221.trees,trees/r8020222.trees,trees/r8020223.trees,trees/r8020224.trees,trees/r8020225.trees,trees/r8020226.trees,trees/r8020227.trees,trees/r8020228.trees,trees/r8020229.trees,trees/r8020230.trees,trees/r8020231.trees,trees/r8020232.trees,trees/r8020233.trees,trees/r8020234.trees,trees/r8020235.trees,trees/r8020236.trees,trees/r8020237.trees 250 --stats=all --eta=etas/BC.json --out=outs/794525325.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,TajD,bsfs,FulD,ZngE,FayH,Colless,btree,path
0,10001.0,250,59,-0.28056120751342367,1.3243616742495927,4.780344211350667,-0.8070051971883655,0.8079412034222379,0.0641148556808054,0.046912607987126764,-0.7804449493196352,r8020221.trees
0,10001.0,250,80,-0.4468989292089856,1.562350405757578,4.15778488041877,-0.025713725053859538,1.0547318519291216,0.058189921868520116,0.03566318058156379,-0.18511284862538388,r8020222.trees
0,10001.0,250,71,0.0666404290146723,1.3154584487789844,2.0944619958674386,-0.1620852623248054,0.5281094630602089,0.11233642771551973,0.03132530120481927,0.3983771231908912,r8020223.trees
0,10001.0,250,42,0.18858300808325057,0.5090726892024833,3.359500648018077,0.46081512845227285,0.06857626868693203,0.0701879017791693,0.03161620087387673,-0.08785814237923666,r8020224.trees
0,10001.0,250,90,-0.3737180635820585,2.5443547199489007,1.460339861472363,-1.7760401745358605,1.4360793015800781,0.14393627274957238,0.029972832506496582,-0.037926100699811324,r8020225.trees
0,10001.0,250,76,-0.437209069613652,1.358729126819956,2.1999943229807486,-0.5854940088060738,0.9553663223060712,0.043801361057192775,0.03289394135682515,0.15242120042411372,r8020226.trees
0,10001.0,250,63,-0.0644801717262782,1.5702654770232969,3.7535555930649065,-0.9454146926516992,0.7435557136558344,0.11445881735021306,0.028692076425836828,0.29967542491223814,r8020227.trees
0,10001.0,250,45,-0.32168985958581525,1.4424216503043108,4.501909502859283,-1.3097288870990782,0.8851155196142229,0.06860339424886451,0.031239326808701083,0.1802224218620028,r8020228.trees
0,10001.0,250,50,-0.3222672371400273,1.4424702502752715,4.488072156079653,-0.42115004148078156,0.8887933314125347,0.06805129506850464,0.0342839098328799,-0.13118239272486237,r8020229.trees
0,10001.0,250,73,-0.1587802209410092,1.1983474208178768,1.5305916223550142,-1.228890628631926,0.6587440843946751,0.07092635460834808,0.030011289397220215,0.5216419360457771,r8020230.trees
0,10001.0,250,70,-0.08757460595408893,1.4798294865643138,1.5271605662908194,-1.9241734927779686,0.7249298745727268,0.10328393492230324,0.032302908906095856,0.30782068131384904,r8020231.trees
0,10001.0,250,45,-0.4376918835606697,1.900405064839536,3.103072674702436,-0.9218027515357815,1.177305146361163,0.08830195886937695,0.03635185904909963,-0.1302722781589119,r8020232.trees
0,10001.0,250,60,0.7672953477778877,-0.02110616859474325,1.4081249725761142,2.1311225801575477,-0.6278959008943886,0.10965380530798348,0.027347870745655433,0.5755826706332513,r8020233.trees
0,10001.0,250,66,-0.20360123363464877,1.5905955555694269,4.082676802408582,0.5935350457327743,0.865972490204301,0.0957095185234789,0.033028548830295726,0.16577263436898354,r8020234.trees
0,10001.0,250,71,-0.5397562588640674,1.7476805474369006,0.6605423338723168,-0.9241748137085982,1.2086395588015446,0.05964666701274768,0.03587558117775761,0.017818938046365848,r8020235.trees
0,10001.0,250,65,0.602539645805308,0.712096603684316,2.6628578630950197,-1.00863923187772,-0.17201833897733143,0.14268191928287444,0.03543690892602669,0.018106326724165445,r8020236.trees
0,10001.0,250,69,0.1358003363429114,0.9726541961517956,2.007204626625569,-0.34190496782024987,0.3202412895325376,0.09559831090607133,0.031973053504339946,0.2514919589913614,r8020237.trees
