start,end,N,SS,FerL,TajD,bsfs,FulD,ZngE,FayH,Colless,btree,path,iColless,ibtree
0,100001.0,50,147,-2.2287321629826673,3.8465114671266423,7.362295897576687,-2.8569665062435643,3.8957181844073085,0.0004374202015208857,0.16751700680272116,-1.5121797136387694,8040000,0.1164965986394558,0.4601214215125625
0,100001.0,50,221,-2.2020440640966124,3.7031770500660426,6.8701543632282345,-2.4742747399475604,3.8214622796567963,-0.0043748005217115644,0.09013605442176867,1.2016692896657897,8040001,0.07397959183673469,2.9639520227607186
0,100001.0,50,201,-2.4830046849591785,3.7463362148808788,3.991226053763276,-2.6847986706481244,4.0848528207481865,-0.03561260225975372,0.19018296973962,-2.2050065524352944,8040002,0.1096938775510204,0.6413110848731526
0,100001.0,50,191,-1.983623701641725,3.5346412666224647,7.640377924873913,-2.113482142243392,3.537607320333698,0.009472267699324641,0.1440092165898618,-0.4409858359212962,8040003,0.15306122448979592,-1.467247137585077
0,100001.0,50,169,-2.1164667903841976,3.644121827846559,7.739031881450008,-2.046663256952224,3.703241451520303,0.0005604642415691375,0.08503401360544223,1.002107630169316,8040004,0.06887755102040817,2.117369885259092
0,100001.0,50,222,-2.14878770741442,3.758826610584137,7.710248270531187,-2.411645334786304,3.803541401588543,0.005953933855662934,0.14929138321995467,-1.1269775427673296,8040005,0.18112244897959184,-2.1959556361705954
0,100001.0,50,227,-1.9538139677656263,3.47715654337152,7.6764456714306375,-1.911940952073956,3.4897171939436475,0.009664474901916695,0.12840136054421775,-0.16101758534003804,8040006,0.1173469387755102,-0.2358632263570218
0,100001.0,50,173,-2.183818865253869,3.7191328844628084,7.7679180328142845,-2.3301392371897762,3.801556594216216,-0.002189877303373349,0.09560780834072763,1.370008478305584,8040007,0.08503401360544217,0.8305215558469641
0,100001.0,50,180,-2.531733573997053,3.0742920048124738,1.7485555605234469,-2.5310380382051925,3.7793334536782046,-0.08953463823050675,0.17772108843537435,-2.5174527512022986,8040008,0.09438775510204082,0.4626277403514466
0,100001.0,50,213,-2.332982086936559,3.983066378807431,7.988889583194548,-2.9271001665972753,4.077456989249491,-0.0006031483189067778,0.1004967776584318,0.6692127879328429,8040009,0.1445578231292517,-1.7563301117195294
0,100001.0,50,140,-2.2685918452150853,3.477834384794338,2.851452613023312,-2.4164982246714635,3.740680047880062,-0.030850107901612613,0.14559037900874636,0.039581933709801065,8040010,0.1326530612244898,-0.4664524758303648
0,100001.0,50,203,-2.1980261191326282,3.7317474606598724,7.608209970390769,-2.7633937208484163,3.828636886665712,-0.0022485697243159832,0.11309523809523812,0.054551502895584456,8040011,0.1556122448979592,-0.7173179528727405
0,100001.0,50,163,-2.2973014396188502,3.974127102315904,7.828311461169663,-2.8109055037698263,4.026940360988313,0.0017227124824470215,0.12585034013605442,-0.7062728174382525,8040012,0.0782312925170068,1.19573288749344
0,100001.0,50,231,-2.3144605280847665,3.99353918997379,8.136124390805232,-2.7653495665425347,4.070451010855313,0.0027070930342780377,0.16581632653061207,-1.9880159101409864,8040013,0.11819727891156462,-0.1541028944408644
0,100001.0,50,236,-2.4946163896919997,3.718137719271944,2.8650651007125565,-3.0891310775527554,4.087995279969748,-0.0381545579731717,0.15136054421768722,-1.136168434052131,8040014,0.11479591836734696,0.5172544697555943
