#/home/enes/bim/BIM.py trees/r8090051.trees,trees/r8090052.trees,trees/r8090053.trees,trees/r8090054.trees,trees/r8090055.trees,trees/r8090056.trees,trees/r8090057.trees,trees/r8090058.trees,trees/r8090059.trees,trees/r8090060.trees,trees/r8090061.trees,trees/r8090062.trees,trees/r8090063.trees,trees/r8090064.trees,trees/r8090065.trees,trees/r8090066.trees,trees/r8090067.trees 250 --stats=all --eta=etas/BC.json --out=outs/244396625.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,FayH,ZngE,bsfs,FulD,btree,Colless,path
0,10001.0,250,69,4.040473130075715,-2.1122676257108397,0.014390832910799312,3.4897332237299787,6.604024977634033,-0.6028566239973344,0.14820555699898502,0.035496826013732344,r8090051.trees
0,10001.0,250,67,4.363127093023505,-2.2324407239957167,0.022228468065107403,3.726937610518576,6.639772365058193,-1.6048485545410667,-0.0052884723096331835,0.03235882598494336,r8090052.trees
0,10001.0,250,60,3.393801033487122,-1.7460770551522133,0.015130501634114144,2.89956643519206,4.190600318945594,-0.24835063909172153,-0.15344347555123633,0.039471249051505564,r8090053.trees
0,10001.0,250,64,4.087734293067909,-2.0332444936405323,0.02885131412135245,3.441198197765196,6.602370700657557,-1.2575200592284252,0.5077354953589625,0.03022169322451095,r8090054.trees
0,10001.0,250,67,3.9105248083507016,-2.0568273924207845,0.011896126348865298,3.38547787354162,6.358784359699139,-0.8000623429111278,0.6636771000075568,0.02790634679480385,r8090055.trees
0,10001.0,250,64,4.090046518910235,-2.0921998816592895,0.020538463720483548,3.4897658709501655,5.067276651760574,-2.3776450295387592,0.7359959128160602,0.02522347454333463,r8090056.trees
0,10001.0,250,45,3.405570934315426,-1.6897795694846882,0.022140167951271574,2.838457283607657,6.084049562218149,-0.5338766159724849,-0.8635938722103134,0.04260590750097163,r8090057.trees
0,10001.0,250,69,4.5133133390741165,-2.3009986951783756,0.024434736004593297,3.8509552735070107,4.612244407806331,-1.9076149048827615,-0.7101581114934067,0.04329144535129767,r8090058.trees
0,10001.0,250,66,4.469652249158233,-2.3508549834605463,0.013459322717398855,3.868242400083307,6.445280552398489,-1.8551255656661243,-0.12198279266066087,0.03784492809949475,r8090059.trees
0,10001.0,250,65,3.7351113256292514,-1.9948465382631426,0.0067586465909916646,3.2559344613134384,4.932937034392481,-0.732644390844459,-0.6619047202101519,0.04029019303018526,r8090060.trees
0,10001.0,250,57,4.114481814567152,-2.146117597322501,0.013602757209461672,3.5346557039760915,6.310106784595302,-1.6669778810173417,0.6086618805040007,0.028533488793885214,r8090061.trees
0,10001.0,250,73,3.9169637562504063,-2.020508143606939,0.018262667724381895,3.3650299338486738,6.7159907717318985,-1.7238234572289757,-0.07913312965485494,0.031436228786112186,r8090062.trees
0,10001.0,250,63,4.657644657107658,-2.479617910985716,0.009228785484250813,4.050949556415629,6.283354696227264,-0.9454146926516992,0.3106206561255852,0.030940968173770348,r8090063.trees
0,10001.0,250,67,3.706731823354826,-1.903059025581334,0.017956468177716376,3.171471074600631,6.45436521065096,-1.604848554541067,-0.3375263019876144,0.038346936131623266,r8090064.trees
0,10001.0,250,68,4.847063405387433,-2.7924943280957173,-0.019910851552529026,4.393696830259734,4.548201701208064,-1.3614877967535142,0.20955742208532918,0.03306775489052986,r8090065.trees
0,10001.0,250,64,4.66072544956714,-2.5447991124511686,0.0002521621287244527,4.106277967298137,6.347847605303963,-1.8175825443835922,0.0494394727881771,0.031088511753105612,r8090066.trees
0,10001.0,250,63,2.9328510029349353,-1.4669356314249025,0.019442051516104272,2.474659724972663,6.37999976818386,-0.09285144646115744,0.26444206567838857,0.0317398626765125,r8090067.trees
