#/home/enes/bim/BIM.py trees/ir8030056.trees,trees/ir8030057.trees,trees/ir8030058.trees,trees/ir8030059.trees,trees/ir8030060.trees,trees/ir8030061.trees,trees/ir8030062.trees,trees/ir8030063.trees,trees/ir8030064.trees,trees/ir8030065.trees,trees/ir8030066.trees,trees/ir8030067.trees,trees/ir8030068.trees,trees/ir8030069.trees,trees/ir8030070.trees,trees/ir8030071.trees,trees/ir8030072.trees 250 --stats=all --eta=etas/BC.json --out=outs/354496614.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FulD,TajD,FayH,bsfs,ZngE,btree,Colless,path
0,10001.0,250,52,-1.3886274969089105,-2.5555993414295193,2.1181407680931934,-0.03534741928153957,0.22411531762295647,2.0442012494925805,-1.8471118945950753,0.05791445351297664,ir8030056.trees
0,10001.0,250,70,-1.3214430774311896,-0.3795086297446812,2.780457979482828,0.028851779700455445,6.475408986666645,2.2955792970438225,-1.8642391955055808,0.059075009716284495,ir8030057.trees
0,10001.0,250,50,-1.2816475147143185,-0.7733369363253909,2.8508783724056657,0.03892279680553725,3.7441853994134333,2.2758317026278547,-0.2288532031858319,0.0388651379712398,ir8030058.trees
0,10001.0,250,36,-0.690135503774658,-0.42776132586652926,1.7996543359947896,0.04217956531709988,5.554491257823791,1.3272227319552514,-0.73675335745007,0.04437103251716544,ir8030059.trees
0,10001.0,250,41,-0.6307589139200148,-0.7264779108499135,1.6735337495937088,0.04090110197880339,5.365795358727766,1.2306215820382087,-1.8842311370183928,0.057423241352506794,ir8030060.trees
0,10001.0,250,43,-1.122423166643669,-1.2326175648034663,2.3971439414548437,0.02545439559925364,4.552885264792646,1.9415182211018889,-1.1572876102640237,0.05394157274258324,ir8030061.trees
0,10001.0,250,39,-0.5348106561850103,1.593612470448307,1.4659260375637821,0.03855354786718622,4.773890070288195,1.0619872890127335,-1.2856576487048308,0.05541520922399275,ir8030062.trees
0,10001.0,250,72,-1.5212386314169573,-1.45458404320824,3.054249547293475,0.021887431923519968,4.788073988907071,2.5793619989652585,-1.0130774172909478,0.04992550848555512,ir8030063.trees
0,10001.0,250,50,-1.4287631142966075,-1.4777107260146094,2.9159070658891024,0.02233608862435407,5.137210952399034,2.422680071110616,-1.0248472749578634,0.04919678714859438,ir8030064.trees
0,10001.0,250,40,-2.337823597405309,-2.8310488664583766,4.642461886504436,0.02357051164741733,5.773728923382359,3.8840064583654077,-1.2441287545092297,0.0445329705920456,ir8030065.trees
0,10001.0,250,38,-0.9786504987166396,-0.5557345895892076,2.0305749633638506,0.016778307380372674,3.5609383326207618,1.6609715498815165,-0.07171712384262602,0.04032258064516129,ir8030066.trees
0,10001.0,250,42,-1.350797203458025,-0.3653766088141129,2.468348236680005,-0.0035022432308756306,4.100542537850339,2.154714310926634,0.45108844963987504,0.02691410804508356,ir8030067.trees
0,10001.0,250,37,-0.4631259991385964,3.212582534139223,1.3735566994288861,0.0420348239351489,4.439268983834756,0.9627887118409646,-2.313614898702709,0.0705078378028242,ir8030068.trees
0,10001.0,250,56,-1.7337252480728338,-1.008319855025177,3.403529459630203,0.01718327065803328,6.323176367415097,2.8891684363111216,-0.6183368639356004,0.043755667832620804,ir8030069.trees
0,10001.0,250,52,-1.693911302121635,0.1618056285915317,3.323315328934016,0.016058117050819005,4.150038080159578,2.816762282020994,-2.2078650764816308,0.06135833657209483,ir8030070.trees
0,10001.0,250,39,-1.1390972272387738,0.2682766911472261,2.2728231054886785,0.012212672579353444,5.661697604066818,1.8957175900160765,-1.0656016519319995,0.04315109901973485,ir8030071.trees
0,10001.0,250,31,-0.8740792914266763,0.49821997999586753,1.7361689677644438,0.007494663043801699,3.403323632295161,1.4409270489972588,-0.725904656868736,0.04229822515869932,ir8030072.trees
