#/home/enes/bim/BIM.py trees/r3030020.trees,trees/r3030021.trees,trees/r3030022.trees,trees/r3030023.trees,trees/r3030024.trees,trees/r3030025.trees,trees/r3030026.trees,trees/r3030027.trees,trees/r3030028.trees,trees/r3030029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/728101954.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,ZngE,FulD,FayH,FerL,btree,Colless,path
0,100001.0,50,252,-3.0498484653450664,-1.1546773376995403,1.1452373796636075,0.7018865533788926,-0.31869008802235055,-1.9848568040369123,-1.7644230747025083,0.19560100826044713,r3030020.trees
0,100001.0,50,356,-1.227102965559444,-0.4773472656311563,0.6251237453366555,0.4519551220936639,-0.1515329809462131,-0.9942217428431961,-0.7523300142018049,0.16170235699913768,r3030021.trees
0,100001.0,50,249,-3.1270700861428993,-0.9719356562135215,1.0987369957479718,1.164414057707707,-0.28675852142456465,-1.824620639228886,-1.8165153370525704,0.18139482355442163,r3030022.trees
0,100001.0,50,408,-2.4262177103846803,-0.7014180447593039,0.9955757600417403,0.011517317652162662,-0.23264247761014548,-1.5489613387937164,-1.9333451104542565,0.20530633637102655,r3030023.trees
0,100001.0,50,409,-1.4625984624896031,-0.6596423097830325,0.24926544246413737,0.1482716313199882,-0.12585414714510432,-0.67293936026549,-0.9983749232139598,0.18754177971766747,r3030024.trees
0,100001.0,50,440,-1.6096326719515575,-0.5950857718289442,0.8273815267456303,0.10791471899294684,-0.19484472637840394,-1.2945126250852779,-1.4830628929877496,0.1710991868011572,r3030025.trees
0,100001.0,50,320,-2.121651295998462,-0.9096812912841876,0.972582243173952,-0.37529555450871915,-0.2595442677998926,-1.6448081636957015,-1.8437044833046627,0.23689553340716113,r3030026.trees
0,100001.0,50,346,-1.434033500624529,-0.35696913934892927,1.3171612527364482,0.04692134707705843,-0.22867938127489432,-1.7132126275480963,-1.3219759646874407,0.17144911655937556,r3030027.trees
0,100001.0,50,397,-1.0282569346937316,-0.825580947035647,0.6540062899034988,0.9607978362172175,-0.20385202322416288,-1.2323519571225872,-1.4871953224852976,0.22970085470085486,r3030028.trees
0,100001.0,50,368,-1.3555077046335817,-0.7037037356529111,0.3260489756821942,-0.11228520232365045,-0.14256516063960845,-0.7861838196095945,-1.3162233223723718,0.19477995279744528,r3030029.trees
