start,end,N,SS,FayH,TajD,FerL,bsfs,ZngE,FulD,Colless,btree,path,iColless,ibtree
0,2501.0,250,16,0.0222088424220572,1.5472018106282108,-0.6717162204044544,4.541901029233965,1.168190020446014,-1.5450791905361416,0.036724856414906935,-0.542922624118214,4020000,0.04394999352247701,-1.1354426203778607
0,2501.0,250,12,0.03489673172221623,-0.27928649157663715,0.31331023906792393,-0.6637946469049297,-0.3613509096987757,1.2374296820739523,0.033942220494882755,-0.13023141141087854,4020001,0.036274128773157145,-0.2417305258090965
0,2501.0,250,10,0.09558245385160542,0.18097836665650469,0.35512813824462963,1.331586504129518e-05,-0.2108097790754372,3.253803472653152,0.029780411970462495,0.4849411695896814,4020002,0.04077600725482576,-0.5671443401537547
0,2501.0,250,19,0.06132074449631667,1.3422833361628856,-0.34739364668537204,2.14404743140549,0.832337201048177,0.73179262801433,0.029953145917001333,0.2342334928653631,4020003,0.04438182838882412,-0.7409119688217473
0,2501.0,250,21,0.06281523465629428,3.174470793745044,-1.2865143082475774,4.2689217601430895,2.3496283934592137,-1.095664672561541,0.03295439823811375,0.3229138740560433,4020004,0.06688042492550847,-2.209056191008167
0,2501.0,250,19,0.14549828630726666,0.4382685893411212,0.5952023280569655,1.0403463215659579,-0.2947698223753125,-0.09454019612673534,0.02888975255862158,0.4321792625314608,4020005,0.03982866951677679,-0.303596973344332
0,2501.0,250,13,0.07065505503129725,-0.008913409587813953,0.3634738664606112,-7.123906620505881e-06,-0.29324030358316844,0.9776412577841308,0.02808006218422075,0.5547898380579754,4020006,0.0519497344215572,-0.9407843472496022
0,2501.0,250,15,0.0671145042265569,0.9082617939334832,-0.10710342508650443,2.9989610172881225,0.4548052761561646,0.5430819992150969,0.032132112680111125,0.0004892619365373385,4020007,0.04890529861381008,-0.6427895982839449
0,2501.0,250,9,0.12969955953601975,0.2925045228259931,0.4367387458275248,1.1085547122109732e-08,-0.2321262550513229,2.274582229907494,0.030784428034719518,0.3852323550812807,4020008,0.07047545018784816,-2.412576653559131
0,2501.0,250,12,0.11978658694616542,-0.3759262010855471,0.7824221702504096,4.72985831489979e-06,-0.7736326892532375,1.2374296820739528,0.02702098717450447,0.7409523022596018,4020009,0.06838644902189403,-2.39995151160638
0,2501.0,250,16,0.09059816031389607,1.13172626376619,-0.08993364038426882,0.4832641277680038,0.534046965050447,-2.497268012867369,0.029637612031704525,0.4964372571267794,4020010,0.03965863453815261,-0.1161036968703707
0,2501.0,250,14,0.06980531988087653,0.13832361187973274,0.29250453469772597,1.551339111253063e-05,-0.17725795678135484,1.808437214814801,0.04025240747937989,-0.380513671516481,4020011,0.033893639072418706,-0.1496016855535104
0,2501.0,250,25,0.14125178483730008,2.430275036607373,-0.4257989748789223,2.6085557790962604,1.363062219935056,-0.06408293727392289,0.027008957488941943,0.4132407614611272,4020012,0.055752040419743486,-1.5041612005505998
0,2501.0,250,14,0.1541761594927618,2.154631245210612,-0.2925211534458701,1.725418833346667,1.1053173034781123,-1.373242665914419,0.028675496028780133,0.5360815864188135,4020013,0.05062184220753983,-1.2387911991923268
