#/home/enes/bim/BIM.py trees/ir3030020.trees,trees/ir3030021.trees,trees/ir3030022.trees,trees/ir3030023.trees,trees/ir3030024.trees,trees/ir3030025.trees,trees/ir3030026.trees,trees/ir3030027.trees,trees/ir3030028.trees,trees/ir3030029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/211329226.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,FulD,ZngE,FerL,TajD,Colless,btree,path
0,100001.0,50,252,-0.31869008802235055,-3.0498484653450664,0.7018865533788926,1.1452373796636075,-1.9848568040369123,-1.1546773376995403,0.2387481778425656,-1.9502465428188382,ir3030020.trees
0,100001.0,50,356,-0.1515329809462131,-1.227102965559444,0.4519551220936639,0.6251237453366555,-0.9942217428431961,-0.4773472656311563,0.18965621963070933,-1.1057882963551284,ir3030021.trees
0,100001.0,50,249,-0.28675852142456465,-3.1270700861428993,1.164414057707707,1.0987369957479718,-1.824620639228886,-0.9719356562135215,0.25923469387755105,-2.530959265686873,ir3030022.trees
0,100001.0,50,408,-0.23264247761014548,-2.4262177103846803,0.011517317652162662,0.9955757600417403,-1.5489613387937164,-0.7014180447593039,0.1903462773998488,-1.7344398755705057,ir3030023.trees
0,100001.0,50,409,-0.12585414714510432,-1.4625984624896031,0.1482716313199882,0.24926544246413737,-0.67293936026549,-0.6596423097830325,0.22642716880566657,-2.0504560858028937,ir3030024.trees
0,100001.0,50,440,-0.19484472637840394,-1.6096326719515575,0.10791471899294684,0.8273815267456303,-1.2945126250852779,-0.5950857718289442,0.2600255102040816,-2.5669956055780387,ir3030025.trees
0,100001.0,50,320,-0.2595442677998926,-2.121651295998462,-0.37529555450871915,0.972582243173952,-1.6448081636957015,-0.9096812912841876,0.28194849368318753,-2.3040732593050266,ir3030026.trees
0,100001.0,50,346,-0.22867938127489432,-1.434033500624529,0.04692134707705843,1.3171612527364482,-1.7132126275480963,-0.35696913934892927,0.18199608610567516,-1.0264685888521017,ir3030027.trees
0,100001.0,50,397,-0.20385202322416288,-1.0282569346937316,0.9607978362172175,0.6540062899034988,-1.2323519571225872,-0.825580947035647,0.25876417233560095,-2.4563006987029437,ir3030028.trees
0,100001.0,50,368,-0.14256516063960845,-1.3555077046335817,-0.11228520232365045,0.3260489756821942,-0.7861838196095945,-0.7037037356529111,0.2892784773483861,-2.535954810303851,ir3030029.trees
