#/home/enes/bim/BIM.py trees/ir8040106.trees,trees/ir8040107.trees,trees/ir8040108.trees,trees/ir8040109.trees,trees/ir8040110.trees,trees/ir8040111.trees,trees/ir8040112.trees,trees/ir8040113.trees,trees/ir8040114.trees,trees/ir8040115.trees,trees/ir8040116.trees,trees/ir8040117.trees,trees/ir8040118.trees,trees/ir8040119.trees,trees/ir8040120.trees,trees/ir8040121.trees 250 --stats=all --eta=etas/BC.json --out=outs/192731710.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,TajD,ZngE,FulD,FayH,FerL,Colless,btree,path
0,10001.0,250,91,1.077283475551919,0.8477869040423275,0.24006775006003458,-1.3887625998440807,0.08915950649595761,0.17076648876942208,0.04075347674005982,-0.39633252719995243,ir8040106.trees
0,10001.0,250,72,3.0670880974697345,1.149011595828817,0.3184280090498269,-0.7024687379975418,0.1232847726177296,0.23553372139402248,0.055049948899540825,-1.1145083807734961,ir8040107.trees
0,10001.0,250,79,2.449163541230008,1.8797429608482814,0.831742725208301,-1.136713963982053,0.1464575900011702,0.0034310905441698163,0.04508356004663817,-0.7784040533348084,ir8040108.trees
0,10001.0,250,69,1.5854256415138268,1.5827235363407688,1.0426853890866004,-1.3857115925285906,0.06311584501670177,-0.4254704909962653,0.03903314872392797,-0.36604695351494354,ir8040109.trees
0,10001.0,250,62,2.1368504454661963,1.53833473864958,1.0814650475347558,-1.4893146806158997,0.04888906774423463,-0.501486050741943,0.04346417929783651,-0.5266310292991889,ir8040110.trees
0,10001.0,250,87,1.7003278466902887,1.595915407988548,0.8733382728099867,-0.6833644806264695,0.09504320845131188,-0.20138958630303513,0.04314982891718678,-0.5270748014406414,ir8040111.trees
0,10001.0,250,61,1.9469942267065343,1.6722004629069291,1.184045822411021,-2.3427416725854724,0.05155244685138742,-0.5562578856809461,0.04506967964021986,-0.9144530377562085,ir8040112.trees
0,10001.0,250,94,2.586817066781604,1.9000472086166988,0.7491074744423081,-1.2475074373534478,0.16320199814432973,0.12243402290189534,0.040899485036921895,-0.4162636392087013,ir8040113.trees
0,10001.0,250,66,1.946289206376143,1.7656316290460943,0.9700974581769831,-1.5830521643995803,0.10466958193249017,-0.2369523242989555,0.032668307639158775,0.26042551051256363,ir8040114.trees
0,10001.0,250,76,2.9578961899722356,1.022437690707735,0.21384380464796393,-0.34725950978493253,0.12162622765375122,0.29667432101643276,0.045053077585484255,-0.5966238728417406,ir8040115.trees
0,10001.0,250,82,1.7035695504049528,1.5062299332565285,0.7860745888077586,-0.9845838012704481,0.09639071624485299,-0.14436548312062553,0.0412132400570022,-0.32241079360217667,ir8040116.trees
0,10001.0,250,77,2.1849209692641614,1.7194059734067781,0.8352123462923805,-1.322800098544165,0.12101054575618776,-0.08983941926371018,0.036626983315264455,-0.3121550500744843,ir8040117.trees
0,10001.0,250,84,1.683192130034816,1.2579031834169767,0.45020664076661426,-1.4667212390850626,0.11635939055023961,0.13538123082419795,0.05213643949612493,-1.010111939769855,ir8040118.trees
0,10001.0,250,104,1.4833934673280083,1.45066457797972,0.7174386722792178,-1.4222003839254311,0.09938572929496227,-0.08432195510229928,0.03735826156919699,0.1525508563271227,ir8040119.trees
0,10001.0,250,79,2.395586583823206,1.649204590359152,0.9963546015993171,-1.1367139639820532,0.08185837380358996,-0.32721535307737115,0.04476431069901727,-0.5415862979981759,ir8040120.trees
0,10001.0,250,76,1.4076905604296597,1.6342698089167293,0.7950141989223384,-0.8237285078272152,0.1148463107762913,-0.08722248368205139,0.042213657497373006,-0.5625252606354925,ir8040121.trees
