#/home/enes/bim/BIM.py trees/ir8120056.trees,trees/ir8120057.trees,trees/ir8120058.trees,trees/ir8120059.trees,trees/ir8120060.trees,trees/ir8120061.trees,trees/ir8120062.trees,trees/ir8120063.trees,trees/ir8120064.trees,trees/ir8120065.trees,trees/ir8120066.trees,trees/ir8120067.trees,trees/ir8120068.trees,trees/ir8120069.trees,trees/ir8120070.trees,trees/ir8120071.trees,trees/ir8120072.trees 250 --stats=all --eta=etas/BC.json --out=outs/150462785.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,TajD,ZngE,FulD,FerL,bsfs,Colless,btree,path
0,10001.0,250,99,0.010257343368812599,4.045516218531847,3.556736132106605,-1.894878122216541,-2.163463587739655,5.600270749751786,0.04271926415338775,-0.901646235163906,ir8120056.trees
0,10001.0,250,65,0.02537212108611641,3.6373138283840847,3.0653297290474852,-1.00863923187772,-1.8119985161195904,5.521005324907835,0.051091462624692316,-1.4845871960251524,ir8120057.trees
0,10001.0,250,70,-0.004708962519078321,3.9245604329473003,3.4968792627754985,-1.4092852051002063,-2.183339094270508,4.852842773708511,0.05389299132011918,-0.9713671317643411,ir8120058.trees
0,10001.0,250,75,0.013495449231976217,4.247534505472464,3.6880968378790215,-2.2419631114975305,-2.2369880504576494,6.797367966468196,0.04195275726562162,-0.6287551303881941,ir8120059.trees
0,10001.0,250,63,0.0075851059734875536,3.332421260282089,2.8928590680085535,-0.37703919519133805,-1.7672958313115776,5.064954953067391,0.04793367016452908,-0.6905789985855493,ir8120060.trees
0,10001.0,250,62,0.014814159828674291,4.814184049696867,4.1551635084916105,-1.7777844950934458,-2.525195238908205,6.680570376869068,0.0445329705920456,-0.9217402572710687,ir8120061.trees
0,10001.0,250,76,0.021366866335081024,4.557554453724809,3.919759545072005,-2.2531355019540653,-2.3525016118129187,6.740161150439459,0.04103510817463402,-0.5018401237667107,ir8120062.trees
0,10001.0,250,73,0.01905432297700828,3.5652473941837766,3.0490765615059146,-1.228890628631926,-1.8219855380305572,6.58059684465018,0.04246016323357948,-0.5329627039443691,ir8120063.trees
0,10001.0,250,77,0.012343070963216934,4.4946794456478685,3.917061828045247,-2.264034625106887,-2.3824638213901017,5.120313379962521,0.056743101438010105,-1.7609212084217212,ir8120064.trees
0,10001.0,250,82,0.00293845865467812,4.625756944475119,4.095296225713758,-1.649673099895991,-2.525262620870099,6.348858587994525,0.05260828259273653,-1.0425502877145882,ir8120065.trees
0,10001.0,250,82,0.012890803970447206,3.6901160858068174,3.206452432782536,-1.2062802341456293,-1.9395662768050692,6.560531332020016,0.03614457831325301,-0.10603276069084407,ir8120066.trees
0,10001.0,250,84,0.03459385647685225,3.0095384544901935,2.4785583326264136,-2.116770694339073,-1.4113730452398636,6.376944892678399,0.05010364036792331,-1.1672917224118913,ir8120067.trees
0,10001.0,250,66,0.014959075820194758,4.499958385132245,3.8865606814859097,-2.1271989669326685,-2.3569887921363355,6.750864481233316,0.036306516388133175,-0.15086721626392086,ir8120068.trees
0,10001.0,250,78,0.010698018477368756,4.379417913970581,3.8257770995055824,-0.8799471540862625,-2.3315463379481205,6.699988383644865,0.034233709029667055,-0.31222136753422675,ir8120069.trees
0,10001.0,250,75,0.01860092161501092,4.839308086954523,4.1835798494788685,-2.2419631114975305,-2.5259170942718603,5.975643975589192,0.046897266485296026,-1.1240027540221995,ir8120070.trees
0,10001.0,250,58,0.00045367761240956814,3.8378559740369225,3.366962197738472,-0.7696309122327304,-2.086931126774349,5.131867776241821,0.05271084337349398,-1.7567503558308148,ir8120071.trees
0,10001.0,250,80,0.01925556591565352,4.17065406838717,3.5944348876865737,-1.6143465919002442,-2.1575899778916527,6.68933719895799,0.06031653495703243,-1.746575942556979,ir8120072.trees
