#/home/enes/bim/BIM.py trees/r8090000.trees,trees/r8090001.trees,trees/r8090002.trees,trees/r8090003.trees,trees/r8090004.trees,trees/r8090005.trees,trees/r8090006.trees,trees/r8090007.trees,trees/r8090008.trees,trees/r8090009.trees,trees/r8090010.trees,trees/r8090011.trees,trees/r8090012.trees,trees/r8090013.trees,trees/r8090014.trees,trees/r8090015.trees,trees/r8090016.trees 250 --stats=all --eta=etas/BC.json --out=outs/888576022.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,TajD,FayH,ZngE,FulD,FerL,Colless,btree,path
0,10001.0,250,67,5.068155764912625,3.6253094368352214,0.024961032907580533,3.0601875391513165,-1.604848554541067,-1.809666142019866,0.02683493831958659,0.5529514746366607,r8090000.trees
0,10001.0,250,64,4.243506451358045,3.0965001687388276,0.023292414160035163,2.598697744556554,-1.537551301806009,-1.5302286481967415,0.027270371809819925,0.7087974276324016,r8090001.trees
0,10001.0,250,64,6.65780393735582,4.517934257568783,0.020090805109939106,3.8693866633959417,-2.0976137869611753,-2.329097997561228,0.02814483741417282,0.3740720818393853,r8090002.trees
0,10001.0,250,60,5.637873326652963,3.738614415696645,0.01960252639767428,3.177856854680869,-1.4380872487163567,-1.9032523802043853,0.033019173468065814,0.12190435245984382,r8090003.trees
0,10001.0,250,57,6.335153964402826,5.304895546032288,-0.001302323899501292,4.66137978619671,-2.60291653342219,-2.8961550897763035,0.042314418966187324,-0.8382923214854037,r8090004.trees
0,10001.0,250,81,6.591691966856123,4.8467408817805255,0.006524327744606705,4.269527583921908,-1.4079250326216999,-2.6205813604922117,0.0512695945070605,-1.4553564841071633,r8090005.trees
0,10001.0,250,85,5.016680453086164,3.788314974462647,0.022867085073908715,3.2399078354207296,-1.9139659655824839,-1.924275011861448,0.03135415562543428,0.06885378834652188,r8090006.trees
0,10001.0,250,99,6.843770871173198,4.221701845590316,0.03672183729294211,3.560061863127669,-1.52434008767518,-2.0701378644365462,0.028403938333981082,0.5324843989317707,r8090007.trees
0,10001.0,250,63,3.931810732676177,3.2814089887268914,-0.013949686355795287,2.9682555841808878,-0.9454146926516992,-1.8886455803842899,0.03130704636728733,0.12416375755725619,r8090008.trees
0,10001.0,250,84,6.579728285350904,4.46141651598561,0.012293381786498263,3.8984045169282733,-2.33345384609041,-2.3697709673342637,0.03562637647363648,-0.17875550399063395,r8090009.trees
0,10001.0,250,44,6.234721389630279,4.443319336169918,0.02197070016946706,3.7367091851870993,-2.45986960384229,-2.2489658841450137,0.04370384764865915,-0.4354036308451841,r8090010.trees
0,10001.0,250,56,4.591715059159523,4.2187867407704545,0.008081096727122665,3.6540743546057386,-2.2769212811392547,-2.239410248930624,0.04359835655988007,-0.6069870551184711,r8090011.trees
0,10001.0,250,51,5.834962866101685,3.493102338841697,0.02598708347699781,2.9087127053395383,-1.5076720617645416,-1.7177572294746626,0.04694353450669036,-0.7793547212536922,r8090012.trees
0,10001.0,250,71,4.591737039347154,4.736630454771029,0.00777101236752597,4.1464717360403345,-1.9402942155536558,-2.5419408461483375,0.03469253357516086,-0.041448692911279506,r8090013.trees
0,10001.0,250,62,6.189597749822363,4.097166259263423,0.013550392639498305,3.5310415914028264,-0.9123750516608067,-2.1425760697223026,0.026078507578701903,0.7799970818245602,r8090014.trees
0,10001.0,250,70,4.856267883964827,3.2543537152934245,0.021789630304058647,2.754523423982408,-1.6667293489390875,-1.6305560122845506,0.03315951979962862,0.15996313379929947,r8090015.trees
0,10001.0,250,48,5.523182667278779,3.5294519193706404,0.0013141577013214693,3.0666038746587234,-1.7800206188830563,-1.899957819529975,0.03820813206744027,-0.27605022389273276,r8090016.trees
