#/home/enes/bim/BIM.py trees/r3040070.trees,trees/r3040071.trees,trees/r3040072.trees,trees/r3040073.trees,trees/r3040074.trees,trees/r3040075.trees,trees/r3040076.trees,trees/r3040077.trees,trees/r3040078.trees,trees/r3040079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/547713174.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,bsfs,TajD,ZngE,FulD,btree,Colless,path
0,100001.0,50,336,0.04119957446716982,0.4225883875824559,-0.1449012387219198,-0.12977348664274757,-0.4370928352987321,0.8503665046047788,0.11954045318507923,0.12264439937465675,r3040070.trees
0,100001.0,50,443,0.043891210357846364,0.24190642991604777,0.633179925088898,0.21842022800631355,-0.09920580981542963,0.11833235936373677,0.020557182508053225,0.1295745570955656,r3040071.trees
0,100001.0,50,489,-0.09019158652979484,-0.653394346036821,-0.7794036600304765,-0.1853331199766539,0.4770767443959517,0.07015274351021974,-0.36920786118582727,0.1332299251358835,r3040072.trees
0,100001.0,50,352,-0.0789556759060919,-0.2581609629632064,-2.117744856628273,-0.6902979375848882,-0.1295931403498332,1.2929561298404313,-1.2113700705035106,0.15739416785822602,r3040073.trees
0,100001.0,50,343,0.019115195962205078,0.33269374029439114,-0.6230545564319224,-0.29241593020117984,-0.44217106898908426,1.4560148743460812,0.044543469132143895,0.12826050665665048,r3040074.trees
0,100001.0,50,318,-0.010411043906089927,0.053448370833482896,-0.41256727839167046,-0.2397143834287187,-0.17021249450080683,0.06140114458299412,-0.5354827509600781,0.14253751145848417,r3040075.trees
0,100001.0,50,480,-0.03275253807391793,-0.5192358899745619,0.1394006204508205,0.41085174970820587,0.6677706287645192,-0.5152518065632317,0.27118947664195037,0.11218820861678003,r3040076.trees
0,100001.0,50,474,0.013798440994426555,0.027550892066308712,0.3492408869424469,0.15105796698180848,0.05395732114948495,-0.10481169719027288,0.3828982979797635,0.1283618932805189,r3040077.trees
0,100001.0,50,540,-0.022639122022260386,-0.33373575782881276,0.03764273087959124,0.24061910648981052,0.41726797111883557,-0.6597488812625332,0.44031449835163244,0.11634778911564632,r3040078.trees
0,100001.0,50,392,-0.08599219933969265,-0.4535302238601972,-1.1771740438331577,-0.46066957729446206,0.15975385853133484,0.07075750375207106,-0.9439183866008409,0.16704567541302237,r3040079.trees
