#/home/enes/bim/BIM.py trees/r3030030.trees,trees/r3030031.trees,trees/r3030032.trees,trees/r3030033.trees,trees/r3030034.trees,trees/r3030035.trees,trees/r3030036.trees,trees/r3030037.trees,trees/r3030038.trees,trees/r3030039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/110349059.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,bsfs,FulD,FerL,ZngE,btree,Colless,path
0,100001.0,50,362,-0.29338014284346503,-1.4856245101825285,-3.7794811496819305,2.065898622062361,-1.5952059106833207,0.6318702050240451,-3.005777732178284,0.24460453195362636,r3030030.trees
0,100001.0,50,458,-0.10925657395662983,0.02541411362275846,-0.6017447159438594,0.3625164769160698,-0.9380897990598934,0.8356181465034327,-0.9006737956273878,0.17404051172707885,r3030031.trees
0,100001.0,50,385,-0.08438202998712273,-0.0223499585529231,-0.18778444188409127,-1.0216323818306345,-0.6978440072673379,0.6000794258693395,-0.4670417798875817,0.17801066372494953,r3030032.trees
0,100001.0,50,353,-0.14285191421683294,-0.6087879268592309,-2.4868305525365217,1.6991053969953038,-0.8436919834614112,0.4254786637013845,-1.5660481270817812,0.17815702230259187,r3030033.trees
0,100001.0,50,355,-0.16608033464832703,-0.5644398625835815,-1.3874751848463016,-0.12097699400827965,-1.0653278589524218,0.6425380582591562,-1.1864017508114293,0.16140418431523548,r3030034.trees
0,100001.0,50,413,-0.2510174753290803,-0.5442840954104273,-1.735835602319895,-0.028471560211568887,-1.7968765446977562,1.2940230215452222,-1.2619457170945534,0.1998529141386284,r3030035.trees
0,100001.0,50,397,-0.23652721502836138,-1.6249699256959251,-3.8542603179802475,2.7882466477373136,-1.0370501391722178,0.07020370706736048,-2.5917650249574185,0.25275978654935,r3030036.trees
0,100001.0,50,314,-0.1885093740225724,-1.1464729325013399,-2.9952826062365228,1.422082944461196,-0.9087056042249719,0.20596011127000405,-2.0916092216684086,0.19156246313554326,r3030037.trees
0,100001.0,50,341,-0.20448871799339732,-0.8773987369970192,-2.8997933421852,1.4837716851254374,-1.2032909400030938,0.6022236699330972,-2.0757126765857206,0.21726190476190468,r3030038.trees
0,100001.0,50,340,-0.118555975330824,-0.8669180482598461,-2.390033649990143,1.889276548091961,-0.486932466769255,-0.020011527244864834,-1.6728940641506937,0.18853649567935293,r3030039.trees
