#/home/enes/bim/BIM.py trees/ir8050122.trees,trees/ir8050123.trees,trees/ir8050124.trees,trees/ir8050125.trees,trees/ir8050126.trees,trees/ir8050127.trees,trees/ir8050128.trees,trees/ir8050129.trees,trees/ir8050130.trees,trees/ir8050131.trees,trees/ir8050132.trees,trees/ir8050133.trees,trees/ir8050134.trees,trees/ir8050135.trees,trees/ir8050136.trees,trees/ir8050137.trees 250 --stats=all --eta=etas/BC.json --out=outs/126474362.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FayH,ZngE,bsfs,TajD,FerL,Colless,btree,path
0,10001.0,250,65,-1.00863923187772,0.07455152597500363,1.9129041939625637,3.285143365718059,2.643173760504182,-0.9266875694259197,0.042375145744267394,-0.6239176347189432,ir8050122.trees
0,10001.0,250,101,-0.6462425656524329,0.07773690750457049,1.245502976311184,1.1565839452270108,1.8995776628556325,-0.48991107867634653,0.03868224320431631,-0.20719274597844156,ir8050123.trees
0,10001.0,250,87,-0.683364480626469,0.1054147353896201,1.2608784136207785,1.5377934189674167,2.09820174726961,-0.4042632431263237,0.04131776372351576,-0.5404655527149603,ir8050124.trees
0,10001.0,250,69,-1.1247599363515057,0.22471657246146218,1.2733117747134748,1.7160756201889908,2.875341801221555,-0.003362539486795885,0.05815520145096516,-1.958397476324795,ir8050125.trees
0,10001.0,250,103,-1.7629415845984882,0.20076640484175257,0.543663660445279,2.011678342013819,1.9183223694877805,0.38933040531109103,0.03923489657554951,-0.2640618438125076,ir8050126.trees
0,10001.0,250,70,-1.151841061261325,0.14562835489182754,1.8658905726192503,1.8043201689084445,3.0407391784650564,-0.6463128003406756,0.050726202300240386,-1.1547208311779935,ir8050127.trees
0,10001.0,250,64,-0.9774888166508425,0.11703722711625522,0.9543350952940383,3.256394784256492,1.82611650662807,-0.18551194369052101,0.04889720171006607,-0.8258522667580386,ir8050128.trees
0,10001.0,250,87,-1.1025143743252253,0.092936037013585,0.8141203402682988,1.6263048327576328,1.5157820283112968,-0.17225385116670233,0.042004577449583275,-0.37829306165640647,ir8050129.trees
0,10001.0,250,74,-0.764644126855035,0.09306763883361067,1.3610066279053852,3.7537932132137644,2.1330391182287523,-0.5155443391415889,0.03766679621712657,-0.13383831971182408,ir8050130.trees
0,10001.0,250,70,0.39282380177196186,0.07375131017373478,0.9315461548279468,5.865779909013233,1.5247757187770201,-0.31900822075662494,0.04107154424148205,-0.6215992796876381,ir8050131.trees
0,10001.0,250,91,-0.18400322008248865,0.033680359469305185,1.86750684404324,2.863336824568847,2.3126388348820885,-1.0351395154560068,0.05676739214924213,-1.3475490500308136,ir8050132.trees
0,10001.0,250,52,0.8411568710967946,0.02155287844323541,1.5744650661342547,4.283374581277384,1.936194681104475,-0.9042037610078328,0.04361532150105799,-0.7489346958132956,ir8050133.trees
0,10001.0,250,67,-2.141372695627693,0.09791780869186578,1.9920558271036217,4.75761792361525,2.8802691745388165,-0.8932953382942658,0.045605810338126704,-0.5938644852994813,ir8050134.trees
0,10001.0,250,105,-1.9632644494284752,0.10742155814479336,1.7293990798412293,3.1271752245852054,2.6334725966738737,-0.6809074781296272,0.04507767138936979,-0.604510217282918,ir8050135.trees
0,10001.0,250,82,-1.6496730998959908,0.0006667276586872889,2.245583007476657,1.083831596315337,2.530357050096987,-1.3880376111043768,0.05209547868894934,-1.0346358637467639,ir8050136.trees
0,10001.0,250,82,-0.31949450264490564,0.17376865567972286,0.5533763919050168,1.742122393120034,1.7437602993134453,0.27453848680166093,0.04777578054152092,-1.2476492962917995,ir8050137.trees
