#/home/enes/bim/BIM.py trees/r8090204.trees,trees/r8090205.trees,trees/r8090206.trees,trees/r8090207.trees,trees/r8090208.trees,trees/r8090209.trees,trees/r8090210.trees,trees/r8090211.trees,trees/r8090212.trees,trees/r8090213.trees,trees/r8090214.trees,trees/r8090215.trees,trees/r8090216.trees,trees/r8090217.trees,trees/r8090218.trees,trees/r8090219.trees,trees/r8090220.trees 250 --stats=all --eta=etas/BC.json --out=outs/453144345.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,TajD,bsfs,ZngE,FerL,FulD,btree,Colless,path
0,10001.0,250,63,0.005990362630295132,4.697590726206279,6.746154545878464,4.104229761177413,-2.5238706546690093,-2.3663534363026018,0.1430988714402655,0.031496955564192256,r8090204.trees
0,10001.0,250,63,-0.006899999627495073,3.8842339761779026,6.03852680981462,3.459840869624517,-2.1690060332384364,-0.37703919519133816,-0.07448571556588195,0.037078421211728635,r8090205.trees
0,10001.0,250,55,0.03157375512237055,3.564560562341061,4.646281667785515,2.9490763915343194,-1.722105140802908,-0.9724529589850468,0.1914008112544629,0.03026622619510299,r8090206.trees
0,10001.0,250,87,0.016368541010338442,4.7688700032906945,6.033103400369136,4.152812385086998,-2.5121997151518975,-2.359964055421494,-0.4195840051873369,0.038363129939111285,r8090207.trees
0,10001.0,250,61,0.030641232830912295,2.779614308103142,4.244409711629308,2.2746784395479964,-1.3047661277836773,-0.5854422861640386,-0.12790654783837474,0.03669921621971758,r8090208.trees
0,10001.0,250,56,-0.002042154407576084,4.598388969914661,5.453225060929395,4.0426688941189175,-2.515117508306032,-1.008319855025177,-0.05256142318907816,0.03693884601385573,r8090209.trees
0,10001.0,250,61,0.0024473733132609208,4.071481072028313,6.3553705980092605,3.5681231942170846,-2.204183372460483,-0.8783255172342775,-0.8025163579638102,0.03866433475838839,r8090210.trees
0,10001.0,250,72,-0.0009537062197072841,4.1665827755491796,3.1238250665451313,3.693342088596433,-2.2916096896361497,-1.7052891449451395,-0.39449371456637133,0.036741050222394954,r8090211.trees
0,10001.0,250,70,-0.0350208053645366,4.620027694064115,2.5202233410086667,4.283118205339609,-2.776665886710065,-2.18161763661685,0.015916528451963622,0.03301377553223647,r8090212.trees
0,10001.0,250,63,0.01474417942929912,3.92338568915959,4.444954386172678,3.3733861977469055,-2.0404212722125465,-0.9454146926516994,-0.5778472776579829,0.038988210908148725,r8090213.trees
0,10001.0,250,72,0.02324879093370897,4.494702390789481,4.331453293311067,3.846625748929683,-2.3016101487758958,-2.2066993484189377,0.056049676896836306,0.034673255232913223,r8090214.trees
0,10001.0,250,62,-0.0015884851475059347,4.0035583837221145,4.470284278862599,3.5330812055109595,-2.19619819666411,-1.4893146806158997,-0.4824578139808567,0.0437826575117675,r8090215.trees
0,10001.0,250,62,0.02782043048394391,4.165574153260491,6.116605779277844,3.5116652573755593,-2.081209086521259,-1.4893146806158999,0.18252896077561,0.029038735587511338,r8090216.trees
0,10001.0,250,71,-0.0002373412644268986,4.82517567075992,5.849282262691914,4.270122429828881,-2.646633774488265,-1.940294215553656,0.7435181156024275,0.02420974219458479,r8090217.trees
0,10001.0,250,52,-0.019383617906241983,4.8384377554518165,4.7906157001841745,4.334463199318326,-2.7560642745047272,-2.5555993414295193,0.4297509483980592,0.02835859567301464,r8090218.trees
0,10001.0,250,62,0.013234450842204301,4.367414976383127,5.891174054858895,3.7706962491084863,-2.2922678016407017,-1.7777844950934463,-0.3805286333111695,0.03852948450694273,r8090219.trees
0,10001.0,250,51,0.018712837492072597,3.5268897034848647,6.011931894824312,2.9778399350704485,-1.7852657730925199,-0.8160365967736769,-0.20993058307000276,0.035257157662909704,r8090220.trees
