#/home/enes/bim/BIM.py trees/ir3030060.trees,trees/ir3030061.trees,trees/ir3030062.trees,trees/ir3030063.trees,trees/ir3030064.trees,trees/ir3030065.trees,trees/ir3030066.trees,trees/ir3030067.trees,trees/ir3030068.trees,trees/ir3030069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/937747311.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,TajD,FulD,FayH,FerL,Colless,btree,path
0,100001.0,50,348,-1.2705876122129893,0.23694932514590936,-0.33822579107546596,0.7078832189533508,-0.079456799437918,-0.46935830607762175,0.18834621227131623,-1.257816558961291,ir3030060.trees
0,100001.0,50,348,-2.005226889221518,1.3895179842846084,-0.4125884675770003,0.7928988780428323,-0.24625201584900802,-1.8284949998911697,0.2758356428991349,-2.1197382624755092,ir3030061.trees
0,100001.0,50,338,-2.7573047201169265,1.001866449892125,-0.4855439487936356,1.5260181869909115,-0.20395770314223807,-1.4289895941555193,0.18577502429543247,-2.033510512245564,ir3030062.trees
0,100001.0,50,412,-1.7364114689365497,0.6083546920401735,-0.6880797283234222,0.15917623237743764,-0.17838024113977197,-1.0993662871608665,0.19688031462585032,-1.9881607546482802,ir3030063.trees
0,100001.0,50,313,-3.7518397037856728,0.9236586667353897,-1.481540438082445,1.8620885895412347,-0.333043627668758,-1.9248653554092081,0.26346629560915275,-2.5190011085765773,ir3030064.trees
0,100001.0,50,364,-3.321403968152081,0.7903612604979783,-1.174717802785296,1.304812749094523,-0.27137961740091027,-1.593157374901909,0.2695191713048856,-2.394249627652357,ir3030065.trees
0,100001.0,50,268,-3.090396790390987,0.7274490881160546,-0.7230334326982889,1.7863601332027599,-0.20072394391591153,-1.2548457370417456,0.23632653061224485,-2.2302796098903146,ir3030066.trees
0,100001.0,50,423,-2.228678819284733,0.9495154467072897,-0.5880835981224526,0.6297122407513709,-0.21047614788404367,-1.4296757458305471,0.26517462655165147,-2.4469475505307936,ir3030067.trees
0,100001.0,50,329,-3.0488060728763497,0.99092274086151,-0.9252517383927445,1.0281322382724534,-0.26409809070963863,-1.6749710685581585,0.2750850340136056,-2.154329332397481,ir3030068.trees
0,100001.0,50,328,-3.800693656840079,0.8573329390121617,-1.4956037139582268,2.12317526407202,-0.3257724308721617,-1.8577324066483119,0.23483560090702946,-1.8105246590838031,ir3030069.trees
