#/home/enes/bim/BIM.py trees/ir3020010.trees,trees/ir3020011.trees,trees/ir3020012.trees,trees/ir3020013.trees,trees/ir3020014.trees,trees/ir3020015.trees,trees/ir3020016.trees,trees/ir3020017.trees,trees/ir3020018.trees,trees/ir3020019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/391214184.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,bsfs,FerL,ZngE,FulD,FayH,btree,Colless,path
0,100001.0,50,409,-0.6651990457502299,-1.8216435348470141,-0.5787115263963027,0.1638006972103362,1.2344952844822037,-0.11507042347553953,-1.7801919143008667,0.22297919167667055,ir3020010.trees
0,100001.0,50,341,-0.15416946785097196,-0.7611022870857486,-0.7675880450720008,0.5931022899545316,-0.12106365336690479,-0.10208091066811797,-0.8500067226932305,0.18053135888501737,ir3020011.trees
0,100001.0,50,395,-0.4937827170040119,-2.1257549805840594,-0.5620730453004665,0.23778517144402078,1.6569779999683882,-0.10117303606349203,-2.2485254517172772,0.212205094803879,ir3020012.trees
0,100001.0,50,418,0.19648508917661694,-0.12132501600803049,-0.8399586240068718,0.8377796735670648,-0.4572683653310832,-0.08583208209672939,-1.8270673182926758,0.1932397959183673,ir3020013.trees
0,100001.0,50,443,-0.14908735513545432,-0.9195569080445345,-1.122960215806726,0.9074565372201152,0.11833235936373634,-0.14338201924819213,-1.3515254410325213,0.1790049353074563,ir3020014.trees
0,100001.0,50,390,-0.40799670218642275,-0.972007484606283,-0.29094143797157784,0.04444367480180964,0.543510885942212,-0.06302621835687298,-1.7329124810053218,0.21313066893424043,ir3020015.trees
0,100001.0,50,400,0.029791199891045134,0.2618776559688037,0.05342781973408628,-0.03145124283566579,0.07756571735042009,0.00841774100220095,-0.8609484405165347,0.16024388478795773,ir3020016.trees
0,100001.0,50,416,-0.3484467981944209,-0.5997175971555107,0.136797114521962,-0.29986479068526894,1.2296629136442718,-0.008117960675134404,-1.7255776857592577,0.21346371882086174,ir3020017.trees
0,100001.0,50,391,0.009869582594988255,-0.3609672982028914,-0.30057797590191654,0.2685387572294746,0.9502122465944262,-0.03497385077371719,-1.490610399664062,0.17341045329022697,ir3020018.trees
0,100001.0,50,386,-0.789721464407431,-2.4149346858228813,-1.4023552069539715,0.8215727150403455,0.9283576409147873,-0.22160308977331392,-2.593019859563087,0.28021208483393356,ir3020019.trees
