#/home/enes/bim/BIM.py trees/ir8060202.trees,trees/ir8060203.trees,trees/ir8060204.trees,trees/ir8060205.trees,trees/ir8060206.trees,trees/ir8060207.trees,trees/ir8060208.trees,trees/ir8060209.trees,trees/ir8060210.trees,trees/ir8060211.trees,trees/ir8060212.trees,trees/ir8060213.trees,trees/ir8060214.trees,trees/ir8060215.trees,trees/ir8060216.trees,trees/ir8060217.trees 250 --stats=all --eta=etas/BC.json --out=outs/668599695.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,ZngE,FerL,FulD,FayH,Colless,btree,path
0,10001.0,250,72,3.551600140445172,5.32980307872058,3.0730779746897947,-1.860273631775641,-1.2038789414713407,0.012445991985942725,0.0454074361963985,-0.7320648944190673,ir8060202.trees
0,10001.0,250,53,3.452323380599577,4.014063248574692,2.7536803999125166,-1.54390920916084,-1.2307189338712314,0.04859010806754669,0.0420877056613551,-0.8339134667158934,ir8060203.trees
0,10001.0,250,49,2.844755676432152,5.718530174078733,2.335065318222824,-1.3600702355288115,-0.37024077958604623,0.02669843914106816,0.047836507319600985,-0.9505622364408651,ir8060204.trees
0,10001.0,250,52,3.692434960665028,4.346505929855954,3.1875438886820073,-1.9539602028270981,-1.196896856418994,0.007234361629812088,0.05473506930949605,-1.7114304948740204,ir8060205.trees
0,10001.0,250,67,3.8909255168353436,6.616701137553294,3.3398230897675427,-2.010958625793565,-1.8731106250843796,0.016936491003842816,0.04106749578961005,-0.6328223323002887,ir8060206.trees
0,10001.0,250,83,4.170192042504971,6.126431118375025,3.5985198347681795,-2.1598337525444595,-2.1050534782746473,0.019168414864241798,0.047577406399792715,-0.9841666790708671,ir8060207.trees
0,10001.0,250,40,3.573832543029481,3.9572933878839534,2.931865703702974,-1.7274448253824526,-1.5357006352431184,0.029189911062585915,0.04006347972535302,-0.23600462016267626,ir8060208.trees
0,10001.0,250,79,4.298001404188899,6.47318528322921,3.803765110397347,-2.347902385298985,-1.36638162654564,0.002175158109973932,0.03980437880554476,-0.5156474055149063,ir8060209.trees
0,10001.0,250,59,4.1620069411306,4.065175568469647,3.8109133844397247,-2.459362370009109,-1.411263445076351,-0.02782882430236034,0.04061406917994558,-0.7675013800013765,ir8060210.trees
0,10001.0,250,41,3.815051519140117,5.137911596193023,3.333988428247766,-2.0951324131110267,-1.1487094697150815,-0.006870887692605988,0.036573714211685454,-0.5853037653669986,ir8060211.trees
0,10001.0,250,25,2.4203703651434094,4.916300241999512,2.0107487790911582,-1.2392802672264682,0.5904455113797494,0.005115744039054239,0.03148076175670424,0.49239930823724565,ir8060212.trees
0,10001.0,250,42,3.3651876625804302,5.666021500868954,2.7160907558789553,-1.5662334737009955,-1.6046642147136922,0.03702061811251063,0.058200544111931596,-1.275181256240871,ir8060213.trees
0,10001.0,250,48,3.1015987332000945,6.2018291374738865,2.5844641406246565,-1.5325272657400881,-0.31738513525547174,0.02158702852314806,0.03530250032387615,-0.2614132453163777,ir8060214.trees
0,10001.0,250,74,3.8388639720327724,6.544943403569907,3.2934068858941363,-1.973491143607178,-1.9861965441237333,0.018951830922691672,0.03675994299779764,-0.15765783951287637,ir8060215.trees
0,10001.0,250,36,3.513082679642932,5.976489816373586,2.982455949925371,-1.8345314628297331,-1.3773016439686834,0.006596732017160818,0.03970721596061666,-0.45536862086865804,ir8060216.trees
0,10001.0,250,56,3.5238478985021313,5.34720524780231,3.179497689970393,-2.0285312734959176,-0.3740191419681388,-0.01635344283527222,0.035334887938852186,-0.16874189779401408,ir8060217.trees
