#/home/enes/bim/BIM.py trees/r3050090.trees,trees/r3050091.trees,trees/r3050092.trees,trees/r3050093.trees,trees/r3050094.trees,trees/r3050095.trees,trees/r3050096.trees,trees/r3050097.trees,trees/r3050098.trees,trees/r3050099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/296018130.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FayH,bsfs,FulD,FerL,btree,Colless,path
0,100001.0,50,475,0.31230528382290224,0.3963990388345341,-0.009902282670279473,0.44865969471469846,0.387728630267649,-0.26789623256216066,0.001676710404863851,0.1489053954915299,r3050090.trees
0,100001.0,50,469,0.09454952120166871,-0.23461573168455616,0.04485373884467168,0.4869652335649545,-0.6712152718324171,0.32333853462925427,-0.0657318455319316,0.13918025310682938,r3050091.trees
0,100001.0,50,351,-0.37126906918296876,0.026001446557143957,-0.0554497468476283,-1.1283401643334654,1.2638336564243642,-0.248061808298471,-1.0250352983203235,0.1498211353506922,r3050092.trees
0,100001.0,50,479,-0.017643951443764967,0.2693148146824874,-0.03879163948864099,-0.019228046017344857,-0.38566672479582054,-0.3175498242815111,-0.12262619035866751,0.1512471655328797,r3050093.trees
0,100001.0,50,435,-0.09948748935740948,0.3774138407887121,-0.06488307398846949,-1.432199441559502,1.1686744951535843,-0.48914375627814904,-0.7408892645974985,0.16412565026010414,r3050094.trees
0,100001.0,50,339,-0.3466952107288253,1.1862232963843,-0.20955311200066637,-1.3513337734833764,-0.32051846747348617,-1.5577613308357503,-1.019220112516369,0.17803169171860372,r3050095.trees
0,100001.0,50,477,0.3184467238286496,0.12205120265384217,0.027968206471744746,0.6020479598719661,0.2169318970903445,0.04862113278781444,0.865571314318908,0.11455750524508851,r3050096.trees
0,100001.0,50,500,-0.1409985937715498,-0.18872587203585695,0.005773669328882376,-0.1060566930295056,-0.21143554524988664,0.13202897544540396,-0.49546261873300135,0.12990896841828517,r3050097.trees
0,100001.0,50,427,0.07389958714827585,0.40421008249889506,-0.044311868713501484,-0.025608103631087942,-0.655841581630653,-0.4175461176290263,-0.26399655079018786,0.1360588972431077,r3050098.trees
0,100001.0,50,361,0.05733014384068961,0.266896470507366,-0.028172180721879374,-0.007234575730186845,0.4001893099614704,-0.27084208075753163,-0.6004776057735924,0.15142201458896812,r3050099.trees
