#/home/enes/bim/BIM.py trees/r3020000.trees,trees/r3020001.trees,trees/r3020002.trees,trees/r3020003.trees,trees/r3020004.trees,trees/r3020005.trees,trees/r3020006.trees,trees/r3020007.trees,trees/r3020008.trees,trees/r3020009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/211082060.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,ZngE,TajD,FulD,bsfs,btree,Colless,path
0,100001.0,50,363,-0.0848970049827579,-0.41439567710745845,0.10006341627057651,-0.5101978839778657,0.7059882891185515,-1.4106220837321568,-1.719731387556222,0.18473895582329314,r3020000.trees
0,100001.0,50,322,-0.09582796799469684,-0.5935508387468864,0.3349384007046778,-0.35939787950658875,-0.02608754071857531,-0.8976191277435676,-0.6760030238502489,0.18303406633971422,r3020001.trees
0,100001.0,50,450,-0.04811530879526124,-0.49562422268022105,0.512735829472159,0.15131373476382232,0.13112732997515741,-0.3390591492277936,-0.6010211918602248,0.1526523177577042,r3020002.trees
0,100001.0,50,372,-0.03707116284640446,-0.3819322158841422,0.39584155315620856,0.11852249561182263,0.6492264401297371,-0.1307671807027599,-0.9050613330228853,0.14419564121945064,r3020003.trees
0,100001.0,50,440,-0.28194464758797166,-1.9801977401175201,1.384867115211388,-0.6795524792224251,0.37728462867603035,-2.448399932238461,-1.8993256492440653,0.24749784971459876,r3020004.trees
0,100001.0,50,421,-0.011935899025942047,-0.14806935831592616,0.17130663608435578,0.08036358449336656,-0.30157993399286254,-0.2186123795546744,-0.457240298568916,0.14262417295685384,r3020005.trees
0,100001.0,50,391,-0.16171411069042557,-1.1918481149836326,0.894638082912308,-0.2905962175147493,-0.10996437553950945,-1.0307756211001937,-0.9193020758172366,0.18693310657596393,r3020006.trees
0,100001.0,50,393,-0.11654694645730576,-0.6292213252600879,0.2419748134630774,-0.5997146658869622,0.024533579857955304,-1.3299869188877371,-1.3529932173798325,0.20807941232048383,r3020007.trees
0,100001.0,50,332,-0.05801718987989197,-0.4368091174501515,0.33825577608258345,-0.08627234238949749,0.8555915981923128,-0.35660718420110393,-0.460137099279188,0.13287798990563968,r3020008.trees
0,100001.0,50,388,-0.025634812473733157,-0.38096568917447354,0.4784557929548771,0.28013417409040325,-0.5813741338659127,0.11712552060404287,-0.32633048175693086,0.15349689258419424,r3020009.trees
