start,end,N,SS,FerL,FayH,ZngE,bsfs,TajD,FulD,Colless,btree,path,iColless,ibtree
0,100001,50,319,-1.772825997146236,-0.2830432412999512,1.0241422923732515,-2.7129475029685173,-1.0273890240766916,0.18993462101919556,0.1751959930313589,-1.7019394430511618,3030000,0.2298894557823129,-2.2938663120172924
0,100001,50,352,-1.373682585961305,-0.2280483274074227,0.7263098404865526,-2.9969888523362886,-0.9261365782014616,2.0914932785676283,0.21154391243676932,-2.1373865523476083,3030001,0.2209951053592169,-2.324805050155677
0,100001,50,347,-1.938225392036784,-0.3053011412547885,1.1467564995988138,-2.6884886960952614,-1.0702178621089,1.827748468182044,0.23108600583090386,-2.248177770904113,3030002,0.3205370858020628,-3.1637900651767255
0,100001,50,321,-1.221911574815161,-0.1826138344576599,0.7974657434438593,-1.5341555496070167,-0.5302064578406396,0.26039806926829273,0.14801384839650142,-0.8748375671464262,3030003,0.21480331262939964,-1.999449178941536
0,100001,50,370,-1.0273045674924477,-0.17584297011279126,0.503006133021157,-2.175438876825157,-0.7702743486107346,2.110408537553017,0.17866709183673496,-1.3961674820824863,3030004,0.22620298119247698,-2.129515041207194
0,100001,50,401,-0.5047636226722036,-0.10459269229114193,0.1118693865259914,-1.0767337097293757,-0.6403402451378443,0.7338203346433511,0.2646430596047943,-2.3615965414685736,3030005,0.233339632149156,-2.2878464536908396
0,100001,50,203,-0.055888984892297,-0.07901640571966526,-0.4758427846170938,-2.0880415615738994,-1.0272727528569023,1.7312167546247237,0.22355804023737144,-2.245930531877689,3030006,0.20838239141810572,-2.148297873720519
0,100001,50,326,-0.5042956100201924,-0.10354139005753396,0.1216255303124954,-1.320980812230427,-0.6217817336882383,1.5666567963447364,0.1495132535772929,-0.8344587505447347,3030007,0.19786605118237766,-1.6393810678051577
0,100001,50,334,-1.6090129674367104,-0.2758962283428833,0.7879413128686736,-2.62297833499934,-1.2070657881310771,1.317862105886157,0.2489187728071359,-2.225575114076414,3030008,0.2898482469911041,-2.7648275270742912
0,100001,50,391,-1.9935016612892495,-0.3334824476837919,1.0310240506725177,-3.01838982416211,-1.3877708401354003,0.685168091060942,0.2754333371766787,-3.0354303136664336,3030009,0.2750707024382787,-2.884861568281276
