#/home/enes/bim/BIM.py trees/ir8060170.trees,trees/ir8060171.trees,trees/ir8060172.trees,trees/ir8060173.trees,trees/ir8060174.trees,trees/ir8060175.trees,trees/ir8060176.trees,trees/ir8060177.trees,trees/ir8060178.trees,trees/ir8060179.trees,trees/ir8060180.trees,trees/ir8060181.trees,trees/ir8060182.trees,trees/ir8060183.trees,trees/ir8060184.trees,trees/ir8060185.trees 250 --stats=all --eta=etas/BC.json --out=outs/933613858.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,TajD,FerL,FulD,FayH,ZngE,btree,Colless,path
0,10001.0,250,62,5.644179714616796,3.328497311365454,-1.579477973847451,-0.6239052371832601,0.034303088102494945,2.738651510393046,-0.21934016347213123,0.039269983158440214,ir8060170.trees
0,10001.0,250,65,5.142316897601192,3.6894979131866776,-1.9446470706636987,-1.00863923187772,0.010393197357835294,3.1953319310545205,-0.7876698193666934,0.047059204560176184,ir8060171.trees
0,10001.0,250,65,6.358549327208597,3.5416799533465353,-1.7733891341738999,-1.8366237549775017,0.02340561433966606,2.992020216637502,-0.4515334790328864,0.04122943386449022,ir8060172.trees
0,10001.0,250,86,2.1461279370647555,3.1800808920399573,-0.9336662453634874,-1.291862497657044,0.11483783593768353,2.1697264829649145,-0.043282312450797444,0.03692188107267781,ir8060173.trees
0,10001.0,250,57,4.687941421596437,2.6403546313609803,-1.4018354821373749,-0.10708012700926116,0.005136059779696106,2.2881141339876243,-0.9192976393586593,0.04884052338385801,ir8060174.trees
0,10001.0,250,62,6.107432808994901,3.550811381722817,-1.8691538092312932,-0.33543542270571297,0.009966793549820977,3.0700888029647047,-1.209196183691297,0.04239538800362741,ir8060175.trees
0,10001.0,250,41,5.81639465505755,2.239113770548137,-1.0229943957803143,0.5402167657455896,0.02744801935378492,1.790542233781798,-0.5178874329008921,0.043755667832620804,ir8060176.trees
0,10001.0,250,54,5.94422679638515,4.120872102526255,-2.2941509428610027,-0.27930689578105317,-0.008171219940573727,3.6521312496915934,-0.021135589094593007,0.032808653970721594,ir8060177.trees
0,10001.0,250,66,1.6240777304357212,3.373779924770027,-0.8239382131568874,-1.58305216439958,0.14669013681632045,2.153072788755513,-0.9779486149224083,0.046372587122684286,ir8060178.trees
0,10001.0,250,66,4.574347667285833,4.0467474731493835,-2.316815452851333,-1.58305216439958,-0.014873925003003049,3.654207743695016,-0.24052461895232125,0.03403938333981086,ir8060179.trees
0,10001.0,250,70,6.254505545423431,4.262839970127142,-2.285772466020144,-1.409285205100206,0.007132046036317201,3.7290940202304803,-0.8914332584165294,0.04667055318046379,ir8060180.trees
0,10001.0,250,51,5.322366454054528,3.786289112338546,-1.9533174184283266,-1.5076720617645416,0.014655361401558467,3.2264554104184606,0.4307513105530584,0.028954527788573648,ir8060181.trees
0,10001.0,250,52,4.267312278057858,3.0073869896683956,-1.5145286504432538,-1.196896856418994,0.017238809581420867,2.5342052377166207,-1.4021013105567337,0.05162585827179686,ir8060182.trees
0,10001.0,250,47,4.754990246909445,3.7437507096774403,-2.0636226301479588,-1.0080498858402034,-0.00606984082017499,3.289904418621889,0.022364679045028882,0.032679103510817466,ir8060183.trees
0,10001.0,250,66,6.640354961116123,4.347877002474079,-2.3110832341434064,-1.8551255656661247,0.00960556153933545,3.7824357135132263,-0.43851211670971807,0.037456276719782355,ir8060184.trees
0,10001.0,250,65,6.464392171265182,3.7988583750168208,-1.9103130779052147,-1.5606289139442413,0.023932805509991,3.2158585945293146,-0.03931245533533942,0.0388651379712398,ir8060185.trees
