#/home/enes/bim/BIM.py trees/r8090136.trees,trees/r8090137.trees,trees/r8090138.trees,trees/r8090139.trees,trees/r8090140.trees,trees/r8090141.trees,trees/r8090142.trees,trees/r8090143.trees,trees/r8090144.trees,trees/r8090145.trees,trees/r8090146.trees,trees/r8090147.trees,trees/r8090148.trees,trees/r8090149.trees,trees/r8090150.trees,trees/r8090151.trees,trees/r8090152.trees 250 --stats=all --eta=etas/BC.json --out=outs/534628810.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,TajD,FerL,bsfs,FayH,FulD,btree,Colless,path
0,10001.0,250,62,2.4255707447945882,2.985809073925862,-1.378268530535149,6.134284232372024,0.03635085901088198,-0.33543542270571297,-0.6916679041437337,0.03892991320119186,r8090136.trees
0,10001.0,250,59,2.6628121991518885,3.1667814731593307,-1.5774990274229015,4.047088713712516,0.021527436193670244,-1.1091343211323583,0.48804909580354106,0.03027702206676167,r8090137.trees
0,10001.0,250,69,3.344318193435123,3.8471634967753108,-2.0379130393674054,5.208824926151741,0.009883683928333295,-2.1685665610598464,0.6018708601729259,0.02690439176059075,r8090138.trees
0,10001.0,250,54,3.582939856446353,4.164313746134324,-2.1846795840150612,6.5188718172912266,0.0113690924358354,-1.5914089407117977,-0.044028535134708696,0.03468713563933152,r8090139.trees
0,10001.0,250,64,3.3737981615085055,3.975451886405476,-2.011025002783801,6.606068329257145,0.023213082254369105,-2.0976137869611753,0.1753549410280484,0.035942155719652806,r8090140.trees
0,10001.0,250,74,3.9184162360938264,4.458388262074646,-2.4078350404559528,6.23027631072021,0.005551892603030869,-2.230507027577472,0.6872623140533595,0.026825042103899466,r8090141.trees
0,10001.0,250,60,3.657776559233268,4.165667743789137,-2.2656773076401295,5.130226382476298,0.0008012755661551299,-0.24835063909172167,-0.17272411261696577,0.03233903355356912,r8090142.trees
0,10001.0,250,68,3.1670650937433167,3.777882099499698,-1.8574024917219736,5.323822812604885,0.030180799481832183,-1.8906003287834332,-0.28910150203015483,0.03693267694433649,r8090143.trees
0,10001.0,250,63,3.7875643932536036,4.429892714800009,-2.277396584470824,4.173299698164296,0.0204639538389081,-2.3663534363026018,0.3074710166762668,0.02786260248366739,r8090144.trees
0,10001.0,250,57,3.6852519959411887,4.300667201109803,-2.23162995626708,6.200668665340091,0.015911277569213487,-2.2909369826205737,0.23263529734423183,0.029547221142635055,r8090145.trees
0,10001.0,250,59,3.513494414434798,4.079759870699196,-2.135244281661041,6.575828751070349,0.012768845010874158,-1.4112634450763506,-0.3160241165704036,0.03446042233449929,r8090146.trees
0,10001.0,250,56,3.8148720950939503,4.392804211896368,-2.3442816508906104,3.9412014914527203,0.006586758343166125,-1.6426205680822163,0.3819841162149684,0.030951764045429025,r8090147.trees
0,10001.0,250,47,3.266458020986935,3.9284871279728453,-1.9346724965644106,6.185725240925392,0.028117019172104588,-1.7536309308926523,0.6661919592276148,0.02755214406011141,r8090148.trees
0,10001.0,250,69,3.5703135271417783,3.9471341810566147,-2.263258909767601,4.309249989803189,-0.014511653920818888,-1.1247599363515055,-0.4530082531228743,0.03966094793922232,r8090149.trees
0,10001.0,250,57,2.8608197406578104,3.3037559669370435,-1.751331448694598,4.488372015475047,0.006823667766825014,-1.0430187794141093,0.17963126055540637,0.03343874029843715,r8090150.trees
0,10001.0,250,60,2.5855708298065743,3.0995777365093473,-1.5170325872031798,6.425425713697198,0.025087484424109747,-1.438087248716357,0.061743415563811334,0.029981215183313904,r8090151.trees
0,10001.0,250,61,3.740927413440875,4.400912366374915,-2.238787004896425,5.115776586746484,0.023462667608297596,-1.7569752104449945,-0.2847602354928371,0.03502720559657987,r8090152.trees
