#/home/enes/bim/BIM.py trees/r8060221.trees,trees/r8060222.trees,trees/r8060223.trees,trees/r8060224.trees,trees/r8060225.trees,trees/r8060226.trees,trees/r8060227.trees,trees/r8060228.trees,trees/r8060229.trees,trees/r8060230.trees,trees/r8060231.trees,trees/r8060232.trees,trees/r8060233.trees,trees/r8060234.trees,trees/r8060235.trees,trees/r8060236.trees,trees/r8060237.trees 250 --stats=all --eta=etas/BC.json --out=outs/880477391.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,bsfs,TajD,FerL,FulD,ZngE,Colless,btree,path
0,10001.0,250,62,0.012552835668412612,6.063925965652678,3.559087800817706,-1.8557836883343877,-0.9123750516608069,3.0629501535862387,0.035908611404141914,-0.14161268512515351,r8060221.trees
0,10001.0,250,73,-0.0007941369305343329,5.836641555355196,4.204318973778994,-2.3121352471515464,-1.4763570429304511,3.7276282330275525,0.032692058556807874,0.05755790892096534,r8060222.trees
0,10001.0,250,50,0.0037323727655730055,5.0043034167948175,3.6727496308841663,-1.9642153546960377,-1.4777107260146092,3.1840703513951825,0.033157720487685505,0.0789868810180737,r8060223.trees
0,10001.0,250,37,0.012078236045140722,4.6296909688072905,3.960858355704647,-2.0407821726912574,-2.8094773401752686,3.3432075399361474,0.04507816211080883,-0.5007081384311224,r8060224.trees
0,10001.0,250,47,0.011567128140422817,4.285814435251482,4.197303529180189,-2.1906829103382934,-2.126421453418877,3.5894972772907514,0.04146424407306646,-0.3836290206593713,r8060225.trees
0,10001.0,250,76,-0.008769804607751303,3.3333451249093935,3.156528938228333,-1.7956357852044555,0.12920948825735143,2.8490485413139597,0.04472405752040419,-0.5893250598889876,r8060226.trees
0,10001.0,250,52,0.024818995354811645,6.459718740890712,4.5280424455829875,-2.2880390054908517,-2.215923720176888,3.8218069585973105,0.033990801917346804,0.11174731792573726,r8060227.trees
0,10001.0,250,53,0.010636367802656218,5.068333833430032,3.9787936922436797,-2.087584457819065,-2.231964714753716,3.421936506043917,0.0281254048451872,0.5371966055625346,r8060228.trees
0,10001.0,250,64,0.03758065702696839,5.789667383577207,4.215149633064175,-2.0422797644800617,-1.537551301806009,3.504633526006788,0.04303234443148939,-0.5422614580284533,r8060229.trees
0,10001.0,250,48,0.016019847482967826,5.730503531143133,3.6515261788917184,-1.8672943608826433,-1.4143617479761603,3.0934604646181807,0.04660115114837229,-0.9258208563681535,r8060230.trees
0,10001.0,250,42,0.046439398484655045,5.83183970641943,3.311714144356394,-1.4754171303348285,-0.7784724774473059,2.6198958151838005,0.034242962633945925,-0.24926359440890838,r8060231.trees
0,10001.0,250,57,0.02716412026074853,6.432520447457509,3.544579121557433,-1.7430066091571548,-0.4190596778108773,2.959751611291816,0.03487683452704828,-0.1974250313589847,r8060232.trees
0,10001.0,250,55,0.023483083527500666,6.390359447158242,3.538377514089506,-1.7630899679235814,-1.6174449469784478,2.9706342451113894,0.036873299650213756,-0.7777213962063131,r8060233.trees
0,10001.0,250,50,0.03012064798546147,6.237241543339537,3.572575796986679,-1.7319427272173893,-1.8298976208592184,2.9533086294937005,0.026731559669764104,0.41921514078667194,r8060234.trees
0,10001.0,250,47,0.029722490134738534,4.293750844624449,2.117892966035839,-0.945541352438044,-1.3808404083664279,1.6825236029811226,0.0367210778598264,-0.09236482357233586,r8060235.trees
0,10001.0,250,44,0.02801646784267622,5.798151956288183,3.4961673018537422,-1.6984137687998513,-0.8760033257215954,2.8829220896273484,0.04019765698739659,-0.25629581666483586,r8060236.trees
0,10001.0,250,56,0.013458770000406444,6.349952829765273,3.27312334676749,-1.6882673028833293,-0.37401914196813835,2.795369754359665,0.030204149933065593,0.18315914756844306,r8060237.trees
