#/home/enes/bim/BIM.py trees/r3040060.trees,trees/r3040061.trees,trees/r3040062.trees,trees/r3040063.trees,trees/r3040064.trees,trees/r3040065.trees,trees/r3040066.trees,trees/r3040067.trees,trees/r3040068.trees,trees/r3040069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/481169727.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FerL,bsfs,FayH,FulD,TajD,btree,Colless,path
0,100001.0,50,483,-0.3461318535664198,0.17813208589256502,-0.6804566063902203,-0.004550974239851245,0.8178025209574763,-0.3672346695892009,-0.4523273989375496,0.14147534013605442,r3040060.trees
0,100001.0,50,483,-0.05588662258961188,0.12590960856617198,0.5074129500247393,0.02224454689893496,0.019877813357128907,0.10540732518593811,-0.24170759249038198,0.12725576341647776,r3040061.trees
0,100001.0,50,345,-0.6775313029896796,0.2996459586271458,-1.4555168463608328,-0.020688271330984782,0.9140806051602809,-0.8053190717076462,-0.5785491211163991,0.15322177822177832,r3040062.trees
0,100001.0,50,439,-0.025670869595782325,0.05263693166463848,0.1302983280642337,0.008999849917203736,0.7231147643053861,0.039624710607596515,-0.26443356855484146,0.15388119533527692,r3040063.trees
0,100001.0,50,377,-0.08170276635837782,-0.3084621414732343,-1.638625988920803,-0.08431148354589824,0.7933442891328443,-0.6824165196159101,-0.7595186453968101,0.13078865086407226,r3040064.trees
0,100001.0,50,520,0.04082897074633053,0.011259160805596649,0.012797008987024483,0.008161531173114578,-0.3301054926305355,0.09796723400420682,0.22695580135788715,0.1162091026886946,r3040065.trees
0,100001.0,50,367,-0.6161276905336903,0.5633739711320457,-0.04621532489889118,0.05032338838887058,0.6624984186558728,-0.2373984996373948,0.28222916444868396,0.11760156039817049,r3040066.trees
0,100001.0,50,436,-0.15649753498651725,0.27653688655311154,0.5389924402269768,0.04436430931139263,1.2264143182689695,0.16631770002824878,0.08168709527348689,0.11834639068897698,r3040067.trees
0,100001.0,50,502,0.8356301459264844,-0.7661602296466816,-0.1713880781233879,-0.06848984084493795,-0.5781310261777433,0.3165370216054967,0.4844639254651657,0.1191000096721152,r3040068.trees
0,100001.0,50,503,0.4543537772303077,-0.2168133220423463,0.6425997901246175,0.009988223421207218,-0.67196475429669,0.5106822966337322,0.3685597542338503,0.12054562757745567,r3040069.trees
