#/home/enes/bim/BIM.py trees/r3000040.trees,trees/r3000041.trees,trees/r3000042.trees,trees/r3000043.trees,trees/r3000044.trees,trees/r3000045.trees,trees/r3000046.trees,trees/r3000047.trees,trees/r3000048.trees,trees/r3000049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/710692949.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,bsfs,FulD,ZngE,TajD,FayH,btree,Colless,path
0,100001.0,50,438,-0.5746677399501017,-1.7016663253532227,0.3940329581067142,0.2495519076760067,-0.492047875213392,-0.10240875249249666,-0.59492824922678,0.1363783608681567,r3000040.trees
0,100001.0,50,484,-0.028832967959924898,0.1453407026014119,-0.5382441787619365,0.14537472238235377,0.23218947937573206,0.01278753183930535,0.30098705511144563,0.10847680304349225,r3000041.trees
0,100001.0,50,478,0.0677094843216021,0.7956641127500419,0.24059716029205414,0.1467438376129601,0.39855177602189534,0.03581418823074609,0.7539531567671518,0.11707326608804436,r3000042.trees
0,100001.0,50,467,0.21555934901138463,0.867325316150311,-0.37435100118248393,-0.048226857056147626,0.2722684690734917,0.04450374237353609,1.0921704493411242,0.09611809840215156,r3000043.trees
0,100001.0,50,473,-0.5067553801896505,0.7834721602269953,-0.7874318629374347,0.8033207817013792,0.6942281121557193,-0.01151470725953134,0.8378373497253582,0.11317293414827857,r3000044.trees
0,100001.0,50,492,-0.6818058097358144,-0.657861009404083,-0.25167293228373583,0.5081356825068813,-0.17345549822190354,-0.0927156066949372,-0.520376540598074,0.1390005497148354,r3000045.trees
0,100001.0,50,500,0.0826028207733877,0.9395635092274333,-0.5079484853219194,0.24770176388419318,0.6187764818138426,0.052921925766609576,0.3827518938230095,0.11698831706595691,r3000046.trees
0,100001.0,50,424,0.13924661685451262,-0.19251888932872732,0.760208341879897,-0.18538742647723871,-0.122586561218674,0.007940723727283897,0.05151478825242908,0.11350078492935624,r3000047.trees
0,100001.0,50,449,0.3567546085803328,0.3801275384464734,0.6667546697915133,-0.2986350848718563,0.027360055850827646,0.044146377535825114,0.1615657644209012,0.11742567397329304,r3000048.trees
0,100001.0,50,350,-0.651132366165139,-0.16396539406977667,-0.1602547932350361,0.6154832011720653,0.08720373794880308,-0.07131038091122838,0.4848293035533993,0.11440704330512698,r3000049.trees
