#/home/enes/bim/BIM.py trees/ir8110090.trees,trees/ir8110091.trees,trees/ir8110092.trees,trees/ir8110093.trees,trees/ir8110094.trees,trees/ir8110095.trees,trees/ir8110096.trees,trees/ir8110097.trees,trees/ir8110098.trees,trees/ir8110099.trees,trees/ir8110100.trees,trees/ir8110101.trees,trees/ir8110102.trees,trees/ir8110103.trees,trees/ir8110104.trees,trees/ir8110105.trees 250 --stats=all --eta=etas/BC.json --out=outs/393108246.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FulD,ZngE,bsfs,FayH,TajD,Colless,btree,path
0,10001.0,250,80,-1.095682994395465,-0.7065563822737388,2.0351527560739333,5.17838065021158,0.046434702149913576,2.590355371899042,0.035156756056483995,-0.06497717131797771,ir8110090.trees
0,10001.0,250,84,-2.1087372509515743,-1.683404390836399,3.553894401326132,6.837725204910732,0.02570943700170208,4.160858710023828,0.06134214276460682,-2.3586477714528518,ir8110091.trees
0,10001.0,250,92,-1.1696184315809497,-0.61209133578257,2.2318865005119726,6.375001150634452,0.05902817450546098,2.8851330553681005,0.04805674310143802,-1.2048999850320508,ir8110092.trees
0,10001.0,250,97,-0.41538504652202485,-2.248129290939278,1.7508911652089316,1.678947907868936,0.1855918567980284,3.1679878478361267,0.03610409379453297,-0.004744261110801406,ir8110093.trees
0,10001.0,250,75,-1.3458940615947073,-1.7594947677879422,2.5932253651063943,5.616232796255509,0.07390618063653112,3.4000410760810995,0.0388651379712398,-0.1778231834335622,ir8110094.trees
0,10001.0,250,100,-1.1841792850505821,-1.7233245762528127,2.4338667463208887,6.188360794516665,0.08914065169918682,3.3030402997153305,0.03429848425961912,0.13801192062825285,ir8110095.trees
0,10001.0,250,74,-1.4944389861284215,-1.2532650937625145,2.6944758117806638,5.824314396471818,0.04964390740276244,3.3596700538201665,0.07301787796346676,-2.5778982507465624,ir8110096.trees
0,10001.0,250,106,-0.6000160496562947,-1.4533470539718347,1.992037089652003,1.6073741761577829,0.17453530287804292,3.3653166233644947,0.06017942738696722,-1.7984563374333113,ir8110097.trees
0,10001.0,250,104,-1.5913777944587004,-2.1291215012480333,3.220669578598691,3.505707291629312,0.11080623896397193,4.321718231961772,0.0432617567042363,-0.675593666915329,ir8110098.trees
0,10001.0,250,105,-1.8731454325173464,-1.6130320424863303,3.2998576594806663,6.502062910748449,0.04639006488705423,3.9886160183750605,0.05293061647511705,-1.5803492787722075,ir8110099.trees
0,10001.0,250,98,-0.8591382525547187,-1.6956262993544056,2.1735534218044883,1.5400945977415923,0.13483641636720045,3.310363811672159,0.043593729757740646,-0.6992870545548696,ir8110100.trees
0,10001.0,250,80,-1.910369972216099,-2.2951892491201233,3.21392471019024,4.9677539353174955,0.022525934127703366,3.7633515695137816,0.05045990413265967,-0.7850259742392094,ir8110101.trees
0,10001.0,250,81,-1.557338564155909,-1.8565074643285104,2.6710479240487173,6.412864728762041,0.02722604873485901,3.1813939171238883,0.04689726648529602,-0.6481685972975763,ir8110102.trees
0,10001.0,250,101,-1.9111838438819475,-1.3732677317779673,3.2864447749789982,4.04375209143561,0.03376393665579229,3.894546397823233,0.06238934231549855,-1.9904052342917604,ir8110103.trees
0,10001.0,250,78,-1.9353739878957466,-2.0422165270007464,3.203533540289038,6.412955945740014,0.013753268545992398,3.6979789138559713,0.03892991320119186,-0.22058335725082917,ir8110104.trees
0,10001.0,250,76,-0.9067138317569727,-1.3001975058694983,1.9497191720718619,2.4334062983305134,0.08529349910761623,2.746589555141609,0.03506499114738524,0.027212805161141596,ir8110105.trees
