#/home/enes/bim/BIM.py trees/ir8120039.trees,trees/ir8120040.trees,trees/ir8120041.trees,trees/ir8120042.trees,trees/ir8120043.trees,trees/ir8120044.trees,trees/ir8120045.trees,trees/ir8120046.trees,trees/ir8120047.trees,trees/ir8120048.trees,trees/ir8120049.trees,trees/ir8120050.trees,trees/ir8120051.trees,trees/ir8120052.trees,trees/ir8120053.trees,trees/ir8120054.trees,trees/ir8120055.trees 250 --stats=all --eta=etas/BC.json --out=outs/967765657.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,bsfs,FayH,FulD,TajD,ZngE,btree,Colless,path
0,10001.0,250,68,-2.625843514655669,5.634728414210778,0.0033318024686293597,-2.1551565947983926,4.8391160926573455,4.2557359540027235,-1.5389080192497158,0.05379582847519109,ir8120039.trees
0,10001.0,250,89,-2.3275531743378703,6.735212116130953,0.025353180728697057,-2.1716056033941364,4.548197330045682,3.906977359207693,-1.2124440650198904,0.052581292913589844,ir8120040.trees
0,10001.0,250,64,-1.7445779135323456,5.274171615296359,0.04049893784254268,-1.2575200592284252,3.7073596465234893,3.0407626882401475,-0.6600582913595056,0.0456017618862547,ir8120041.trees
0,10001.0,250,68,-1.8029984344626955,6.506823344535651,0.04542979302025494,-1.0969315307385548,3.8730118578688364,3.1651880750187313,-1.0043618873554752,0.04717256121259231,ir8120042.trees
0,10001.0,250,63,-2.4425203996613543,4.03242360866375,-0.027199873375136165,-2.3663534363026018,4.127526080681176,3.787564393253603,-1.3341840526194542,0.05274323098847001,ir8120043.trees
0,10001.0,250,75,-2.5105338152847416,5.614241043885724,-0.006467575705660719,-1.277026424078354,4.4894894734070165,4.0161289183489375,-0.43553907600474817,0.03737530768234227,ir8120044.trees
0,10001.0,250,81,-2.0941800419864003,6.410656100808369,0.01742949905873339,-1.85650746432851,4.030702781678636,3.481894141100066,-0.6653671223889491,0.043107915533100144,ir8120045.trees
0,10001.0,250,67,-2.2870625680298993,6.706174379824716,0.01433920164862097,-1.0683244134544407,4.362420346363762,3.7706901116354015,-2.210496160787492,0.0621032517165436,ir8120046.trees
0,10001.0,250,93,-2.4002118047491017,6.745120642955412,0.009887643109063529,-2.014760352312582,4.474917936999154,3.935969321597186,-0.6361845340045591,0.041035108174634016,ir8120047.trees
0,10001.0,250,66,-2.7957210511920656,5.22535496994276,-0.008586498533589556,-2.943419170732301,5.0024178607371335,4.462140365557126,-0.7511149629627027,0.045731312346158834,ir8120048.trees
0,10001.0,250,80,-2.047135095407799,6.738003576214396,0.014774369334436535,-0.9335039346803655,3.9120979171152337,3.3904166648587526,-0.47267346034726077,0.041002720559657986,ir8120049.trees
0,10001.0,250,58,-2.2293827246620266,6.359703005981596,0.0004192606900887993,-1.997531369973725,4.098999334037453,3.59642538994776,-0.04071975467655209,0.0316426998315844,ir8120050.trees
0,10001.0,250,70,-2.309515870789472,4.844560530955761,0.00666089090796521,-1.6667293489390875,4.300151794475967,3.7647490420444343,-1.1783734797006546,0.05266226195102993,ir8120051.trees
0,10001.0,250,76,-2.1798268764531112,6.778010948343716,0.006708423905114116,-1.0619630068483572,4.054854784898736,3.5574825255754234,-0.36484256458852843,0.03748326639892905,ir8120052.trees
0,10001.0,250,64,-2.5233907313270394,4.12387739216338,-0.009338498609837745,-1.537551301806009,4.499724354436991,4.018063213962173,0.021751791346231522,0.03259813447337738,ir8120053.trees
0,10001.0,250,66,-2.5585104626755926,3.2529291145880497,-0.04190244245998366,-1.3109787631330359,4.1446064844643695,3.892345401928836,0.15433436565961864,0.035367275553828216,ir8120054.trees
0,10001.0,250,78,-2.1968328784133857,6.7198065385034855,0.017159083022185856,-2.042216527000747,4.217473180911768,3.645152471131139,-0.5056292656356763,0.04203912423889105,ir8120055.trees
